,seed,gen,xAM,rgHE_ADHD.phenotype_ADHD.phenotype,rgHE_ADHD.phenotype_ALC.phenotype,rgHE_ADHD.phenotype_ANX.phenotype,rgHE_ADHD.phenotype_BIP.phenotype,rgHE_ADHD.phenotype_MDD.phenotype,rgHE_ADHD.phenotype_SCZ.phenotype,rgHE_ALC.phenotype_ALC.phenotype,rgHE_ALC.phenotype_ANX.phenotype,rgHE_ALC.phenotype_BIP.phenotype,rgHE_ALC.phenotype_MDD.phenotype,rgHE_ALC.phenotype_SCZ.phenotype,rgHE_ANX.phenotype_ANX.phenotype,rgHE_ANX.phenotype_BIP.phenotype,rgHE_ANX.phenotype_MDD.phenotype,rgHE_ANX.phenotype_SCZ.phenotype,rgHE_BIP.phenotype_BIP.phenotype,rgHE_BIP.phenotype_MDD.phenotype,rgHE_BIP.phenotype_SCZ.phenotype,rgHE_MDD.phenotype_MDD.phenotype,rgHE_MDD.phenotype_SCZ.phenotype,rgHE_SCZ.phenotype_SCZ.phenotype,h2HE_ADHD.phenotype.proband_ADHD.phenotype.proband,h2HE_ALC.phenotype.proband_ALC.phenotype.proband,h2HE_ANX.phenotype.proband_ANX.phenotype.proband,h2HE_BIP.phenotype.proband_BIP.phenotype.proband,h2HE_MDD.phenotype.proband_MDD.phenotype.proband,h2HE_SCZ.phenotype.proband_SCZ.phenotype.proband,rgtrue_ADHD.addGen_ADHD.addGen,rgtrue_ADHD.addGen_ALC.addGen,rgtrue_ADHD.addGen_ANX.addGen,rgtrue_ADHD.addGen_BIP.addGen,rgtrue_ADHD.addGen_MDD.addGen,rgtrue_ADHD.addGen_SCZ.addGen,rgtrue_ALC.addGen_ALC.addGen,rgtrue_ALC.addGen_ANX.addGen,rgtrue_ALC.addGen_BIP.addGen,rgtrue_ALC.addGen_MDD.addGen,rgtrue_ALC.addGen_SCZ.addGen,rgtrue_ANX.addGen_ANX.addGen,rgtrue_ANX.addGen_BIP.addGen,rgtrue_ANX.addGen_MDD.addGen,rgtrue_ANX.addGen_SCZ.addGen,rgtrue_BIP.addGen_BIP.addGen,rgtrue_BIP.addGen_MDD.addGen,rgtrue_BIP.addGen_SCZ.addGen,rgtrue_MDD.addGen_MDD.addGen,rgtrue_MDD.addGen_SCZ.addGen,rgtrue_SCZ.addGen_SCZ.addGen,gamma_ADHD.phenotype_ADHD.phenotype,gamma_ADHD.phenotype_ALC.phenotype,gamma_ADHD.phenotype_ANX.phenotype,gamma_ADHD.phenotype_BIP.phenotype,gamma_ADHD.phenotype_MDD.phenotype,gamma_ADHD.phenotype_SCZ.phenotype,gamma_ALC.phenotype_ALC.phenotype,gamma_ALC.phenotype_ANX.phenotype,gamma_ALC.phenotype_BIP.phenotype,gamma_ALC.phenotype_MDD.phenotype,gamma_ALC.phenotype_SCZ.phenotype,gamma_ANX.phenotype_ANX.phenotype,gamma_ANX.phenotype_BIP.phenotype,gamma_ANX.phenotype_MDD.phenotype,gamma_ANX.phenotype_SCZ.phenotype,gamma_BIP.phenotype_BIP.phenotype,gamma_BIP.phenotype_MDD.phenotype,gamma_BIP.phenotype_SCZ.phenotype,gamma_MDD.phenotype_MDD.phenotype,gamma_MDD.phenotype_SCZ.phenotype,gamma_SCZ.phenotype_SCZ.phenotype,h2true_ADHD,h2true_ALC,h2true_ANX,h2true_BIP,h2true_MDD,h2true_SCZ,prev_ADHD,prev_ALC,prev_ANX,prev_BIP,prev_MDD,prev_SCZ
0,1,0,6-variate,1.0000000000000002,0.008034653440431682,0.010689408031750579,-0.017961572956132422,0.019535025240878755,-0.02195309056725158,1.0000000000000002,0.02966365399416821,-0.020021932873955022,0.026739531162379246,0.02218118410634185,1.0000000000000002,-0.007494411896503384,0.039083295761789635,0.05035164007334871,1.0000000000000002,0.035372099653219795,-0.017324363143947533,1.0000000000000002,0.010069294957429342,1.0000000000000002,0.6408013105392456,0.39123597741127014,0.5800219774246216,0.48812153935432434,0.23505713045597076,0.5820989012718201,1.0,0.00570111050538627,-0.0005658643354579179,0.007784359547491945,0.006995157145535419,-0.009979678216611432,0.9999999999999998,0.009431817159141776,-0.007716426724617352,-0.005745839864508581,0.0015012003997112483,1.0,-0.003056350884548389,0.005428862162380954,0.015133750971264705,1.0000000000000002,0.0003420087171906156,0.004226559639803167,1.0000000000000002,0.006817679311125615,1.0,1.0000000000000002,0.026681604320480837,0.030795605324085033,-0.10134473693248461,0.04142922095047108,-0.11177720109946232,1.0000000000000002,0.09010936053848093,-0.0780577029752344,0.07802506056457076,0.10172882068472205,1.0000000000000002,-0.02601476262484742,0.044967754113992724,0.13867887743727136,1.0000000000000002,0.10464222864875547,-0.025384183909381478,1.0000000000000002,0.0283823948129616,1.0000000000000002,0.6297703713025559,0.4059815789776454,0.5862754945831011,0.4778216017508064,0.2343635399775391,0.6061062617126736,0.097125,0.2905,0.308875,0.024125,0.148875,0.0405
1,1,1,6-variate,0.9999999999999998,0.12345597195547339,0.05748313089942612,0.12261112751790072,0.05387257420612739,0.06891981102094707,0.9999999999999999,0.07431149101976485,0.055337364523803,0.025707994305512356,0.059745240475843606,0.9999999999999998,0.03217680373216947,0.0934390586923723,0.12819854035392647,1.0,-0.00029571682926067696,0.09104196922192105,1.0,0.031128867088955046,1.0,0.7665584683418274,0.42865076661109924,0.6541562080383301,0.5024421811103821,0.26351869106292725,0.6777544617652893,0.9999999999999998,0.054037917565115404,0.03726375390563817,0.04805326389836368,0.0262971721609532,0.025402709327777412,0.9999999999999998,0.034172750429469614,0.018743524973953665,-0.007529413360429893,0.029800928623049654,0.9999999999999998,0.01687946675688991,0.04592407508876552,0.05189389753810564,1.0000000000000002,0.008466050050472653,0.0416049068807769,1.0000000000000002,0.009623144695481199,1.0,0.9999999999999999,0.40997284599972705,0.16560589184532745,0.6918093767987675,0.11425127223936148,0.35091493568889415,0.9999999999999999,0.22573619041384388,0.21573876662405722,0.07501525305925866,0.2740078411405897,0.9999999999999999,0.1116928220100807,0.1075072966207641,0.3530853687343458,1.0,-0.0008748372670321456,0.13339730148631956,1.0,0.08774325872671018,1.0,0.7084610560237559,0.4251684057933136,0.6352639568496866,0.4990985989024787,0.2488033977553529,0.6524211078044393,0.102875,0.29725,0.318625,0.024625,0.14475,0.045
2,1,2,6-variate,1.0,0.1799040381293521,0.10276405651405815,0.0888535266233589,0.09511920040741728,0.11144031582492417,1.0,0.0792558248534995,0.07624373695318226,0.05900199196715045,0.09242362175517534,1.0,0.031060519502351707,0.14997724016277136,0.15361289434192038,1.0000000000000002,0.021546844988599646,0.1488853472091848,0.9999999999999998,0.03952220747270348,1.0,0.8420076370239258,0.4790925085544586,0.7414448261260986,0.5456987619400024,0.27662724256515503,0.7267062664031982,1.0,0.08142482348092324,0.04818734104046651,0.05207246296557874,0.04539418605523147,0.04444811890561113,1.0,0.04601942054321725,0.026875293812032817,0.01819575557825047,0.04497835455116492,1.0,0.015922486090406425,0.05100830784662112,0.07170046692825992,1.0,0.004614724518359194,0.058364750289914696,0.9999999999999998,0.031042385111251274,1.0,1.0,0.5974258262340572,0.29605784167940885,0.5013384254744142,0.20172589304992916,0.5674138448652921,1.0,0.24075558209494433,0.2972446024177466,0.17216600875115612,0.42387975002007294,1.0,0.1078177333630431,0.1725579509830805,0.42308177059837976,1.0000000000000002,0.06374263697946135,0.21815107601799202,0.9999999999999999,0.1114015983897348,1.0,0.7497598506363755,0.4386261048730187,0.6959060819642653,0.508550315686497,0.25022015072196524,0.6893920900024405,0.108625,0.2885,0.3225,0.0255,0.149125,0.045125
3,1,3,6-variate,1.0000000000000002,0.17644406850239355,0.15179631573102154,0.18919226555325072,0.1521321081826967,0.10002685685330982,1.0,0.16050049892258905,0.13657457570310957,0.05840600904556081,0.17629922305903709,1.0000000000000002,0.07483579099258124,0.1579523258266828,0.20460190231348768,1.0000000000000002,0.07421145706636625,0.12227420426139211,1.0,0.14560168531266685,1.0000000000000002,0.9101040363311768,0.4967308044433594,0.8076149821281433,0.5347737073898315,0.2629784941673279,0.7802749872207642,1.0,0.07589721159317854,0.0718296018495894,0.08118626183252962,0.05827738657179458,0.04299909387810326,1.0,0.05864945373632065,0.03821713007412053,0.027634951810453272,0.0763352967649439,0.9999999999999997,0.03333947055110129,0.06632684991789538,0.0961929631338412,1.0000000000000002,0.017731125170350154,0.06481138885307146,1.0000000000000002,0.041934437896732506,1.0,1.0000000000000002,0.5859358759531705,0.4373171915613468,1.0674801507069525,0.32263704680105787,0.5093008975617497,1.0,0.4875527312741004,0.532451030245694,0.17042703877535997,0.8085559085761181,1.0000000000000002,0.2597714638810552,0.18173373432243733,0.5635161254607929,1.0000000000000002,0.21954176048939975,0.17915959941135584,1.0,0.4104087743053601,1.0000000000000002,0.7936084665551774,0.4535967882959306,0.7253768163028127,0.5179911709397105,0.25677920510764213,0.7152873512293677,0.1155,0.28725,0.3215,0.02725,0.151125,0.04925
4,1,4,6-variate,0.9999999999999998,0.1921856735654476,0.20436701408796457,0.1420702518564229,0.177408999171151,0.1651990648783173,1.0,0.16196743659926136,0.08241145917476264,0.06535090711465168,0.23838333995828376,1.0000000000000002,0.06142889588446951,0.20950466903648338,0.23742250770737053,1.0000000000000002,0.0378824915330042,0.14022155674703607,1.0,0.1350195734513067,1.0000000000000002,0.9278278350830078,0.5300161242485046,0.848908007144928,0.5373255014419556,0.27368080615997314,0.8208982348442078,0.9999999999999999,0.080184995260791,0.08672847566958512,0.07769569005218753,0.07923738224796494,0.06991714845006816,1.0000000000000002,0.057557365446634874,0.0417323238893404,0.013657865594981946,0.08495831770909262,0.9999999999999999,0.025785158275172415,0.08115026120953647,0.10918336137223847,0.9999999999999998,0.018127445191411577,0.06455771299320463,0.9999999999999999,0.059191071717033965,1.0000000000000002,0.9999999999999999,0.6382107856435801,0.588770769151979,0.8016033961803637,0.3762434916091022,0.8411340953841248,1.0,0.49200891636064603,0.32129011233277527,0.1906920369421555,1.0932904857255525,1.0000000000000002,0.21323317076132742,0.2410478576983433,0.6539108280660111,1.0000000000000002,0.11206882142058186,0.2054566584688005,1.0,0.38058061762295603,1.0000000000000002,0.8014121494404975,0.4685533176783683,0.7443090954489975,0.5123323359739834,0.25569668269801527,0.7162149745871558,0.117125,0.289125,0.321125,0.024375,0.153375,0.051875
5,1,5,6-variate,1.0000000000000002,0.2392219949874991,0.22640535753551091,0.17558506156255974,0.2151356714338509,0.20695281652141395,1.0,0.1389419534038131,0.10376109651626751,0.11112433537909745,0.21650563549582644,1.0000000000000002,0.09370724475752634,0.2461835927246023,0.2809761478245513,0.9999999999999999,0.10354209480143585,0.1679833143215793,1.0000000000000002,0.21096719227252597,0.9999999999999998,0.9769219160079956,0.5118979215621948,0.8432156443595886,0.5326623320579529,0.3078790605068207,0.8527246117591858,0.9999999999999997,0.11005401782481009,0.09497394308763332,0.08770381593587925,0.09334186734788695,0.08417421036448354,1.0,0.04824211312799527,0.05510794635889755,0.04106017950006851,0.09602604411019745,1.0,0.03707789028896156,0.08913050948459281,0.12173955495294271,1.0,0.0574828433644673,0.0738587882127462,1.0,0.08413206590755823,0.9999999999999998,1.0000000000000002,0.7944088511218822,0.6522618919450709,0.9907040617109836,0.4562529879843939,1.0537293671937185,1.0,0.4220640508046064,0.4045239530197895,0.3242573866983799,0.992953217054946,1.0000000000000002,0.32527843787209043,0.2832491891453405,0.773866586049232,0.9999999999999999,0.30631155642014435,0.24613391595773965,1.0000000000000002,0.594654979795214,0.9999999999999999,0.8150348364399982,0.4666817753373682,0.738038247841949,0.5117204050863803,0.2612664607280926,0.7391990025531868,0.115125,0.28325,0.32975,0.025625,0.1535,0.05225
6,2,0,6-variate,0.9999999999999999,-0.005677934144802861,0.0390452485043758,-0.012565246814102754,0.0003521007198990134,-0.03646916832551123,0.9999999999999998,0.031031211851411673,-0.009400789813522777,0.017962422215216916,0.02703166795187987,1.0,0.01868603977523921,0.024982319563931026,0.005658787522182412,1.0,0.020070313390759455,0.01207195527150841,1.0,-0.04740594104063156,1.0000000000000002,0.8691139221191406,0.4552852213382721,0.5800809264183044,0.604037880897522,0.3122967779636383,0.5561120510101318,1.0,-0.004103833494623895,0.025440117009490757,-0.004732011737319576,0.008848766008619434,-0.00616014642269121,1.0,0.01610791662901215,0.006390513405575421,0.004439439659524361,0.00797856565351802,1.0000000000000002,0.006508195589371819,0.0031400308999521304,0.009461880860456925,0.9999999999999998,0.007689111423896184,-0.0005122959333729003,1.0000000000000002,-0.001205366757254877,1.0000000000000002,0.9999999999999999,-0.01885528831303517,0.11248735536639723,-0.07089694849727743,0.0007467389542681214,-0.18568791249542238,0.9999999999999999,0.09426357603630792,-0.0366498616482775,0.05241384306057064,0.1239745726664322,1.0,0.06486335337556104,0.028743649662058886,0.015585529801653186,1.0,0.05937456519708734,0.017688173525550795,1.0,-0.13362365894129835,1.0000000000000002,0.891947527374839,0.46082042199036455,0.5967413341029247,0.6241833541054514,0.3339626490238348,0.5449342048180467,0.074375,0.293875,0.311,0.02275,0.146375,0.036875
7,2,1,6-variate,0.9999999999999998,0.12702837097630515,0.13143781372074048,0.09183115000329026,0.11578776576598043,0.06324571094645955,0.9999999999999998,0.054034226570293144,0.06103419544316551,0.0527535996572599,0.11328591004592385,1.0,0.0017459629230550608,0.13573262524839505,0.0946028750379314,1.0000000000000002,0.07896784775019766,0.04976164228758624,1.0,0.10144179076361481,1.0000000000000002,1.0198246240615845,0.5360575318336487,0.7054412364959717,0.6568441987037659,0.3375054895877838,0.6057695746421814,0.9999999999999998,0.049124898231244475,0.064719291267412,0.03309214475419518,0.05230674823209389,0.03971286899853749,1.0000000000000002,0.03186088989836248,0.03567431127435102,0.03313481406527931,0.05623477327219605,1.0,0.008729775130281716,0.04217086924720145,0.050646940444835455,0.9999999999999999,0.02776139255119114,0.037648362332966125,1.0,0.04788076415639871,1.0,0.9999999999999999,0.4218361648509524,0.3786654880751839,0.5181392551961702,0.24555909497793665,0.3220244068152396,0.9999999999999999,0.16413988113842243,0.23794843594888476,0.15393337880934907,0.519559960807745,1.0,0.006060553163985597,0.15616865422141707,0.26055606421810135,1.0000000000000002,0.23361277436335615,0.07291219251115015,1.0,0.28593474980320455,1.0000000000000002,1.0189487114150606,0.4914218379040166,0.651410528924095,0.666708629542573,0.33834843765561995,0.5854528790454053,0.08775,0.284375,0.317,0.025375,0.1435,0.042875
8,2,2,6-variate,1.0000000000000002,0.19334063648251126,0.17633480230206172,0.13458871068313047,0.17619638708508573,0.12535908559892692,1.0,0.09605596173686613,0.10209503712871752,0.1444680221760696,0.15922858715189475,1.0,0.07299343482512412,0.24686677337086915,0.16908667694345478,1.0,0.10698123325232796,0.11123293024470393,1.0000000000000002,0.20318774341956383,0.9999999999999998,1.121667742729187,0.5812627673149109,0.7778785824775696,0.7004849314689636,0.3716222643852234,0.6739587187767029,1.0,0.0800273686715718,0.08060940323122129,0.061485630624374385,0.06498953514619954,0.04938797731760321,1.0,0.0418500120928385,0.04021962061441322,0.055231268350502384,0.08327246102746831,1.0,0.03905714382622424,0.08594891029013062,0.07401734316311552,1.0000000000000002,0.03498779943065204,0.059121782614480214,1.0,0.07434641982277711,1.0000000000000002,1.0000000000000002,0.6420460578375207,0.5080112913099116,0.7593904258641524,0.37367187053219125,0.6382834560558508,1.0,0.29178929146885524,0.3980284840455025,0.421553495697794,0.730265579774538,1.0,0.25337629193699124,0.2840351662346603,0.46569972049048297,1.0,0.3164854532031558,0.16298169189859424,1.0000000000000002,0.5727268567089997,0.9999999999999999,1.097972981002577,0.5168739849560214,0.7031956452474263,0.6622498593522134,0.34091478079358506,0.6143250312061347,0.09675,0.28825,0.321875,0.027625,0.154,0.042125
9,2,3,6-variate,1.0,0.19316955905862124,0.18719073928129418,0.1757304798663226,0.16198150283739063,0.12853820614626907,1.0000000000000002,0.09436749189478352,0.1556393583004295,0.14649776944578494,0.21346012337380138,0.9999999999999998,0.11434892721662908,0.2451663555832006,0.21973168664333462,0.9999999999999999,0.16309697717360014,0.15340623282680663,1.0,0.2387201985705373,0.9999999999999999,1.217057704925537,0.588029146194458,0.8286783695220947,0.7195128798484802,0.39928099513053894,0.7163215279579163,1.0,0.08597578904318608,0.08583749260190844,0.07291468798162326,0.07321494581887973,0.050785121851004554,1.0,0.059313763004343927,0.07326835080111947,0.07259991500885832,0.09790734568853086,0.9999999999999999,0.049074793602363734,0.09885040120644392,0.10065904580149702,1.0,0.0641837538124085,0.0764736667376076,1.0,0.09132746376411906,0.9999999999999998,1.0,0.6414778292591548,0.5392867235798804,0.9915247622899811,0.343525314200977,0.6544702704833889,1.0000000000000002,0.28666032413345555,0.6067769232123974,0.4274761393174401,0.9789858846378681,0.9999999999999999,0.3969300724459215,0.2820787661698581,0.6051866377486822,0.9999999999999999,0.48249434536319136,0.22477520713985993,1.0,0.6728825309741241,0.9999999999999999,1.1696928943536715,0.5319980270893008,0.7298712591744126,0.6788494935009685,0.3533341785698717,0.626630476860092,0.105125,0.287875,0.321375,0.02725,0.1465,0.042375
10,2,4,6-variate,0.9999999999999999,0.20051703092288356,0.23126907793598878,0.19632323077071032,0.19654522699080504,0.16672732160412634,1.0,0.11179290981677133,0.21287491448612916,0.1467182798694699,0.22921347745785953,1.0,0.1504360624202543,0.26614454452511166,0.24467931676891122,0.9999999999999999,0.13096323842413643,0.22888130548480004,1.0000000000000002,0.22166271709145574,0.9999999999999999,1.247818112373352,0.6066657304763794,0.8648368716239929,0.7315835356712341,0.36578795313835144,0.6989255547523499,1.0000000000000002,0.10543636376255822,0.09179459051270016,0.09823332682139758,0.09981062243392592,0.06967875121156362,0.9999999999999998,0.05408889982477953,0.09415699123878758,0.07261544585175403,0.10522350519229431,0.9999999999999998,0.05038156635710756,0.12036494210665391,0.1047887507818075,1.0000000000000002,0.055700549143046584,0.09812780250474264,0.9999999999999998,0.10589493181985178,1.0000000000000002,0.9999999999999999,0.6658773958330577,0.6662741931337246,1.1077150435339613,0.4168269152672208,0.8489156845233834,1.0,0.33959355197898733,0.8299162187634865,0.42811940001097526,1.0512348110470282,1.0,0.5221965676714982,0.30621553860014716,0.6738974797205267,0.9999999999999999,0.38743209938586554,0.33536338475099214,1.0000000000000002,0.6248024199695437,0.9999999999999999,1.2059585319370347,0.535148999926613,0.7527133481170342,0.6996368184140032,0.35248429688887883,0.6275711412899879,0.106125,0.280375,0.3245,0.029125,0.15025,0.04325
11,2,5,6-variate,1.0000000000000002,0.2453306348916867,0.17851537067054618,0.24461850817690745,0.1868083370923214,0.1626912894752753,0.9999999999999999,0.1502082021632066,0.22003939080797943,0.1804790864264355,0.25230702256287657,1.0000000000000002,0.15055422815801,0.28430267641030244,0.22969326724608635,0.9999999999999999,0.1767650518816225,0.25424143943485883,1.0,0.21357012870191072,1.0000000000000002,1.2833808660507202,0.6425685882568359,0.9022141098976135,0.7472575306892395,0.378447026014328,0.7716426849365234,1.0,0.1124702937686375,0.08569363363699137,0.10401530601479328,0.07866216429288289,0.0711559964021241,1.0,0.05473701797973666,0.09198378803013904,0.08703988666994397,0.10509834530909476,0.9999999999999998,0.056912950973456895,0.12485067945916922,0.11268738974526761,1.0,0.06689865553397575,0.10714118022415434,1.0,0.08141390216989089,1.0,1.0000000000000002,0.8146944858224704,0.5142934805174822,1.3802118242560915,0.3961772699975546,0.8283655019044461,0.9999999999999999,0.456287913140148,0.8578476259237655,0.5266325022536374,1.1571480541432702,1.0000000000000002,0.5226066838685475,0.32710751221813933,0.6326229459651516,0.9999999999999999,0.5229288621455176,0.3725218118493582,1.0,0.6019918594989253,1.0000000000000002,1.2151814996993064,0.5430775175955709,0.761233204937003,0.6971717883616955,0.3467125945245581,0.6539575614624603,0.110125,0.2905,0.3225,0.025125,0.151625,0.049125
