,seed,gen,args_kphen,args_kmate,rbeta_hat_pgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_pgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_pgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_pgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_pgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_pgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_pgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_pgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_pgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_pgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_pgwas_MDD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_sgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_sgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_sgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_sgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_sgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_sgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_sgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_sgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_sgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_sgwas_MDD.phenotype_SCZ.phenotype,pgwas_truepositives_ADHD_0.05,pgwas_falsepositives_ADHD_0.05,sgwas_truepositives_ADHD_0.05,sgwas_falsepositives_ADHD_0.05,pgwas_truepositives_ALC_0.05,pgwas_falsepositives_ALC_0.05,sgwas_truepositives_ALC_0.05,sgwas_falsepositives_ALC_0.05,pgwas_truepositives_ANX_0.05,pgwas_falsepositives_ANX_0.05,sgwas_truepositives_ANX_0.05,sgwas_falsepositives_ANX_0.05,pgwas_truepositives_BIP_0.05,pgwas_falsepositives_BIP_0.05,sgwas_truepositives_BIP_0.05,sgwas_falsepositives_BIP_0.05,pgwas_truepositives_MDD_0.05,pgwas_falsepositives_MDD_0.05,sgwas_truepositives_MDD_0.05,sgwas_falsepositives_MDD_0.05,pgwas_truepositives_SCZ_0.05,pgwas_falsepositives_SCZ_0.05,sgwas_truepositives_SCZ_0.05,sgwas_falsepositives_SCZ_0.05,pgwas_truepositives_ADHD_0.5,pgwas_falsepositives_ADHD_0.5,sgwas_truepositives_ADHD_0.5,sgwas_falsepositives_ADHD_0.5,pgwas_truepositives_ALC_0.5,pgwas_falsepositives_ALC_0.5,sgwas_truepositives_ALC_0.5,sgwas_falsepositives_ALC_0.5,pgwas_truepositives_ANX_0.5,pgwas_falsepositives_ANX_0.5,sgwas_truepositives_ANX_0.5,sgwas_falsepositives_ANX_0.5,pgwas_truepositives_BIP_0.5,pgwas_falsepositives_BIP_0.5,sgwas_truepositives_BIP_0.5,sgwas_falsepositives_BIP_0.5,pgwas_truepositives_MDD_0.5,pgwas_falsepositives_MDD_0.5,sgwas_truepositives_MDD_0.5,sgwas_falsepositives_MDD_0.5,pgwas_truepositives_SCZ_0.5,pgwas_falsepositives_SCZ_0.5,sgwas_truepositives_SCZ_0.5,sgwas_falsepositives_SCZ_0.5,tr1,tr2
psych2_seed1_0_0_1,1,0,6,2,,0.018806506751061925,,,,,,,,,,,,,,,,0.02437800609206295,,,,,,,,,,,,,,,0.5880597014925373,0.04924924924924925,0.5850746268656717,0.04924924924924925,0.5165165165165165,0.05158968206358728,0.5075075075075075,0.03779244151169766,,,,,,,,,,,,,,,,,0.8716417910447761,0.5195195195195195,0.8567164179104477,0.4936936936936937,0.8408408408408409,0.48050389922015596,0.8258258258258259,0.5158968206358728,,,,,,,,,,,,,,,,,ADHD,ALC
psych2_seed1_1_0_1,1,1,6,2,,0.06199557622598468,,,,,,,,,,,,,,,,-0.0092551129615993,,,,,,,,,,,,,,,0.5791044776119403,0.06306306306306306,0.5074626865671642,0.04864864864864865,0.5465465465465466,0.07798440311937613,0.44144144144144143,0.0617876424715057,,,,,,,,,,,,,,,,,0.8477611940298507,0.5243243243243243,0.817910447761194,0.5207207207207207,0.8258258258258259,0.5164967006598681,0.7657657657657657,0.489502099580084,,,,,,,,,,,,,,,,,ADHD,ALC
psych2_seed1_2_0_1,1,2,6,2,,0.05333278579071276,,,,,,,,,,,,,,,,-0.0033044093424948327,,,,,,,,,,,,,,,0.6179104477611941,0.08288288288288288,0.5701492537313433,0.04804804804804805,0.5855855855855856,0.07618476304739052,0.43843843843843844,0.05038992201559688,,,,,,,,,,,,,,,,,0.844776119402985,0.5333333333333333,0.8208955223880597,0.5171171171171172,0.8378378378378378,0.510497900419916,0.7717717717717718,0.4937012597480504,,,,,,,,,,,,,,,,,ADHD,ALC
psych2_seed1_3_0_1,1,3,6,2,,0.11709322575699606,,,,,,,,,,,,,,,,0.0014194788834407139,,,,,,,,,,,,,,,0.6328358208955224,0.07627627627627627,0.5253731343283582,0.04684684684684685,0.5585585585585585,0.0683863227354529,0.4144144144144144,0.052789442111577684,,,,,,,,,,,,,,,,,0.9104477611940298,0.5273273273273273,0.8507462686567164,0.5147147147147147,0.8228228228228228,0.5398920215956808,0.7627627627627628,0.5098980203959208,,,,,,,,,,,,,,,,,ADHD,ALC
psych2_seed1_4_0_1,1,4,6,2,,0.13830409907760663,,,,,,,,,,,,,,,,-0.025753079489100668,,,,,,,,,,,,,,,0.6208955223880597,0.07687687687687687,0.5164179104477612,0.043243243243243246,0.5375375375375375,0.0665866826634673,0.4444444444444444,0.047390521895620874,,,,,,,,,,,,,,,,,0.8626865671641791,0.5621621621621622,0.8477611940298507,0.4900900900900901,0.8258258258258259,0.5338932213557288,0.7837837837837838,0.486502699460108,,,,,,,,,,,,,,,,,ADHD,ALC
psych2_seed1_5_0_1,1,5,6,2,,0.15494836206544552,,,,,,,,,,,,,,,,-0.0287994564452868,,,,,,,,,,,,,,,0.6268656716417911,0.08288288288288288,0.5283582089552239,0.054654654654654654,0.5555555555555556,0.052789442111577684,0.4084084084084084,0.04499100179964007,,,,,,,,,,,,,,,,,0.8507462686567164,0.5357357357357357,0.817910447761194,0.49309309309309307,0.8108108108108109,0.4787042591481704,0.7657657657657657,0.5110977804439112,,,,,,,,,,,,,,,,,ADHD,ALC
psych2_seed1_0_0_2,1,0,6,2,,,0.04020230945530282,,,,,,,,,,,,,,,,-0.024792207709247564,,,,,,,,,,,,,,0.5880597014925373,0.04924924924924925,0.5850746268656717,0.04924924924924925,,,,,0.5525525525525525,0.052789442111577684,0.5615615615615616,0.052789442111577684,,,,,,,,,,,,,0.8716417910447761,0.5195195195195195,0.8567164179104477,0.4936936936936937,,,,,0.8408408408408409,0.489502099580084,0.8378378378378378,0.47750449910017995,,,,,,,,,,,,,ADHD,ANX
psych2_seed1_1_0_2,1,1,6,2,,,0.0969639106313867,,,,,,,,,,,,,,,,-0.02621027031598944,,,,,,,,,,,,,,0.6149253731343284,0.07147147147147147,0.5492537313432836,0.05765765765765766,,,,,0.5645645645645646,0.0665866826634673,0.4774774774774775,0.05878824235152969,,,,,,,,,,,,,0.8805970149253731,0.5477477477477477,0.8537313432835821,0.5231231231231231,,,,,0.8318318318318318,0.5392921415716857,0.8048048048048048,0.4979004199160168,,,,,,,,,,,,,ADHD,ANX
psych2_seed1_2_0_2,1,2,6,2,,,0.08420505409806701,,,,,,,,,,,,,,,,-0.04209725986626288,,,,,,,,,,,,,,0.6388059701492538,0.06006006006006006,0.5432835820895522,0.043243243243243246,,,,,0.6006006006006006,0.07498500299940011,0.4894894894894895,0.052189562087582485,,,,,,,,,,,,,0.9014925373134328,0.518918918918919,0.8388059701492537,0.46966966966966966,,,,,0.8588588588588588,0.5572885422915417,0.7777777777777778,0.5068986202759448,,,,,,,,,,,,,ADHD,ANX
psych2_seed1_3_0_2,1,3,6,2,,,0.1270694444435171,,,,,,,,,,,,,,,,0.005225563221256085,,,,,,,,,,,,,,0.6835820895522388,0.07807807807807808,0.5283582089552239,0.04624624624624624,,,,,0.5975975975975976,0.06718656268746251,0.4804804804804805,0.04439112177564487,,,,,,,,,,,,,0.8925373134328358,0.5399399399399399,0.8238805970149253,0.47267267267267266,,,,,0.8498498498498499,0.5566886622675465,0.8018018018018018,0.4967006598680264,,,,,,,,,,,,,ADHD,ANX
