,seed,gen,xAM,rgHE_ADHD.phenotype_ADHD.phenotype,rgHE_ADHD.phenotype_ALC.phenotype,h2HE_ADHD.phenotype.proband_ADHD.phenotype.proband,h2HE_ALC.phenotype.proband_ALC.phenotype.proband,rgtrue_ADHD.addGen_ADHD.addGen,rgtrue_ADHD.addGen_ALC.addGen,gamma_ADHD.phenotype_ADHD.phenotype,gamma_ADHD.phenotype_ALC.phenotype,h2true_ADHD,h2true_ALC,prev_ADHD,prev_ALC,rgHE_ADHD.phenotype_ANX.phenotype,h2HE_ANX.phenotype.proband_ANX.phenotype.proband,rgtrue_ADHD.addGen_ANX.addGen,gamma_ADHD.phenotype_ANX.phenotype,h2true_ANX,prev_ANX,rgHE_ADHD.phenotype_BIP.phenotype,h2HE_BIP.phenotype.proband_BIP.phenotype.proband,rgtrue_ADHD.addGen_BIP.addGen,gamma_ADHD.phenotype_BIP.phenotype,h2true_BIP,prev_BIP,rgHE_ADHD.phenotype_MDD.phenotype,h2HE_MDD.phenotype.proband_MDD.phenotype.proband,rgtrue_ADHD.addGen_MDD.addGen,gamma_ADHD.phenotype_MDD.phenotype,h2true_MDD,prev_MDD,rgHE_ADHD.phenotype_SCZ.phenotype,h2HE_SCZ.phenotype.proband_SCZ.phenotype.proband,rgtrue_ADHD.addGen_SCZ.addGen,gamma_ADHD.phenotype_SCZ.phenotype,h2true_SCZ,prev_SCZ,rgHE_ALC.phenotype_ALC.phenotype,rgHE_ALC.phenotype_ANX.phenotype,rgtrue_ALC.addGen_ALC.addGen,rgtrue_ALC.addGen_ANX.addGen,gamma_ALC.phenotype_ALC.phenotype,gamma_ALC.phenotype_ANX.phenotype,rgHE_ALC.phenotype_BIP.phenotype,rgtrue_ALC.addGen_BIP.addGen,gamma_ALC.phenotype_BIP.phenotype,rgHE_ALC.phenotype_MDD.phenotype,rgtrue_ALC.addGen_MDD.addGen,gamma_ALC.phenotype_MDD.phenotype,rgHE_ALC.phenotype_SCZ.phenotype,rgtrue_ALC.addGen_SCZ.addGen,gamma_ALC.phenotype_SCZ.phenotype,rgHE_ANX.phenotype_ANX.phenotype,rgHE_ANX.phenotype_BIP.phenotype,rgtrue_ANX.addGen_ANX.addGen,rgtrue_ANX.addGen_BIP.addGen,gamma_ANX.phenotype_ANX.phenotype,gamma_ANX.phenotype_BIP.phenotype,rgHE_ANX.phenotype_MDD.phenotype,rgtrue_ANX.addGen_MDD.addGen,gamma_ANX.phenotype_MDD.phenotype,rgHE_ANX.phenotype_SCZ.phenotype,rgtrue_ANX.addGen_SCZ.addGen,gamma_ANX.phenotype_SCZ.phenotype,rgHE_BIP.phenotype_BIP.phenotype,rgHE_BIP.phenotype_MDD.phenotype,rgtrue_BIP.addGen_BIP.addGen,rgtrue_BIP.addGen_MDD.addGen,gamma_BIP.phenotype_BIP.phenotype,gamma_BIP.phenotype_MDD.phenotype,rgHE_BIP.phenotype_SCZ.phenotype,rgtrue_BIP.addGen_SCZ.addGen,gamma_BIP.phenotype_SCZ.phenotype,rgHE_MDD.phenotype_MDD.phenotype,rgHE_MDD.phenotype_SCZ.phenotype,rgtrue_MDD.addGen_MDD.addGen,rgtrue_MDD.addGen_SCZ.addGen,gamma_MDD.phenotype_MDD.phenotype,gamma_MDD.phenotype_SCZ.phenotype
10,1,4,2-variate,1.0,,0.885903537273407,,1.0,,1.0,,0.6803296180917907,,0.11225,,0.1726318947374997,0.7956602573394775,0.08770507368911035,0.497343556625395,0.6414220737716854,0.317625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,5,2-variate,1.0,,0.9469756484031677,,1.0000000000000002,,1.0,,0.6792466588991233,,0.111375,,0.20948404693149317,0.7887929081916809,0.1057902840034352,0.6035127252536537,0.6247022644212956,0.32425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,0,2-variate,1.0000000000000002,,0.6408013105392456,,1.0,,1.0000000000000002,,0.6297703713025559,,0.097125,,,,,,,,-0.017961572956132422,0.48812153935432434,0.007784359547491945,-0.10134473693248461,0.4778216017508064,0.024125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,2-variate,1.0000000000000002,,0.71640944480896,,1.0,,1.0000000000000002,,0.6573968521518689,,0.100125,,,,,,,,0.05060776724218175,0.5073807835578918,0.024438933205054216,0.28554426924922444,0.4856422061223979,0.024125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,2,2-variate,1.0,,0.757941722869873,,0.9999999999999999,,1.0,,0.6604274085284685,,0.1075,,,,,,,,0.07258944432429805,0.5131293535232544,0.039593199938646365,0.40957152891041315,0.49948971032305434,0.02175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,3,2-variate,1.0000000000000002,,0.8133668303489685,,1.0,,1.0000000000000002,,0.6637914818690035,,0.115625,,,,,,,,0.08428898551302798,0.5187770128250122,0.035671496891986475,0.4755839269092821,0.4965712607750904,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,4,2-variate,0.9999999999999999,,0.8846532106399536,,1.0,,0.9999999999999999,,0.677692336775587,,0.1175,,,,,,,,0.07595308576252284,0.530648946762085,0.05818407127918431,0.4285504717408262,0.5108157795183279,0.023625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,5,2-variate,0.9999999999999999,,0.890557050704956,,0.9999999999999999,,0.9999999999999999,,0.6866999035710399,,0.11325,,,,,,,,0.14268280873501887,0.5386156439781189,0.06353288015558352,0.8050594446437301,0.5122171622270925,0.024125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,0,2-variate,1.0000000000000002,,0.6408013105392456,,1.0,,1.0000000000000002,,0.6297703713025559,,0.097125,,,,,,,,,,,,,,0.019535025240878755,0.23505713045597076,0.006995157145535419,0.04142922095047108,0.2343635399775391,0.148875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,1,2-variate,0.9999999999999998,,0.7593225836753845,,1.0000000000000002,,0.9999999999999999,,0.6606410293520161,,0.10525,,,,,,,,,,,,,,0.09329004065750572,0.2609102427959442,0.039635018156376496,0.19784656554272487,0.2457794619951562,0.143375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2,2-variate,1.0000000000000002,,0.8378705382347107,,1.0000000000000002,,1.0000000000000002,,0.6799929063645742,,0.11025,,,,,,,,,,,,,,0.14564097991019953,0.2692365348339081,0.05878062112793875,0.3088708637035995,0.24350271912875085,0.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,3,2-variate,0.9999999999999999,,0.8986390233039856,,1.0000000000000002,,0.9999999999999999,,0.6750425430052289,,0.114,,,,,,,,,,,,,,0.10485642296335165,0.2503986656665802,0.05718769647896362,0.22237620959586143,0.245408944918281,0.146625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,4,2-variate,1.0000000000000002,,0.9217482805252075,,0.9999999999999999,,1.0000000000000002,,0.676003386997428,,0.11275,,,,,,,,,,,,,,0.14247703413162546,0.2627047002315521,0.07126052148829849,0.30216086583114565,0.24658464446880432,0.147375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,5,2-variate,0.9999999999999999,,0.941721498966217,,0.9999999999999999,,0.9999999999999999,,0.6833597333061924,,0.113375,,,,,,,,,,,,,,0.10903546914512102,0.26993200182914734,0.0735641554333106,0.23123906550404166,0.24440503216855436,0.150875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,0,2-variate,1.0000000000000002,,0.6408013105392456,,1.0,,1.0000000000000002,,0.6297703713025559,,0.097125,,,,,,,,,,,,,,,,,,,,-0.02195309056725158,0.5820989012718201,-0.009979678216611432,-0.11177720109946232,0.6061062617126736,0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,1,2-variate,0.9999999999999999,,0.7283319234848022,,1.0000000000000002,,0.9999999999999999,,0.6516184080024033,,0.100875,,,,,,,,,,,,,,,,,,,,0.03704043875710372,0.6834090948104858,0.020186668481353462,0.18859653537576757,0.6235383863651959,0.04025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,2,2-variate,0.9999999999999999,,0.7927597165107727,,1.0000000000000002,,0.9999999999999999,,0.6617556649525326,,0.108125,,,,,,,,,,,,,,,,,,,,0.08409332070477597,0.7160953283309937,0.043258264906503294,0.4281729676401535,0.636385566647064,0.04875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,3,2-variate,1.0,,0.7978362441062927,,1.0000000000000004,,1.0,,0.6703067124050429,,0.109,,,,,,,,,,,,,,,,,,,,0.1295333345393568,0.7651148438453674,0.07012490801517617,0.6595372849995599,0.649484821986264,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
