,1,0,2,3,4,5,gen,seed,6
4,959.0,586.0,387.0,62.0,4.0,2.0,4.0,15.0,0.0
5,966.0,570.0,373.0,81.0,10.0,0.0,5.0,15.0,0.0
0,1057.0,682.0,237.0,21.0,1.0,2.0,0.0,16.0,0.0
1,1022.0,602.0,319.0,52.0,5.0,0.0,1.0,16.0,0.0
2,995.0,572.0,383.0,44.0,6.0,0.0,2.0,16.0,0.0
3,981.0,529.0,390.0,88.0,12.0,0.0,3.0,16.0,0.0
4,956.0,509.0,443.0,83.0,8.0,1.0,4.0,16.0,0.0
5,961.0,526.0,395.0,99.0,17.0,2.0,5.0,16.0,0.0
0,1029.0,725.0,217.0,23.0,6.0,0.0,0.0,17.0,0.0
1,996.0,664.0,297.0,39.0,4.0,0.0,1.0,17.0,0.0
2,991.0,607.0,351.0,49.0,2.0,0.0,2.0,17.0,0.0
3,998.0,600.0,336.0,57.0,8.0,1.0,3.0,17.0,0.0
4,942.0,572.0,396.0,79.0,10.0,1.0,4.0,17.0,0.0
5,879.0,582.0,422.0,98.0,19.0,0.0,5.0,17.0,0.0
0,1035.0,691.0,247.0,26.0,1.0,0.0,0.0,18.0,0.0
1,1008.0,602.0,341.0,44.0,5.0,0.0,1.0,18.0,0.0
2,988.0,556.0,388.0,65.0,3.0,0.0,2.0,18.0,0.0
3,1008.0,569.0,366.0,50.0,7.0,0.0,3.0,18.0,0.0
4,949.0,571.0,383.0,84.0,12.0,1.0,4.0,18.0,0.0
5,944.0,548.0,410.0,93.0,5.0,0.0,5.0,18.0,0.0
0,1031.0,712.0,234.0,23.0,0.0,0.0,0.0,19.0,0.0
1,978.0,671.0,302.0,44.0,5.0,0.0,1.0,19.0,0.0
2,1008.0,607.0,332.0,50.0,3.0,0.0,2.0,19.0,0.0
3,995.0,568.0,363.0,64.0,10.0,0.0,3.0,19.0,0.0
4,1025.0,560.0,333.0,72.0,9.0,1.0,4.0,19.0,0.0
5,936.0,558.0,425.0,73.0,8.0,0.0,5.0,19.0,0.0
0,991.0,762.0,228.0,17.0,2.0,0.0,0.0,20.0,0.0
1,975.0,699.0,289.0,34.0,3.0,0.0,1.0,20.0,0.0
2,991.0,637.0,329.0,41.0,2.0,0.0,2.0,20.0,0.0
3,1000.0,626.0,325.0,47.0,2.0,0.0,3.0,20.0,0.0
4,993.0,612.0,335.0,59.0,1.0,0.0,4.0,20.0,0.0
5,977.0,623.0,341.0,50.0,9.0,0.0,5.0,20.0,0.0
0,1037.0,679.0,264.0,20.0,0.0,0.0,0.0,21.0,0.0
1,1004.0,644.0,306.0,42.0,3.0,1.0,1.0,21.0,0.0
2,1005.0,584.0,343.0,60.0,8.0,0.0,2.0,21.0,0.0
3,982.0,558.0,381.0,74.0,5.0,0.0,3.0,21.0,0.0
4,961.0,575.0,384.0,76.0,4.0,0.0,4.0,21.0,0.0
5,935.0,570.0,405.0,85.0,5.0,0.0,5.0,21.0,0.0
0,1059.0,653.0,255.0,31.0,2.0,0.0,0.0,22.0,0.0
1,992.0,620.0,329.0,54.0,5.0,0.0,1.0,22.0,0.0
2,1032.0,549.0,362.0,53.0,4.0,0.0,2.0,22.0,0.0
3,958.0,545.0,424.0,66.0,6.0,1.0,3.0,22.0,0.0
