"gen","traits","median_value","mean_value","sd_value","n"
0,"edu / height",-0.00629654409664113,-0.00299494737089783,0.0458099746961393,100
1,"edu / height",0.325225604903407,0.32457878125104,0.0385641162718751,100
2,"edu / height",0.490604194902032,0.48782422250657,0.0325988711415803,100
3,"edu / height",0.568476684774119,0.565117406057113,0.0276745483344945,100
4,"edu / height",0.473857784032701,0.475560128515231,0.0335783538329146,100
5,"edu / height",0.386408125465409,0.39111538786419,0.038221717448169,100
0,"edu / wealth",0.0784825698578178,0.0780622900350652,0.0376411657567897,100
1,"edu / wealth",0.247986916103836,0.249806870982362,0.0373512779973943,100
2,"edu / wealth",0.404155940397685,0.407014815813034,0.0358868424818877,100
3,"edu / wealth",0.495913440175135,0.495593749297683,0.0320421426586677,100
4,"edu / wealth",0.427775680352093,0.425751915390945,0.033586790540564,100
5,"edu / wealth",0.372579352805115,0.371962773827352,0.0325573309384762,100
0,"height / wealth",-0.00485248840706548,-0.00233524984884527,0.0445217156406474,100
1,"height / wealth",0.382683213718777,0.378356365408124,0.0315592611254558,100
2,"height / wealth",0.550094286193766,0.552782223856096,0.0271863398836194,100
3,"height / wealth",0.638940486193925,0.636207936510642,0.0253978274516415,100
4,"height / wealth",0.547808324568865,0.545624262509125,0.0307843386091358,100
5,"height / wealth",0.449372585258861,0.446397688507088,0.0329212475119962,100
