"gen","scenario","variable","var_label","median.50.","q10.10.","q90.90.","mean","se"
0,"5xAM","h2_he","hat(italic(h))^2",0.499545040726662,0.489320420622826,0.508850521445274,0.499333562072118,0.000289634423370263
1,"5xAM","h2_he","hat(italic(h))^2",0.542159444093704,0.529523969888687,0.552835700511932,0.541729674482346,0.00033916161109663
2,"5xAM","h2_he","hat(italic(h))^2",0.580923026800156,0.566764339208603,0.593644002079964,0.580453647772471,0.000386358181929365
3,"5xAM","h2_he","hat(italic(h))^2",0.613566815853119,0.596447631120682,0.627974610328675,0.612840388711294,0.000450557012901353
4,"5xAM","h2_he","hat(italic(h))^2",0.639382326602935,0.621656627655029,0.654606498479844,0.638618189652761,0.000487899570286104
5,"5xAM","h2_he","hat(italic(h))^2",0.658624130487442,0.637473229169846,0.678432828187942,0.658128500350316,0.000589919942338214
0,"5xAM + GxE","h2_he","hat(italic(h))^2",0.501892390847206,0.492089821100234,0.510982533097267,0.501737407358487,0.000270480007800527
1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.543932777643204,0.533160600662231,0.55401238322258,0.543660016846657,0.000310309284676482
2,"5xAM + GxE","h2_he","hat(italic(h))^2",0.582236981391906,0.569573016166687,0.594378130435943,0.581730040383339,0.00035942242463373
3,"5xAM + GxE","h2_he","hat(italic(h))^2",0.613533896207809,0.600016698837281,0.626442589759826,0.613638302564621,0.000393589115468285
4,"5xAM + GxE","h2_he","hat(italic(h))^2",0.639386320114135,0.622796509265899,0.65431118607521,0.63884997288386,0.000469488568578479
5,"5xAM + GxE","h2_he","hat(italic(h))^2",0.658935141563415,0.638950426578522,0.677221695184708,0.658400882546107,0.000551822146585804
0,"5xAM + VT","h2_he","hat(italic(h))^2",0.499976196885109,0.489366934895515,0.509202944636345,0.49940697833697,0.000294723491683275
1,"5xAM + VT","h2_he","hat(italic(h))^2",0.606008929014206,0.593294622898102,0.616629086732864,0.605308519124985,0.000349387368750993
