"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
1,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.22765854421888,0.102531912860743,0.612472152709961,0.525394668084459
1,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.26684367526851,0.119888729334647,0.629338347911835,0.535610106389248
1,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.312253261563841,0.136706642509211,0.650494122505188,0.533432629324752
1,0,"5xAM + GxE",0.2,5,0.2,0,0.05,-0.00143433490678801,-0.000374420100195548,0.507139277458191,0.506115173285634
1,1,"5xAM + GxE",0.2,5,0.2,0,0.05,0.106090578824103,0.0487335766314642,0.548921918869019,0.518611339627008
1,2,"5xAM + GxE",0.2,5,0.2,0,0.05,0.1778965585798,0.081324083795397,0.58631204366684,0.522848898573769
1,3,"5xAM + GxE",0.2,5,0.2,0,0.05,0.235160256103003,0.10464652880685,0.615965914726257,0.529603746531249
1,4,"5xAM + GxE",0.2,5,0.2,0,0.05,0.285414440484619,0.124213724716052,0.657099139690399,0.536991867081175
1,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.305641491403348,0.136785492384299,0.66500860452652,0.543145218500376
1,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.000255831316511731,-0.000549078265055684,0.496069574356079,0.499045406214079
