"gen","scenario","variable","mean","sd"
0,"2xAM","h2_true",0.499138106544421,0.0126969199274732
5,"2xAM","h2_true",0.527238684564892,0.0143975664825291
0,"5xAM","h2_true",0.49929458316644,0.00782620414716085
5,"5xAM","h2_true",0.534531532802378,0.00884921416057421
0,"2xAM","he_h2",0.499126282652219,0.0131810352913324
5,"2xAM","he_h2",0.596518447120984,0.0217456510337185
0,"5xAM","he_h2",0.499333562072118,0.00793196535549472
5,"5xAM","he_h2",0.658128500350316,0.0161556229770393
