"seed","gen","xAM","dx","value"
42,2,"2-variate","ADHD",0.091925
43,2,"2-variate","ADHD",0.106875
44,2,"2-variate","ADHD",0.104625
45,2,"2-variate","ADHD",0.090175
46,2,"2-variate","ADHD",0.100825
47,2,"2-variate","ADHD",0.120975
48,2,"2-variate","ADHD",0.10985
49,2,"2-variate","ADHD",0.12995
1,3,"2-variate","ADHD",0.110625
2,3,"2-variate","ADHD",0.104825
3,3,"2-variate","ADHD",0.11025
4,3,"2-variate","ADHD",0.1029
5,3,"2-variate","ADHD",0.10115
6,3,"2-variate","ADHD",0.093475
7,3,"2-variate","ADHD",0.11655
8,3,"2-variate","ADHD",0.11855
9,3,"2-variate","ADHD",0.127325
10,3,"2-variate","ADHD",0.106325
11,3,"2-variate","ADHD",0.106925
12,3,"2-variate","ADHD",0.11115
13,3,"2-variate","ADHD",0.1106
14,3,"2-variate","ADHD",0.1146
15,3,"2-variate","ADHD",0.105575
16,3,"2-variate","ADHD",0.1099
17,3,"2-variate","ADHD",0.104575
18,3,"2-variate","ADHD",0.11655
19,3,"2-variate","ADHD",0.099625
20,3,"2-variate","ADHD",0.096875
21,3,"2-variate","ADHD",0.095225
22,3,"2-variate","ADHD",0.113625
23,3,"2-variate","ADHD",0.1232
24,3,"2-variate","ADHD",0.118025
25,3,"2-variate","ADHD",0.092175
26,3,"2-variate","ADHD",0.130625
27,3,"2-variate","ADHD",0.12355
28,3,"2-variate","ADHD",0.1063
29,3,"2-variate","ADHD",0.100925
30,3,"2-variate","ADHD",0.10955
31,3,"2-variate","ADHD",0.120325
32,3,"2-variate","ADHD",0.099875
33,3,"2-variate","ADHD",0.116675
34,3,"2-variate","ADHD",0.11665
35,3,"2-variate","ADHD",0.11515
36,3,"2-variate","ADHD",0.0976
37,3,"2-variate","ADHD",0.1062
38,3,"2-variate","ADHD",0.1279
39,3,"2-variate","ADHD",0.110475
40,3,"2-variate","ADHD",0.11065
41,3,"2-variate","ADHD",0.1142
42,3,"2-variate","ADHD",0.0942
43,3,"2-variate","ADHD",0.113675
44,3,"2-variate","ADHD",0.10945
45,3,"2-variate","ADHD",0.09555
46,3,"2-variate","ADHD",0.1044
47,3,"2-variate","ADHD",0.12645
48,3,"2-variate","ADHD",0.115925
49,3,"2-variate","ADHD",0.1389
1,4,"2-variate","ADHD",0.113575
2,4,"2-variate","ADHD",0.106875
3,4,"2-variate","ADHD",0.11395
4,4,"2-variate","ADHD",0.102425
5,4,"2-variate","ADHD",0.100925
6,4,"2-variate","ADHD",0.096375
7,4,"2-variate","ADHD",0.121825
8,4,"2-variate","ADHD",0.121875
9,4,"2-variate","ADHD",0.128875
10,4,"2-variate","ADHD",0.109525
11,4,"2-variate","ADHD",0.109375
12,4,"2-variate","ADHD",0.1173
13,4,"2-variate","ADHD",0.1109
14,4,"2-variate","ADHD",0.11875
15,4,"2-variate","ADHD",0.1052
16,4,"2-variate","ADHD",0.111625
17,4,"2-variate","ADHD",0.1069
18,4,"2-variate","ADHD",0.1207
19,4,"2-variate","ADHD",0.099425
20,4,"2-variate","ADHD",0.094575
21,4,"2-variate","ADHD",0.102625
22,4,"2-variate","ADHD",0.115125
23,4,"2-variate","ADHD",0.12895
24,4,"2-variate","ADHD",0.118975
25,4,"2-variate","ADHD",0.091175
26,4,"2-variate","ADHD",0.1354
27,4,"2-variate","ADHD",0.127475
28,4,"2-variate","ADHD",0.1155
29,4,"2-variate","ADHD",0.1045
30,4,"2-variate","ADHD",0.11285
31,4,"2-variate","ADHD",0.1221
32,4,"2-variate","ADHD",0.101675
33,4,"2-variate","ADHD",0.1187
34,4,"2-variate","ADHD",0.119475
35,4,"2-variate","ADHD",0.118575
36,4,"2-variate","ADHD",0.095625
37,4,"2-variate","ADHD",0.113475
38,4,"2-variate","ADHD",0.132525
39,4,"2-variate","ADHD",0.113525
40,4,"2-variate","ADHD",0.1127
41,4,"2-variate","ADHD",0.114025
42,4,"2-variate","ADHD",0.096075
43,4,"2-variate","ADHD",0.119125
44,4,"2-variate","ADHD",0.1153
45,4,"2-variate","ADHD",0.089325
46,4,"2-variate","ADHD",0.1084
47,4,"2-variate","ADHD",0.132125
48,4,"2-variate","ADHD",0.120675
49,4,"2-variate","ADHD",0.143625
1,5,"2-variate","ADHD",0.1132
2,5,"2-variate","ADHD",0.111875
3,5,"2-variate","ADHD",0.11515
4,5,"2-variate","ADHD",0.105725
5,5,"2-variate","ADHD",0.10335
6,5,"2-variate","ADHD",0.094
7,5,"2-variate","ADHD",0.12475
8,5,"2-variate","ADHD",0.125875
9,5,"2-variate","ADHD",0.134075
10,5,"2-variate","ADHD",0.11185
11,5,"2-variate","ADHD",0.1104
12,5,"2-variate","ADHD",0.1147
13,5,"2-variate","ADHD",0.116325
14,5,"2-variate","ADHD",0.12275
15,5,"2-variate","ADHD",0.10945
16,5,"2-variate","ADHD",0.111425
17,5,"2-variate","ADHD",0.113075
18,5,"2-variate","ADHD",0.1244
19,5,"2-variate","ADHD",0.100775
20,5,"2-variate","ADHD",0.101975
