"gen","xAM","outcome","pheno_1","pheno_2","value","se","Outcome","Generation"
3,"2-variate","rgHE","ADHD","MDD",0.138055644091197,0.0384019764382242,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ADHD","MDD",0.190240846528249,0.0439278195319983,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ADHD","MDD",0.000536026827771783,0.0103881759396448,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ADHD","MDD",0.0394385741922406,0.0135818402808666,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ADHD","MDD",0.0723722068836362,0.015235795920448,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ADHD","MDD",0.0913849719895349,0.0164782623095639,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ALC","MDD",-0.00141325484175228,0.0367885593847194,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ALC","MDD",0.0336819626884997,0.0341486566165131,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ALC","MDD",0.0801357258139859,0.0433508375069838,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ALC","MDD",0.0877076099810947,0.0375880360759743,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ALC","MDD",0.00152364712210118,0.0099860763691002,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ALC","MDD",0.0215130748323153,0.0113054077080003,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ALC","MDD",0.0372721203428244,0.0146383327511574,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ALC","MDD",0.0463800327508944,0.0152040822143649,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ANX","MDD",-0.0120052473255554,0.0370103602525279,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ANX","MDD",0.0694205364676646,0.036451462410952,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ANX","MDD",0.147883144653699,0.0390307672953262,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ANX","MDD",0.175530735779019,0.0429493444974475,"hat(italic(r))[HE]","5~gen.~xAM"
