"N","kpheno","m_causal","gen","variable","value","type","kpheno_label","m_causal_label"
50000,5,2000,5,"ex_off_target",1,"Off target","5",2000
1e+05,5,2000,5,"ex_off_target",1,"Off target","5",2000
2e+05,5,2000,5,"ex_off_target",2,"Off target","5",2000
4e+05,5,2000,5,"ex_off_target",12,"Off target","5",2000
8e+05,5,2000,5,"ex_off_target",137,"Off target","5",2000
1600000,5,2000,5,"ex_off_target",611,"Off target","5",2000
3200000,5,2000,5,"ex_off_target",1630,"Off target","5",2000
6400000,5,2000,5,"ex_off_target",2809,"Off target","5",2000
50000,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
1e+05,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
2e+05,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
4e+05,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
8e+05,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
1600000,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
3200000,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
6400000,2,8000,5,"ex_FP",1,"Conventional false positives","2",8000
50000,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
1e+05,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
2e+05,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
4e+05,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
8e+05,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
1600000,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
3200000,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
6400000,2,4000,5,"ex_FP",1,"Conventional false positives","2",4000
50000,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
1e+05,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
2e+05,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
4e+05,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
8e+05,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
1600000,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
3200000,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
6400000,2,2000,5,"ex_FP",1,"Conventional false positives","2",2000
50000,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
1e+05,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
2e+05,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
4e+05,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
8e+05,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
1600000,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
3200000,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
6400000,5,8000,5,"ex_FP",1,"Conventional false positives","5",8000
50000,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
1e+05,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
2e+05,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
4e+05,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
8e+05,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
1600000,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
3200000,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
6400000,5,4000,5,"ex_FP",1,"Conventional false positives","5",4000
50000,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
1e+05,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
2e+05,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
4e+05,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
8e+05,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
1600000,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
3200000,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
6400000,5,2000,5,"ex_FP",1,"Conventional false positives","5",2000
