"K","valence","vg","frac","ve","vt","theta","mu","phi","af","emean","eMEAN","ATE","eMEANhet","LATE","sibGWASbias"
1,1,0.5,0.01,0.3,0.1,-0.0800243464345459,-1.19054520364494,1.71660196618344,0.01,-1,-1,-0.0506714109699929,-0.959279911832725,-0.0457287216003749,0.00494268936961796
1,1,0.5,0.01,0.3,0.1,0.264555149442891,-0.653975060352855,1.4501188809082,0.01,-1,-1,-0.031828211303029,-0.993336975100259,-0.0311449921296204,0.000683219173408595
1,1,0.5,0.01,0.3,0.1,-0.757922749587831,1.93856494163085,-0.149240864759295,0.01,-1,-1,0.0812636008687989,-1.26261369389697,0.0840349428936236,0.00277134202482468
1,1,0.5,0.01,0.3,0.1,-0.561109900854422,8.18198021939379,-0.100476079502308,0.01,-1,-1,0.0778154098349668,-1.04866921803632,0.0781611915719576,0.000345781736990736
1,1,0.5,0.01,0.3,0.1,0.0866144107102933,0,-0.783700794551668,0.01,0,1.50252051617043e-18,0.0707106781186548,0.0422283658406532,0.0683705503796445,-0.00234012773901029
1,1,0.5,0.01,0.3,0.1,0.0866222302822094,0,0.780794088003936,0.01,0,1.50265616412018e-18,0.0707106781186548,0.0422321782286945,0.0730423369261945,0.0023316588075397
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68691795193306,0.504297578007632,0.01,0,1.11022302462516e-15,0.0707106781186548,-0.0363930795268199,0.0694129291541477,-0.00129774896450705
1,1,0.5,0.01,0.3,0.1,-0.5,1.6882920196798,-0.50392623973584,0.01,0,-1.55431223447522e-15,0.0707106781186548,-0.0363769877368103,0.0720068980907194,0.00129621997206461
1,1,0.5,0.01,0.3,0.1,-0.700649014871494,0,0.321205330577274,0.01,0,-1.2154322945176e-17,0.0707106781186548,-0.341597462630668,0.0629520956224918,-0.00775858249616296
1,1,0.5,0.01,0.3,0.1,-0.700716966870404,0,-0.320280843342471,0.01,0,-1.21555017244535e-17,0.0707106781186548,-0.341630592243235,0.0784476803018077,0.00773700218315293
1,1,0.5,0.01,0.3,0.1,-0.5,2.83506049512387,0.309759973673862,0.01,0,-2.66453525910038e-15,0.0707106781186547,-0.457850030344121,0.0606822342457232,-0.0100284438729315
1,1,0.5,0.01,0.3,0.1,-0.5,-2.83699234613967,-0.309556624695581,0.01,0,2.66453525910038e-15,0.0707106781186547,-0.457855274035822,0.0807326533705232,0.0100219752518685
1,1,0.5,0.01,0.3,0.1,-0.0800616828423841,1.19065105414597,-1.71599675007763,0.01,1,1,-0.0506286157287424,1.04071805151757,-0.0555693153467266,-0.00494069961798415
1,1,0.5,0.01,0.3,0.1,-0.0800616828423842,1.19065105414597,-1.71599675007763,0.01,1,1,-0.0506286157287424,1.04071805151757,-0.0555693153467266,-0.00494069961798414
1,1,0.5,0.01,0.3,0.1,-0.0800616828423842,1.19065105414597,-1.71599675007763,0.01,1,1,-0.0506286157287424,1.04071805151757,-0.0555693153467265,-0.00494069961798415
1,1,0.5,0.01,0.3,0.1,0.264637538571067,0.653904595024705,-1.45085352290329,0.01,1,1,-0.0318801583366766,1.00661630326581,-0.0325589304229582,-0.000678772086281629
1,1,0.5,0.01,0.3,0.1,-0.757948993122596,-1.93836771350514,0.149687029891665,0.01,1,1,0.0812951495078618,0.737685920543342,0.0785186936388666,-0.00277645586899519
1,1,0.5,0.01,0.3,0.1,-0.561172608873422,-8.17359287446111,0.100569570446373,0.01,1,1,0.0778220206430196,0.951303846183139,0.0774757256136087,-0.000346295029410845
1,1,0.5,0.01,0.3,0.1,-0.561172608873422,-8.17359287446114,0.100569570446372,0.01,1,1,0.0778220206430196,0.951303846183139,0.0774757256136087,-0.000346295029410859
1,1,0.5,0.01,0.3,0.1,0.0820264971810478,0.859067417757904,0.0872280263706962,0.01,1,1,0.0768786310142786,1.04298831191766,0.0771437808972491,0.000265149882970481
1,1,0.5,0.01,0.3,0.1,0.264585570848196,-0.653949039929334,1.45039006909885,0.05,-1,-0.999999999999998,-0.0318473872038873,-0.997325877759467,-0.0315731344004624,0.000274252803424926
1,1,0.5,0.01,0.3,0.1,-0.411141636228287,-5.6269323311484,-0.25251310331266,0.05,-1,-0.999999999999999,0.0885660508877388,-1.19525986105326,0.0920524884936843,0.0034864376059455
1,1,0.5,0.01,0.3,0.1,-0.75793080596711,1.93850439122715,-0.149376388078765,0.05,-1,-0.999999999999997,0.0812731838146195,-1.10563360987415,0.0823889394206006,0.00111575560598103
1,1,0.5,0.01,0.3,0.1,-0.75793080596711,1.93850439122715,-0.149376388078765,0.05,-1,-0.999999999999998,0.0812731838146195,-1.10563360987415,0.0823889394206006,0.00111575560598103
1,1,0.5,0.01,0.3,0.1,0.0820232588268715,-0.859072197574718,-0.0872805792865069,0.05,-1,-0.999999999999998,0.0768823470665927,-0.982702360687158,0.076775591763173,-0.000106755303419692
1,1,0.5,0.01,0.3,0.1,0.0866166300685524,0,-0.782876806905342,0.05,0,3.00511803179833e-18,0.0707106781186548,0.0169922381726717,0.0697700260476568,-0.000940652070997944
1,1,0.5,0.01,0.3,0.1,0.0866166300685524,0,-0.782876806905341,0.05,0,3.00511803179833e-18,0.0707106781186548,0.0169922381726717,0.0697700260476568,-0.000940652070997944
1,1,0.5,0.01,0.3,0.1,0.0866199088087101,0,0.781658055655349,0.05,0,3.00523178594879e-18,0.0707106781186548,0.016992881387879,0.0716499013717073,0.000939223253052596
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68726060871141,0.504204927381988,0.05,0,6.66133814775094e-16,0.0707106781186548,-0.0146421907453891,0.0701886448898754,-0.000522033228779403
1,1,0.5,0.01,0.3,0.1,-0.5,1.68783671434085,-0.504049227425903,0.05,0,-1.11022302462516e-15,0.0707106781186548,-0.0146394757271011,0.0712324533742804,0.000521775255625648
1,1,0.5,0.01,0.3,0.1,-0.700662522968797,0,0.321021749023794,0.05,0,-2.43091145466222e-17,0.0707106781186548,-0.137454256296141,0.0675905124703415,-0.00312016564831323
1,1,0.5,0.01,0.3,0.1,-0.700691033231895,0,-0.32063396161877,0.05,0,-2.43101036950763e-17,0.0707106781186548,-0.137459849369672,0.0738272014811488,0.00311652336249407
1,1,0.5,0.01,0.3,0.1,-0.5,2.83436022909219,0.309833749281152,0.05,0,-1.77635683940025e-15,0.0707106781186547,-0.184228419094738,0.0666744997555736,-0.00403617836308111
1,1,0.5,0.01,0.3,0.1,-0.5,-2.83517008216976,-0.309748431394581,0.05,0,1.33226762955019e-15,0.0707106781186547,-0.184229304747686,0.0747457644507893,0.00403508633213459
1,1,0.5,0.01,0.3,0.1,-0.0800488702041833,1.19061472758295,-1.71620438524581,0.05,1,0.999999999999998,-0.0506432977522854,1.01638436544351,-0.052631605640978,-0.0019883078886926
1,1,0.5,0.01,0.3,0.1,0.264620122049284,0.653919489667539,-1.45069817326451,0.05,1,0.999999999999998,-0.0318691734583722,1.00266623729093,-0.0321426756839451,-0.000273502225572937
1,1,0.5,0.01,0.3,0.1,-0.411057384598386,5.62160217284241,0.252855690935493,0.05,1,0.999999999999999,0.0885902754908644,0.804733384001762,0.085098987016582,-0.00349128847428236
1,1,0.5,0.01,0.3,0.1,-0.757941805210806,-1.93842172885224,0.149563461491827,0.05,1,0.999999999999998,0.0812864119025151,0.894416940596286,0.0801697935741759,-0.00111661832833919
1,1,0.5,0.01,0.3,0.1,-0.561154451505523,-8.17601969588172,0.10054250192174,0.05,1,0.999999999999995,0.0778201066092871,0.980408834523738,0.0776808246192855,-0.0001392819900016
1,1,0.5,0.01,0.3,0.1,0.0820251707769499,0.859069375526397,0.0872495512240832,0.05,1,0.999999999999998,0.076880153051258,1.01729760963176,0.0769868702202751,0.000106717169017112
1,1,0.5,0.01,0.3,0.1,-0.0800384666328693,-1.19058523286917,1.71637302276776,0.25,-1,-1,-0.0506552222258185,-0.996290781686282,-0.0502050496055999,0.000450172620218542
1,1,0.5,0.01,0.3,0.1,-0.0800384666328693,-1.19058523286917,1.71637302276775,0.25,-1,-1,-0.0506552222258184,-0.996290781686282,-0.0502050496055999,0.000450172620218542
1,1,0.5,0.01,0.3,0.1,0.264599294087063,-0.653937302671726,1.45051243071595,0.25,-1,-1,-0.031856039476808,-0.999395328985524,-0.031794020355628,6.20191211799584e-05
1,1,0.5,0.01,0.3,0.1,-0.411107288867448,-5.62475813404349,-0.252652740481133,0.25,-1,-0.999999999999998,0.0885759247266121,-1.04420443241362,0.0893656478128462,0.000789723086234068
1,1,0.5,0.01,0.3,0.1,-0.411107288867449,-5.62475813404351,-0.252652740481132,0.25,-1,-0.999999999999998,0.088575924726612,-1.04420443241362,0.0893656478128461,0.000789723086234068
1,1,0.5,0.01,0.3,0.1,-0.757934853226073,1.93847397413084,-0.14944494457402,0.25,-1,-1,0.0812780314908885,-1.02390962075244,0.0815306929023756,0.000252661411487082
1,1,0.5,0.01,0.3,0.1,-0.561137640031174,8.17826791719564,-0.100517438244514,0.25,-1,-1.00000000000001,0.0778183343396743,-1.00443447867233,0.0778498530895966,3.1518749922313e-05
1,1,0.5,0.01,0.3,0.1,0.0820239470456207,-0.859071181758108,-0.0872694104017948,0.25,-1,-1,0.0768815573071808,-0.99608408473849,0.0768573926671896,-2.41646399912893e-05
1,1,0.5,0.01,0.3,0.1,0.0866178009862728,0,-0.782441759231817,0.25,0,3.00515865616749e-19,0.0707106781186548,0.00384683159354139,0.0704978445156119,-0.000212833603042833
1,1,0.5,0.01,0.3,0.1,0.0866187178143351,0,0.782100963631709,0.25,0,3.00519046503075e-19,0.0707106781186548,0.00384687231130512,0.0709234212729907,0.000212743154335976
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68745704092124,0.504151828813763,0.25,0,-1.77635683940025e-15,0.0707106781186547,-0.00331455561062444,0.0705925177985121,-0.000118160320142613
1,1,0.5,0.01,0.3,0.1,-0.5,1.68761813408446,-0.504108290825546,0.25,0,1.55431223447522e-15,0.0707106781186547,-0.00331438373978798,0.0708288221081241,0.000118143989469438
1,1,0.5,0.01,0.3,0.1,-0.700671569295402,0,0.320898750766017,0.25,0,-2.43094284041249e-18,0.0707106781186548,-0.0311179168574014,0.0700045824544876,-0.000706095664167197
1,1,0.5,0.01,0.3,0.1,-0.700679542560391,0,-0.320790306202239,0.25,0,-2.4309705032324e-18,0.0707106781186548,-0.0311182709625312,0.0714165431970382,0.00070586507838348
1,1,0.5,0.01,0.3,0.1,-0.5,2.83440390692983,0.309829146651573,0.25,0,2.66453525910038e-15,0.0707106781186548,-0.0417064720561839,0.069796963175536,-0.000913714943118829
1,1,0.5,0.01,0.3,0.1,-0.5,2.83440390692983,0.309829146651572,0.25,0,3.10862446895044e-15,0.0707106781186548,-0.0417064720561839,0.069796963175536,-0.000913714943118829
1,1,0.5,0.01,0.3,0.1,-0.5,-2.83463035527446,-0.309805286406968,0.25,0,-2.66453525910038e-15,0.0707106781186548,-0.041706528132972,0.0716243239241436,0.00091364580548875
1,1,0.5,0.01,0.3,0.1,-0.0800428440359719,1.19059764287676,-1.71630206226126,0.25,1,1,-0.0506502045602848,1.00370919656295,-0.0511003559291943,-0.000450151368909447
1,1,0.5,0.01,0.3,0.1,-0.0800428440359715,1.19059764287676,-1.71630206226126,0.25,1,1,-0.0506502045602848,1.00370919656295,-0.0511003559291943,-0.000450151368909482
1,1,0.5,0.01,0.3,0.1,0.26460895587851,0.653929039355178,-1.45059858913066,0.25,1,1,-0.0318621317967379,1.00060417184219,-0.0319241034002631,-6.19716035251544e-05
1,1,0.5,0.01,0.3,0.1,-0.411083726377498,5.62326759354276,0.252748554328648,0.25,1,0.999999999999997,0.088582699788743,0.955795139926736,0.0877926695715905,-0.000790030217152543
1,1,0.5,0.01,0.3,0.1,-0.411083726377498,5.62326759354276,0.252748554328648,0.25,1,0.999999999999997,0.088582699788743,0.955795139926736,0.0877926695715905,-0.000790030217152543
1,1,0.5,0.01,0.3,0.1,-0.757937928668701,-1.93845086133962,0.149497255387894,0.25,1,1,0.0812817304240105,0.976093579273188,0.0810290144000735,-0.000252716023936977
1,1,0.5,0.01,0.3,0.1,-0.561144991708186,-8.17728461533281,0.100528398805637,0.25,1,1.00000000000001,0.077819109368384,0.9955652336707,0.0777875851368235,-3.15242315604841e-05
1,1,0.5,0.01,0.3,0.1,0.082024481671945,0.859070392646855,0.0872607342238483,0.25,1,1,0.0768809438087548,1.00391591338263,0.076905106034745,2.41622259902347e-05
1,1,0.5,0.01,0.3,0.1,-0.0800406224558083,-1.19059134462925,1.71633807465525,0.5,-1,-1,-0.0506527510210842,-1,-0.0506527510210842,0
1,1,0.5,0.01,0.3,0.1,0.264604233432618,-0.653933078234864,1.45055647596377,0.5,-1,-1,-0.0318591539461492,-1,-0.0318591539461492,0
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,8.17777612299462,-0.100522919828782,0.5,-1,-1,0.0778187219462151,-1,0.0778187219462151,0
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,8.17777612299462,-0.100522919828782,0.5,-1,-1,0.0778187219462151,-1,0.0778187219462151,0
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,8.1777761229946,-0.100522919828783,0.5,-1,-0.999999999999998,0.0778187219462151,-0.999999999999998,0.0778187219462151,0
1,1,0.5,0.01,0.3,0.1,-0.411095168069134,-5.62399128529715,-0.252702025925448,0.5,-1,-1,0.0885794097338011,-1,0.0885794097338011,0
1,1,0.5,0.01,0.3,0.1,-0.757936398187458,1.93846236325522,-0.149471199663526,0.5,-1,-1,0.0812798880060715,-1,0.0812798880060715,0
1,1,0.5,0.01,0.3,0.1,-0.757936398187459,1.93846236325522,-0.149471199663525,0.5,-1,-1,0.0812798880060715,-1,0.0812798880060715,0
1,1,0.5,0.01,0.3,0.1,0.082024214321196,-0.859070787257779,-0.0872650729114514,0.5,-1,-1,0.0768812506002973,-1,0.0768812506002973,0
1,1,0.5,0.01,0.3,0.1,0.0866182585488294,0,0.782271694795875,0.5,0,0,0.0707106781186548,0,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,0.0866182585488294,0,-0.782271694795875,0.5,0,0,0.0707106781186548,0,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.5,1.68753664817463,-0.50413031279766,0.5,0,-4.44089209850063e-16,0.0707106781186548,-4.44089209850063e-16,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68753664817463,0.50413031279766,0.5,0,4.44089209850063e-16,0.0707106781186548,4.44089209850063e-16,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.700675452249862,0,-0.320845942847597,0.5,0,0,0.0707106781186548,0,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.700675452249862,0,-0.320845942847594,0.5,0,0,0.0707106781186548,0,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.700675452249862,0,0.320845942847594,0.5,0,0,0.0707106781186548,0,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.700675452249862,0,-0.320845942847593,0.5,0,0,0.0707106781186548,0,0.0707106781186548,0
1,1,0.5,0.01,0.3,0.1,-0.5,-2.83449609232115,-0.309819432893,0.5,0,4.44089209850063e-16,0.0707106781186547,4.44089209850063e-16,0.0707106781186547,0
1,1,0.5,0.01,0.3,0.1,-0.5,2.83449609232116,0.309819432893,0.5,0,-4.44089209850063e-16,0.0707106781186547,-4.44089209850063e-16,0.0707106781186547,0
1,1,0.5,0.01,0.3,0.1,-0.5,2.83449609232116,0.309819432892999,0.5,0,-4.44089209850063e-16,0.0707106781186547,-4.44089209850063e-16,0.0707106781186547,0
1,1,0.5,0.01,0.3,0.1,-0.0800406224558083,1.19059134462925,-1.71633807465525,0.5,1,1,-0.0506527510210841,1,-0.0506527510210841,0
1,1,0.5,0.01,0.3,0.1,0.264604233432618,0.653933078234864,-1.45055647596377,0.5,1,1,-0.0318591539461492,1,-0.0318591539461492,0
1,1,0.5,0.01,0.3,0.1,-0.561141316719845,-8.17777612299461,0.100522919828783,0.5,1,0.999999999999998,0.0778187219462151,0.999999999999998,0.0778187219462151,0
1,1,0.5,0.01,0.3,0.1,-0.411095168069134,5.62399128529714,0.252702025925449,0.5,1,1,0.0885794097338011,1,0.0885794097338011,0
1,1,0.5,0.01,0.3,0.1,-0.411095168069134,5.62399128529715,0.252702025925448,0.5,1,1,0.0885794097338011,1,0.0885794097338011,0
1,1,0.5,0.01,0.3,0.1,-0.757936398187458,-1.93846236325522,0.149471199663526,0.5,1,1,0.0812798880060715,1,0.0812798880060715,0
1,1,0.5,0.01,0.3,0.1,0.082024214321196,0.859070787257779,0.0872650729114514,0.5,1,1,0.0768812506002973,1,0.0768812506002973,0
1,1,0.5,0.01,0.3,0.1,-0.080042844035972,-1.19059764287676,1.71630206226126,0.75,-1,-1,-0.0506502045602849,-1.00370919656295,-0.0511003559291943,-0.000450151368909434
1,1,0.5,0.01,0.3,0.1,0.264608955878498,-0.653929039355191,1.4505985891306,0.75,-1,-1,-0.0318621317967345,-1.00060417184219,-0.0319241034002597,-6.19716035251544e-05
1,1,0.5,0.01,0.3,0.1,-0.411083726377495,-5.62326759354263,-0.252748554328656,0.75,-1,-1,0.0885826997887438,-0.955795139926743,0.0877926695715912,-0.000790030217152571
1,1,0.5,0.01,0.3,0.1,-0.7579379286687,1.93845086133962,-0.149497255387896,0.75,-1,-0.999999999999999,0.0812817304240106,-0.976093579273186,0.0810290144000736,-0.000252716023936977
1,1,0.5,0.01,0.3,0.1,-0.561144991708187,8.17728461533262,-0.10052839880564,0.75,-1,-0.999999999999993,0.0778191093683841,-0.995565233670687,0.0777875851368236,-3.15242315604841e-05
1,1,0.5,0.01,0.3,0.1,0.082024481671945,-0.859070392646856,-0.0872607342238482,0.75,-1,-1,0.0768809438087548,-1.00391591338263,0.076905106034745,2.41622259902208e-05
1,1,0.5,0.01,0.3,0.1,0.082024481671945,-0.859070392646856,-0.0872607342238482,0.75,-1,-1,0.0768809438087548,-1.00391591338263,0.076905106034745,2.41622259902208e-05
1,1,0.5,0.01,0.3,0.1,0.0866178009862728,0,0.782441759231818,0.75,0,6.01031731233498e-19,0.0707106781186548,-0.00384683159354139,0.0704978445156119,-0.000212833603042833
1,1,0.5,0.01,0.3,0.1,0.0866187178143351,0,-0.782100963631709,0.75,0,6.0103809300615e-19,0.0707106781186548,-0.00384687231130512,0.0709234212729907,0.000212743154335976
1,1,0.5,0.01,0.3,0.1,-0.5,1.68745704092137,-0.504151828812586,0.75,0,4.44089209850063e-16,0.0707106781186547,0.00331455561066596,0.0705925177985109,-0.000118160320143876
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68761813408444,0.504108290825552,0.75,0,-6.66133814775094e-16,0.0707106781186547,0.00331438373978887,0.0708288221081242,0.000118143989469438
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68761813408444,0.504108290825552,0.75,0,-6.66133814775094e-16,0.0707106781186547,0.00331438373978887,0.0708288221081242,0.000118143989469438
1,1,0.5,0.01,0.3,0.1,-0.5,-1.68761813408444,0.504108290825552,0.75,0,-4.44089209850063e-16,0.0707106781186547,0.0033143837397891,0.0708288221081242,0.000118143989469424
1,1,0.5,0.01,0.3,0.1,-0.700671569295401,0,-0.32089875076602,0.75,0,-4.86188568082497e-18,0.0707106781186548,0.0311179168574013,0.0700045824544876,-0.000706095664167197
1,1,0.5,0.01,0.3,0.1,-0.70067954256039,0,0.320790306202242,0.75,0,-4.8619410064648e-18,0.0707106781186548,0.0311182709625312,0.0714165431970382,0.000705865078383494
1,1,0.5,0.01,0.3,0.1,-0.5,-2.83440390692981,-0.309829146651573,0.75,0,-1.33226762955019e-15,0.0707106781186548,0.0417064720561853,0.069796963175536,-0.000913714943118829
1,1,0.5,0.01,0.3,0.1,-0.5,2.83463035527444,0.309805286406968,0.75,0,1.33226762955019e-15,0.0707106781186548,0.0417065281329703,0.0716243239241435,0.000913645805488736
1,1,0.5,0.01,0.3,0.1,-0.5,2.83463035527445,0.309805286406968,0.75,0,4.44089209850063e-16,0.0707106781186548,0.0417065281329698,0.0716243239241435,0.000913645805488736
