"gen","seed","scenario","power","GWAS","relative_T1R"
2,10,"5xAM + VT","66%","Sibship",0.961722488038278
3,10,"5xAM + VT","66%","Sibship",1.03827751196172
4,10,"5xAM + VT","66%","Sibship",0.84688995215311
5,10,"5xAM + VT","66%","Sibship",0.947368421052632
0,10,"5xAM + VT","50%","Sibship",1.04578754578755
1,10,"5xAM + VT","50%","Sibship",0.954212454212454
2,10,"5xAM + VT","50%","Sibship",1.06227106227106
3,10,"5xAM + VT","50%","Sibship",0.985347985347986
4,10,"5xAM + VT","50%","Sibship",1.00732600732601
5,10,"5xAM + VT","50%","Sibship",0.992673992673992
0,10,"5xAM + VT","39%","Sibship",1.03089598352214
1,10,"5xAM + VT","39%","Sibship",1.02471678681771
2,10,"5xAM + VT","39%","Sibship",1.01750772399588
3,10,"5xAM + VT","39%","Sibship",1.03707518022657
4,10,"5xAM + VT","39%","Sibship",0.995880535530382
5,10,"5xAM + VT","39%","Sibship",0.988671472708548
0,10,"5xAM + VT + GxE","66%","Sibship",1.08612440191388
1,10,"5xAM + VT + GxE","66%","Sibship",0.947368421052632
2,10,"5xAM + VT + GxE","66%","Sibship",1
3,10,"5xAM + VT + GxE","66%","Sibship",1.03349282296651
4,10,"5xAM + VT + GxE","66%","Sibship",0.971291866028708
5,10,"5xAM + VT + GxE","66%","Sibship",0.947368421052632
0,10,"5xAM + VT + GxE","50%","Sibship",1.04395604395604
1,10,"5xAM + VT + GxE","50%","Sibship",0.97069597069597
2,10,"5xAM + VT + GxE","50%","Sibship",0.967032967032968
3,10,"5xAM + VT + GxE","50%","Sibship",1.02747252747253
4,10,"5xAM + VT + GxE","50%","Sibship",0.983516483516484
5,10,"5xAM + VT + GxE","50%","Sibship",1.02380952380952
0,10,"5xAM + VT + GxE","39%","Sibship",1.00720906282183
1,10,"5xAM + VT + GxE","39%","Sibship",1.00823892893924
2,10,"5xAM + VT + GxE","39%","Sibship",1.01750772399588
3,10,"5xAM + VT + GxE","39%","Sibship",0.969104016477858
4,10,"5xAM + VT + GxE","39%","Sibship",0.993820803295572
5,10,"5xAM + VT + GxE","39%","Sibship",1.01235839340886
0,100,"5xAM","66%","Sibship",1.01913875598086
1,100,"5xAM","66%","Sibship",0.880382775119618
2,100,"5xAM","66%","Sibship",0.942583732057416
3,100,"5xAM","66%","Sibship",0.947368421052632
4,100,"5xAM","66%","Sibship",0.933014354066986
5,100,"5xAM","66%","Sibship",0.971291866028708
0,100,"5xAM","50%","Sibship",1.04395604395604
1,100,"5xAM","50%","Sibship",1.03113553113553
2,100,"5xAM","50%","Sibship",1.00732600732601
3,100,"5xAM","50%","Sibship",1.07509157509158
4,100,"5xAM","50%","Sibship",0.941391941391942
5,100,"5xAM","50%","Sibship",0.946886446886446
0,100,"5xAM","39%","Sibship",0.995880535530382
1,100,"5xAM","39%","Sibship",1.04737384140062
2,100,"5xAM","39%","Sibship",1.02780638516993
3,100,"5xAM","39%","Sibship",1.03295571575695
4,100,"5xAM","39%","Sibship",0.976313079299692
5,100,"5xAM","39%","Sibship",0.992790937178166
0,100,"5xAM + GxE","66%","Sibship",0.980861244019138
1,100,"5xAM + GxE","66%","Sibship",0.980861244019138
2,100,"5xAM + GxE","66%","Sibship",1.04306220095694
3,100,"5xAM + GxE","66%","Sibship",1.00956937799043
4,100,"5xAM + GxE","66%","Sibship",1.09569377990431
5,100,"5xAM + GxE","66%","Sibship",1.0622009569378
0,100,"5xAM + GxE","50%","Sibship",1.003663003663
1,100,"5xAM + GxE","50%","Sibship",0.97069597069597
2,100,"5xAM + GxE","50%","Sibship",0.967032967032968
3,100,"5xAM + GxE","50%","Sibship",0.974358974358974
4,100,"5xAM + GxE","50%","Sibship",0.974358974358974
5,100,"5xAM + GxE","50%","Sibship",1.03663003663004
0,100,"5xAM + GxE","39%","Sibship",0.973223480947476
1,100,"5xAM + GxE","39%","Sibship",1.00411946446962
2,100,"5xAM + GxE","39%","Sibship",1.05252317198764
3,100,"5xAM + GxE","39%","Sibship",1.0216271884655
4,100,"5xAM + GxE","39%","Sibship",0.993820803295572
5,100,"5xAM + GxE","39%","Sibship",0.98249227600412
0,100,"5xAM + VT","66%","Sibship",0.870813397129186
1,100,"5xAM + VT","66%","Sibship",1.07655502392345
2,100,"5xAM + VT","66%","Sibship",0.966507177033492
3,100,"5xAM + VT","66%","Sibship",1.03827751196172
4,100,"5xAM + VT","66%","Sibship",0.976076555023924
5,100,"5xAM + VT","66%","Sibship",1.04784688995215
0,100,"5xAM + VT","50%","Sibship",0.974358974358974
1,100,"5xAM + VT","50%","Sibship",1.03113553113553
2,100,"5xAM + VT","50%","Sibship",0.963369963369964
3,100,"5xAM + VT","50%","Sibship",1.00732600732601
4,100,"5xAM + VT","50%","Sibship",1.08791208791209
5,100,"5xAM + VT","50%","Sibship",0.912087912087912
0,100,"5xAM + VT","39%","Sibship",0.983522142121524
1,100,"5xAM + VT","39%","Sibship",1.01029866117405
2,100,"5xAM + VT","39%","Sibship",0.974253347064882
3,100,"5xAM + VT","39%","Sibship",0.950566426364572
4,100,"5xAM + VT","39%","Sibship",1.03707518022657
5,100,"5xAM + VT","39%","Sibship",0.99794026776519
0,100,"5xAM + VT + GxE","66%","Sibship",0.899521531100478
1,100,"5xAM + VT + GxE","66%","Sibship",1.16746411483254
2,100,"5xAM + VT + GxE","66%","Sibship",1.09090909090909
3,100,"5xAM + VT + GxE","66%","Sibship",1.02392344497608
4,100,"5xAM + VT + GxE","66%","Sibship",0.976076555023924
5,100,"5xAM + VT + GxE","66%","Sibship",1.02870813397129
0,100,"5xAM + VT + GxE","50%","Sibship",1.04029304029304
1,100,"5xAM + VT + GxE","50%","Sibship",0.967032967032968
2,100,"5xAM + VT + GxE","50%","Sibship",0.941391941391942
3,100,"5xAM + VT + GxE","50%","Sibship",0.985347985347986
4,100,"5xAM + VT + GxE","50%","Sibship",0.961538461538462
5,100,"5xAM + VT + GxE","50%","Sibship",1.04029304029304
0,100,"5xAM + VT + GxE","39%","Sibship",0.96086508753862
1,100,"5xAM + VT + GxE","39%","Sibship",1.03810504634398
2,100,"5xAM + VT + GxE","39%","Sibship",0.927909371781668
3,100,"5xAM + VT + GxE","39%","Sibship",0.975283213182286
4,100,"5xAM + VT + GxE","39%","Sibship",0.933058702368692
5,100,"5xAM + VT + GxE","39%","Sibship",1.03398558187436
0,101,"5xAM","66%","Sibship",1.05741626794258
1,101,"5xAM","66%","Sibship",1.04306220095694
2,101,"5xAM","66%","Sibship",0.923444976076556
3,101,"5xAM","66%","Sibship",0.995215311004784
4,101,"5xAM","66%","Sibship",0.966507177033492
5,101,"5xAM","66%","Sibship",0.933014354066986
0,101,"5xAM","50%","Sibship",0.987179487179488
1,101,"5xAM","50%","Sibship",0.928571428571428
2,101,"5xAM","50%","Sibship",1.07509157509158
3,101,"5xAM","50%","Sibship",0.932234432234432
4,101,"5xAM","50%","Sibship",0.952380952380952
5,101,"5xAM","50%","Sibship",0.976190476190476
0,101,"5xAM","39%","Sibship",1
1,101,"5xAM","39%","Sibship",1.03604531410917
2,101,"5xAM","39%","Sibship",1.01338825952626
3,101,"5xAM","39%","Sibship",1.043254376931
4,101,"5xAM","39%","Sibship",0.974253347064882
5,101,"5xAM","39%","Sibship",0.99794026776519
0,101,"5xAM + GxE","66%","Sibship",0.91866028708134
1,101,"5xAM + GxE","66%","Sibship",1.15789473684211
2,101,"5xAM + GxE","66%","Sibship",1.10526315789474
3,101,"5xAM + GxE","66%","Sibship",1.06698564593301
4,101,"5xAM + GxE","66%","Sibship",1.02392344497608
5,101,"5xAM + GxE","66%","Sibship",1.00478468899522
0,101,"5xAM + GxE","50%","Sibship",1.03846153846154
1,101,"5xAM + GxE","50%","Sibship",0.974358974358974
2,101,"5xAM + GxE","50%","Sibship",1.04029304029304
3,101,"5xAM + GxE","50%","Sibship",1.01831501831502
4,101,"5xAM + GxE","50%","Sibship",1.02747252747253
5,101,"5xAM + GxE","50%","Sibship",1.00549450549451
0,101,"5xAM + GxE","39%","Sibship",1.05767250257467
1,101,"5xAM + GxE","39%","Sibship",0.953656024716786
2,101,"5xAM + GxE","39%","Sibship",0.981462409886714
3,101,"5xAM + GxE","39%","Sibship",1.0226570545829
4,101,"5xAM + GxE","39%","Sibship",0.984552008238928
5,101,"5xAM + GxE","39%","Sibship",1.04222451081359
0,101,"5xAM + VT","66%","Sibship",0.956937799043062
1,101,"5xAM + VT","66%","Sibship",1.01913875598086
2,101,"5xAM + VT","66%","Sibship",0.937799043062202
3,101,"5xAM + VT","66%","Sibship",0.942583732057416
4,101,"5xAM + VT","66%","Sibship",1.05263157894737
5,101,"5xAM + VT","66%","Sibship",1.00956937799043
0,101,"5xAM + VT","50%","Sibship",1.02747252747253
1,101,"5xAM + VT","50%","Sibship",1.13736263736264
2,101,"5xAM + VT","50%","Sibship",0.963369963369964
3,101,"5xAM + VT","50%","Sibship",0.989010989010988
4,101,"5xAM + VT","50%","Sibship",0.952380952380952
5,101,"5xAM + VT","50%","Sibship",1.01098901098901
0,101,"5xAM + VT","39%","Sibship",1.03707518022657
1,101,"5xAM + VT","39%","Sibship",0.93717816683831
2,101,"5xAM + VT","39%","Sibship",0.970133882595262
3,101,"5xAM + VT","39%","Sibship",1.0226570545829
4,101,"5xAM + VT","39%","Sibship",1.03295571575695
5,101,"5xAM + VT","39%","Sibship",1.00514933058702
0,101,"5xAM + VT + GxE","66%","Sibship",0.971291866028708
1,101,"5xAM + VT + GxE","66%","Sibship",0.980861244019138
2,101,"5xAM + VT + GxE","66%","Sibship",1.11483253588517
3,101,"5xAM + VT + GxE","66%","Sibship",1.01913875598086
4,101,"5xAM + VT + GxE","66%","Sibship",0.985645933014354
5,101,"5xAM + VT + GxE","66%","Sibship",0.832535885167464
0,101,"5xAM + VT + GxE","50%","Sibship",0.967032967032968
1,101,"5xAM + VT + GxE","50%","Sibship",1.04395604395604
2,101,"5xAM + VT + GxE","50%","Sibship",0.967032967032968
3,101,"5xAM + VT + GxE","50%","Sibship",0.985347985347986
4,101,"5xAM + VT + GxE","50%","Sibship",0.941391941391942
5,101,"5xAM + VT + GxE","50%","Sibship",0.963369963369964
0,101,"5xAM + VT + GxE","39%","Sibship",0.930998970133882
1,101,"5xAM + VT + GxE","39%","Sibship",0.974253347064882
2,101,"5xAM + VT + GxE","39%","Sibship",0.998970133882596
3,101,"5xAM + VT + GxE","39%","Sibship",0.961894953656024
