"gen","scenario","h2_true","h2_he","rg_true","he_rg","h2_bias","rg_bias","h2_bias_median","rg_bias_median"
0,"5xAM",0.49929458316644,0.499333562072118,8.45834799683575e-07,-3.678476349541e-05,3.89789056785726e-05,-3.76305982950935e-05,7.79312994569903e-05,-3.7451496067531e-05
0,"5xAM + GxE",0.50180762974729,0.501737407358487,-1.34439506038072e-05,-7.94270511832737e-05,-7.02223888022914e-05,-6.59831005794665e-05,3.52029620959982e-05,-0.000100321025251489
0,"5xAM + VT",0.499254348935464,0.49940697833697,-2.47806269932689e-05,-4.72765542604872e-06,0.000152629401505961,2.00529715672201e-05,0.000176005963265002,2.15390592475155e-05
0,"5xAM + VT + GxE",0.499294056373599,0.499261685236295,2.30275955157357e-05,8.47758881493865e-05,-3.23711373038924e-05,6.17482926336508e-05,2.47876839130357e-05,4.1216030129544e-05
1,"5xAM",0.511488787404746,0.541729674482346,0.047443293554296,0.100739113583375,0.0302408870776001,0.0532958200290786,0.0302858150922929,0.0534636397076435
1,"5xAM + GxE",0.512942026304654,0.543660016846657,0.0478354608732678,0.101581734431157,0.0307179905420026,0.0537462735578891,0.0307737249347665,0.0537843974985523
1,"5xAM + VT",0.428030856492344,0.605308519124985,0.0335064096806468,0.316950733667405,0.177277662632641,0.283444323986758,0.177407403213357,0.283445956738357
1,"5xAM + VT + GxE",0.42216508278769,0.599259511852264,0.0335353576766061,0.319666649068364,0.177094429064575,0.286131291391758,0.177225069324061,0.286055561437651
2,"5xAM",0.520304327852212,0.580453647772471,0.0806759728466707,0.176407654751106,0.0601493199202587,0.0957316819044357,0.0601462809444285,0.0957650846224217
2,"5xAM + GxE",0.520909474807746,0.581730040383339,0.0812218860371765,0.177412257243086,0.0608205655755934,0.0961903712059093,0.06084891514671,0.0961909007263445
2,"5xAM + VT",0.39130636034095,0.679808683474859,0.0540297101613565,0.456063438411897,0.288502323133909,0.402033728250541,0.28838031451278,0.40212701482871
2,"5xAM + VT + GxE",0.376739063301936,0.666352862993876,0.0533547623526348,0.465041421660428,0.28961379969194,0.411686659307793,0.289679681609327,0.411483997029681
3,"5xAM",0.526631156740724,0.612840388711294,0.10394070242327,0.230180965951402,0.0862092319705693,0.126240263528132,0.0864139518501945,0.126209948952839
3,"5xAM + GxE",0.526778904947634,0.613638302564621,0.104668690853535,0.232056677461693,0.0868593976169874,0.127387986608158,0.0870249969897815,0.127340784289689
3,"5xAM + VT",0.372165608613268,0.719543361186981,0.0642024656489345,0.516487692131827,0.347377752573713,0.452285226482893,0.347261945544327,0.452244912546641
3,"5xAM + VT + GxE",0.347791705260409,0.697374803050359,0.0621939752470347,0.532545447913529,0.34958309778995,0.470351472666495,0.349426014981231,0.470371998724954
4,"5xAM",0.531375304908471,0.638618189652761,0.120414014498207,0.268890921913063,0.10724288474429,0.148476907414856,0.107052581543131,0.148353496702372
4,"5xAM + GxE",0.530834110524682,0.63884997288386,0.121091187844976,0.270286278671115,0.108015862359178,0.149195090826138,0.10809704643092,0.14922291577999
4,"5xAM + VT",0.362198048310008,0.739666366147995,0.0690680761395362,0.544503834630518,0.377468317837987,0.475435758490981,0.37741878672512,0.475242746296729
4,"5xAM + VT + GxE",0.327674421318942,0.706940037997564,0.0653739527844811,0.567164302157961,0.379265616678622,0.50179034937348,0.379679151044312,0.502164763026251
5,"5xAM",0.534531532802378,0.658128500350316,0.132010351934841,0.295548112081288,0.123596967547939,0.163537760146447,0.123944950319053,0.163474853519523
5,"5xAM + GxE",0.534052075555788,0.658400882546107,0.132739218000288,0.297551217466212,0.124348806990319,0.164811999465924,0.124518440262609,0.165190535082271
5,"5xAM + VT",0.357036636305875,0.747932349538803,0.0709865790173321,0.557234418502158,0.390895713232928,0.486247839484826,0.390860441066661,0.486714348792347
5,"5xAM + VT + GxE",0.31190229701719,0.702738227208455,0.065259308200979,0.585395328063163,0.390835930191265,0.520136019862184,0.390537226278574,0.520410610073068
