"seed","gen","variable","value","type","traits"
17,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01396817304308,"rgHE","edu / height"
17,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01524193517669,"rgHE","edu / height"
17,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02669296558501,"rgHE","edu / height"
17,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05280123994172,"rgHE","edu / height"
17,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.09333423007936,"rgHE","edu / height"
18,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
18,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.983735168066565,"rgHE","edu / height"
18,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02380614379055,"rgHE","edu / height"
18,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03444872093119,"rgHE","edu / height"
18,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.970735942967901,"rgHE","edu / height"
18,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.896682788036128,"rgHE","edu / height"
19,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
19,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.975169342902055,"rgHE","edu / height"
19,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02767710285258,"rgHE","edu / height"
19,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.975351735922595,"rgHE","edu / height"
19,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.958493784436996,"rgHE","edu / height"
19,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.833562236774031,"rgHE","edu / height"
2,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
2,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0406118769277,"rgHE","edu / height"
2,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00534511143452,"rgHE","edu / height"
2,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.946910004088207,"rgHE","edu / height"
2,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.1287480788962,"rgHE","edu / height"
2,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.10042873879898,"rgHE","edu / height"
20,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.240620755258359,"rgHE","edu / height"
20,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.20816412977473,"rgHE","edu / height"
20,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02462845639638,"rgHE","edu / height"
20,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.955578197115545,"rgHE","edu / height"
20,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.980143290656447,"rgHE","edu / height"
20,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.06641783973312,"rgHE","edu / height"
21,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
21,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03499758328339,"rgHE","edu / height"
21,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01930367846633,"rgHE","edu / height"
21,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01031957610888,"rgHE","edu / height"
