"scenario","h2_true_mean","h2_true_median","h2_he_mean","h2_he_median","rg_true_mean","rg_true_median","he_rg_mean","he_rg_median","h2_bias_mean","h2_bias_median","rg_bias_mean","rg_bias_median","h2_true_gen0","h2_he_gen0"
"5xAM",0.53486862588813,0.534922199912094,0.65813045277149,0.658184564113617,0.131902304454567,0.131742437868249,0.295067081159665,0.295352653278714,0.12326182688336,0.123625482773268,0.163164776705098,0.163327768605295,0.499547097540568,0.499563052413025
"5xAM + GxE (20%)",0.569228257473554,0.569614267480816,0.714687641220863,0.714278817176819,0.141296374447604,0.14144977143852,0.317048236937817,0.317132633022171,0.14545938374731,0.145502721007893,0.175751862490213,0.175288053171423,0.542996127528735,0.542979445849471
"5xAM + GxE (5%)",0.533843488647898,0.53387405722133,0.65844472834006,0.6579086124897,0.132848894364359,0.132861325165718,0.297269807839508,0.29737595753536,0.124601239692162,0.124580511399734,0.164420913475149,0.164564074123718,0.50200814707841,0.502054105461783
"5xAM + VT (20%)",0.24670113502913,0.246814672934724,0.650321851756921,0.650101590156555,0.0338612287638917,0.0339300990462475,0.633947880361738,0.633987633855015,0.403620716727792,0.402929860917879,0.600086651597847,0.600189573093972,0.499569642949144,0.499510351490899
"5xAM + VT (20%) + GxE (20%)",0.0642600322049617,0.064259893920504,0.194387020488917,0.195771780610085,0.0200040648130651,0.0200799149335964,0.677496421641449,0.678154452788727,0.130126988283955,0.130447048231437,0.657492356828383,0.658670483258193,0.499565513312209,0.499651561174016
"5xAM + VT (20%) + GxE (5%)",0.164110661828349,0.164231420897371,0.458874377020182,0.459522104263306,0.0293949116995926,0.02940769094838,0.653111677040313,0.653373917705252,0.294763715191834,0.295010213959463,0.62371676534072,0.623871261183188,0.487385414494882,0.48747248310604
"5xAM + VT (5%)",0.396021506886592,0.395881795132119,0.749692582472457,0.749368894100189,0.0781635662786984,0.0782132540229421,0.51344401765128,0.513126941282789,0.353671075585865,0.353466133044507,0.435280451372581,0.435097448575778,0.499562806115371,0.499595108868564
"5xAM + VT (5%) + GxE (20%)",0.296669955655689,0.296581532813384,0.626238819088523,0.627035140991211,0.059651173324711,0.0597692239857434,0.554343192424664,0.555027015891943,0.329568863432834,0.329756147251886,0.494692019099953,0.494891588641636,0.535285648721394,0.535202146495019
"5xAM + VT (5%) + GxE (5%)",0.37055652775705,0.370407047445405,0.722900215806328,0.722738671302795,0.0735890041266593,0.073318773225619,0.525046550861677,0.525145867082942,0.352343688049278,0.352166435867176,0.451457546735018,0.451608779863013,0.499531939899062,0.499422344484319
