"seed","gen","variable","value","traits"
17,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.588929536092285,"edu / height"
17,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.481053466499868,"edu / height"
17,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.455379289336982,"edu / height"
18,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0088284203765807,"edu / height"
18,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.352376360876381,"edu / height"
18,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.543267299695835,"edu / height"
18,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.596084814018743,"edu / height"
18,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.520029256062102,"edu / height"
18,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.425717218767645,"edu / height"
19,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.0454024506708759,"edu / height"
19,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.321921073225738,"edu / height"
19,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.523513831005114,"edu / height"
19,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.57386394495159,"edu / height"
19,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.525490776725701,"edu / height"
19,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.369490518742704,"edu / height"
2,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0362213738727892,"edu / height"
2,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.335480423259839,"edu / height"
2,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.465633494066246,"edu / height"
2,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.54921580461477,"edu / height"
2,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.448859656674786,"edu / height"
2,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.383300191658909,"edu / height"
20,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0375479068646832,"edu / height"
20,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.295377583413841,"edu / height"
20,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.507032031178363,"edu / height"
20,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.52226492757673,"edu / height"
20,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.499502600495039,"edu / height"
20,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.38593441576555,"edu / height"
21,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.0109428377763566,"edu / height"
21,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.297177995765229,"edu / height"
21,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.473419709714841,"edu / height"
