"gen","scenario","seed","gwas_type","fpr"
1,"RM + VT (5%)",3,"Population GWAS",0.05275
2,"RM + VT (5%)",3,"Population GWAS",0.0538125
3,"RM + VT (5%)",3,"Population GWAS",0.054
4,"RM + VT (5%)",3,"Population GWAS",0.057875
5,"RM + VT (5%)",3,"Population GWAS",0.0503125
0,"5xAM",3,"Population GWAS",0.0489375
1,"5xAM",3,"Population GWAS",0.0503125
2,"5xAM",3,"Population GWAS",0.048625
3,"5xAM",3,"Population GWAS",0.0504375
4,"5xAM",3,"Population GWAS",0.053625
5,"5xAM",3,"Population GWAS",0.0528125
0,"5xAM + VT (5%)",3,"Population GWAS",0.0480625
1,"5xAM + VT (5%)",3,"Population GWAS",0.0565625
2,"5xAM + VT (5%)",3,"Population GWAS",0.0620625
3,"5xAM + VT (5%)",3,"Population GWAS",0.067375
4,"5xAM + VT (5%)",3,"Population GWAS",0.0726875
5,"5xAM + VT (5%)",3,"Population GWAS",0.0691875
0,"RM",30,"Population GWAS",0.049
1,"RM",30,"Population GWAS",0.0518125
2,"RM",30,"Population GWAS",0.0476875
3,"RM",30,"Population GWAS",0.04675
4,"RM",30,"Population GWAS",0.0506875
5,"RM",30,"Population GWAS",0.0475625
0,"RM + VT (5%)",30,"Population GWAS",0.05075
1,"RM + VT (5%)",30,"Population GWAS",0.0511875
2,"RM + VT (5%)",30,"Population GWAS",0.052125
3,"RM + VT (5%)",30,"Population GWAS",0.053
4,"RM + VT (5%)",30,"Population GWAS",0.0521875
5,"RM + VT (5%)",30,"Population GWAS",0.0535625
0,"5xAM",30,"Population GWAS",0.04925
1,"5xAM",30,"Population GWAS",0.04825
2,"5xAM",30,"Population GWAS",0.0489375
3,"5xAM",30,"Population GWAS",0.053
4,"5xAM",30,"Population GWAS",0.0525
5,"5xAM",30,"Population GWAS",0.046875
0,"5xAM + VT (5%)",30,"Population GWAS",0.0468125
1,"5xAM + VT (5%)",30,"Population GWAS",0.056875
2,"5xAM + VT (5%)",30,"Population GWAS",0.060625
3,"5xAM + VT (5%)",30,"Population GWAS",0.06225
4,"5xAM + VT (5%)",30,"Population GWAS",0.066875
5,"5xAM + VT (5%)",30,"Population GWAS",0.0705
0,"RM",31,"Population GWAS",0.049375
1,"RM",31,"Population GWAS",0.0478125
2,"RM",31,"Population GWAS",0.05075
3,"RM",31,"Population GWAS",0.051125
4,"RM",31,"Population GWAS",0.0505625
5,"RM",31,"Population GWAS",0.048
0,"RM + VT (5%)",31,"Population GWAS",0.0553125
1,"RM + VT (5%)",31,"Population GWAS",0.05175
2,"RM + VT (5%)",31,"Population GWAS",0.0513125
3,"RM + VT (5%)",31,"Population GWAS",0.053125
4,"RM + VT (5%)",31,"Population GWAS",0.055875
5,"RM + VT (5%)",31,"Population GWAS",0.052875
0,"5xAM",31,"Population GWAS",0.0488125
1,"5xAM",31,"Population GWAS",0.051
2,"5xAM",31,"Population GWAS",0.0449375
3,"5xAM",31,"Population GWAS",0.050125
4,"5xAM",31,"Population GWAS",0.053375
5,"5xAM",31,"Population GWAS",0.0528125
0,"5xAM + VT (5%)",31,"Population GWAS",0.0496875
1,"5xAM + VT (5%)",31,"Population GWAS",0.0575
2,"5xAM + VT (5%)",31,"Population GWAS",0.063
3,"5xAM + VT (5%)",31,"Population GWAS",0.0640625
4,"5xAM + VT (5%)",31,"Population GWAS",0.0708125
5,"5xAM + VT (5%)",31,"Population GWAS",0.0730625
0,"RM",32,"Population GWAS",0.047125
1,"RM",32,"Population GWAS",0.0505625
2,"RM",32,"Population GWAS",0.0483125
3,"RM",32,"Population GWAS",0.0503125
4,"RM",32,"Population GWAS",0.04825
5,"RM",32,"Population GWAS",0.050875
0,"RM + VT (5%)",32,"Population GWAS",0.0518125
1,"RM + VT (5%)",32,"Population GWAS",0.0565
2,"RM + VT (5%)",32,"Population GWAS",0.0485625
3,"RM + VT (5%)",32,"Population GWAS",0.049875
4,"RM + VT (5%)",32,"Population GWAS",0.05075
5,"RM + VT (5%)",32,"Population GWAS",0.05125
0,"5xAM",32,"Population GWAS",0.051375
1,"5xAM",32,"Population GWAS",0.0511875
2,"5xAM",32,"Population GWAS",0.048
3,"5xAM",32,"Population GWAS",0.0493125
4,"5xAM",32,"Population GWAS",0.0494375
5,"5xAM",32,"Population GWAS",0.0499375
0,"5xAM + VT (5%)",32,"Population GWAS",0.0458125
1,"5xAM + VT (5%)",32,"Population GWAS",0.0541875
2,"5xAM + VT (5%)",32,"Population GWAS",0.0591875
3,"5xAM + VT (5%)",32,"Population GWAS",0.0674375
4,"5xAM + VT (5%)",32,"Population GWAS",0.0691875
5,"5xAM + VT (5%)",32,"Population GWAS",0.071875
0,"RM",33,"Population GWAS",0.0483125
1,"RM",33,"Population GWAS",0.05075
2,"RM",33,"Population GWAS",0.0491875
3,"RM",33,"Population GWAS",0.04725
4,"RM",33,"Population GWAS",0.0525625
5,"RM",33,"Population GWAS",0.0518125
0,"RM + VT (5%)",33,"Population GWAS",0.049875
1,"RM + VT (5%)",33,"Population GWAS",0.05275
2,"RM + VT (5%)",33,"Population GWAS",0.053625
3,"RM + VT (5%)",33,"Population GWAS",0.052375
4,"RM + VT (5%)",33,"Population GWAS",0.05275
5,"RM + VT (5%)",33,"Population GWAS",0.0561875
0,"5xAM",33,"Population GWAS",0.0540625
1,"5xAM",33,"Population GWAS",0.0485625
2,"5xAM",33,"Population GWAS",0.05225
3,"5xAM",33,"Population GWAS",0.051375
4,"5xAM",33,"Population GWAS",0.052125
5,"5xAM",33,"Population GWAS",0.05225
0,"5xAM + VT (5%)",33,"Population GWAS",0.0481875
1,"5xAM + VT (5%)",33,"Population GWAS",0.0581875
2,"5xAM + VT (5%)",33,"Population GWAS",0.0595625
3,"5xAM + VT (5%)",33,"Population GWAS",0.067625
4,"5xAM + VT (5%)",33,"Population GWAS",0.06925
5,"5xAM + VT (5%)",33,"Population GWAS",0.0693125
0,"RM",34,"Population GWAS",0.0476875
1,"RM",34,"Population GWAS",0.0511875
2,"RM",34,"Population GWAS",0.0503125
3,"RM",34,"Population GWAS",0.0498125
4,"RM",34,"Population GWAS",0.051375
5,"RM",34,"Population GWAS",0.05075
0,"RM + VT (5%)",34,"Population GWAS",0.0496875
1,"RM + VT (5%)",34,"Population GWAS",0.0505625
2,"RM + VT (5%)",34,"Population GWAS",0.052375
3,"RM + VT (5%)",34,"Population GWAS",0.056375
4,"RM + VT (5%)",34,"Population GWAS",0.0525625
5,"RM + VT (5%)",34,"Population GWAS",0.0521875
0,"5xAM",34,"Population GWAS",0.0479375
1,"5xAM",34,"Population GWAS",0.05375
2,"5xAM",34,"Population GWAS",0.0516875
3,"5xAM",34,"Population GWAS",0.0516875
4,"5xAM",34,"Population GWAS",0.049625
5,"5xAM",34,"Population GWAS",0.05075
0,"5xAM + VT (5%)",34,"Population GWAS",0.052
1,"5xAM + VT (5%)",34,"Population GWAS",0.053875
2,"5xAM + VT (5%)",34,"Population GWAS",0.0634375
3,"5xAM + VT (5%)",34,"Population GWAS",0.06275
4,"5xAM + VT (5%)",34,"Population GWAS",0.06675
5,"5xAM + VT (5%)",34,"Population GWAS",0.0733125
0,"RM",35,"Population GWAS",0.0505625
1,"RM",35,"Population GWAS",0.0489375
2,"RM",35,"Population GWAS",0.0474375
3,"RM",35,"Population GWAS",0.050875
4,"RM",35,"Population GWAS",0.0515
5,"RM",35,"Population GWAS",0.050375
0,"RM + VT (5%)",35,"Population GWAS",0.051375
1,"RM + VT (5%)",35,"Population GWAS",0.051125
2,"RM + VT (5%)",35,"Population GWAS",0.052375
3,"RM + VT (5%)",35,"Population GWAS",0.05375
4,"RM + VT (5%)",35,"Population GWAS",0.0538125
5,"RM + VT (5%)",35,"Population GWAS",0.0515
0,"5xAM",35,"Population GWAS",0.05425
1,"5xAM",35,"Population GWAS",0.0534375
2,"5xAM",35,"Population GWAS",0.0490625
3,"5xAM",35,"Population GWAS",0.04925
4,"5xAM",35,"Population GWAS",0.049375
5,"5xAM",35,"Population GWAS",0.0506875
0,"5xAM + VT (5%)",35,"Population GWAS",0.050875
1,"5xAM + VT (5%)",35,"Population GWAS",0.0564375
2,"5xAM + VT (5%)",35,"Population GWAS",0.0601875
3,"5xAM + VT (5%)",35,"Population GWAS",0.064625
4,"5xAM + VT (5%)",35,"Population GWAS",0.0718125
5,"5xAM + VT (5%)",35,"Population GWAS",0.0709375
0,"RM",36,"Population GWAS",0.045
1,"RM",36,"Population GWAS",0.051125
2,"RM",36,"Population GWAS",0.048875
3,"RM",36,"Population GWAS",0.050125
4,"RM",36,"Population GWAS",0.0515
5,"RM",36,"Population GWAS",0.0519375
0,"RM + VT (5%)",36,"Population GWAS",0.054
1,"RM + VT (5%)",36,"Population GWAS",0.049875
2,"RM + VT (5%)",36,"Population GWAS",0.052
3,"RM + VT (5%)",36,"Population GWAS",0.0570625
4,"RM + VT (5%)",36,"Population GWAS",0.0526875
5,"RM + VT (5%)",36,"Population GWAS",0.0525625
0,"5xAM",36,"Population GWAS",0.046875
1,"5xAM",36,"Population GWAS",0.0509375
2,"5xAM",36,"Population GWAS",0.04775
3,"5xAM",36,"Population GWAS",0.0498125
4,"5xAM",36,"Population GWAS",0.04975
5,"5xAM",36,"Population GWAS",0.0496875
0,"5xAM + VT (5%)",36,"Population GWAS",0.0496875
1,"5xAM + VT (5%)",36,"Population GWAS",0.057375
2,"5xAM + VT (5%)",36,"Population GWAS",0.061625
3,"5xAM + VT (5%)",36,"Population GWAS",0.066
4,"5xAM + VT (5%)",36,"Population GWAS",0.06375
5,"5xAM + VT (5%)",36,"Population GWAS",0.0676875
0,"RM",37,"Population GWAS",0.051625
1,"RM",37,"Population GWAS",0.0534375
2,"RM",37,"Population GWAS",0.0518125
3,"RM",37,"Population GWAS",0.0519375
4,"RM",37,"Population GWAS",0.0494375
5,"RM",37,"Population GWAS",0.0485625
0,"RM + VT (5%)",37,"Population GWAS",0.0476875
1,"RM + VT (5%)",37,"Population GWAS",0.0509375
2,"RM + VT (5%)",37,"Population GWAS",0.0504375
3,"RM + VT (5%)",37,"Population GWAS",0.0521875
4,"RM + VT (5%)",37,"Population GWAS",0.0521875
5,"RM + VT (5%)",37,"Population GWAS",0.053
0,"5xAM",37,"Population GWAS",0.0500625
1,"5xAM",37,"Population GWAS",0.0520625
2,"5xAM",37,"Population GWAS",0.0555
3,"5xAM",37,"Population GWAS",0.0511875
4,"5xAM",37,"Population GWAS",0.0496875
5,"5xAM",37,"Population GWAS",0.0530625
0,"5xAM + VT (5%)",37,"Population GWAS",0.05375
1,"5xAM + VT (5%)",37,"Population GWAS",0.0521875
2,"5xAM + VT (5%)",37,"Population GWAS",0.0596875
3,"5xAM + VT (5%)",37,"Population GWAS",0.06575
4,"5xAM + VT (5%)",37,"Population GWAS",0.0721875
5,"5xAM + VT (5%)",37,"Population GWAS",0.0770625
0,"RM",38,"Population GWAS",0.0488125
1,"RM",38,"Population GWAS",0.0509375
2,"RM",38,"Population GWAS",0.051
3,"RM",38,"Population GWAS",0.05
4,"RM",38,"Population GWAS",0.0519375
5,"RM",38,"Population GWAS",0.052
0,"RM + VT (5%)",38,"Population GWAS",0.051125
1,"RM + VT (5%)",38,"Population GWAS",0.055
2,"RM + VT (5%)",38,"Population GWAS",0.05075
3,"RM + VT (5%)",38,"Population GWAS",0.05225
4,"RM + VT (5%)",38,"Population GWAS",0.05125
5,"RM + VT (5%)",38,"Population GWAS",0.052125
0,"5xAM",38,"Population GWAS",0.0495625
1,"5xAM",38,"Population GWAS",0.051625
2,"5xAM",38,"Population GWAS",0.0488125
3,"5xAM",38,"Population GWAS",0.050375
4,"5xAM",38,"Population GWAS",0.0485
5,"5xAM",38,"Population GWAS",0.053
0,"5xAM + VT (5%)",38,"Population GWAS",0.05125
1,"5xAM + VT (5%)",38,"Population GWAS",0.0560625
2,"5xAM + VT (5%)",38,"Population GWAS",0.065625
3,"5xAM + VT (5%)",38,"Population GWAS",0.0635
4,"5xAM + VT (5%)",38,"Population GWAS",0.0654375
5,"5xAM + VT (5%)",38,"Population GWAS",0.06825
0,"RM",39,"Population GWAS",0.047875
1,"RM",39,"Population GWAS",0.050625
2,"RM",39,"Population GWAS",0.0481875
3,"RM",39,"Population GWAS",0.050125
4,"RM",39,"Population GWAS",0.0484375
5,"RM",39,"Population GWAS",0.0506875
0,"RM + VT (5%)",39,"Population GWAS",0.0486875
1,"RM + VT (5%)",39,"Population GWAS",0.0510625
2,"RM + VT (5%)",39,"Population GWAS",0.0525625
3,"RM + VT (5%)",39,"Population GWAS",0.052625
4,"RM + VT (5%)",39,"Population GWAS",0.050125
5,"RM + VT (5%)",39,"Population GWAS",0.0530625
0,"5xAM",39,"Population GWAS",0.04975
1,"5xAM",39,"Population GWAS",0.052125
2,"5xAM",39,"Population GWAS",0.0495625
3,"5xAM",39,"Population GWAS",0.0521875
4,"5xAM",39,"Population GWAS",0.053375
5,"5xAM",39,"Population GWAS",0.0526875
0,"5xAM + VT (5%)",39,"Population GWAS",0.0501875
1,"5xAM + VT (5%)",39,"Population GWAS",0.0540625
2,"5xAM + VT (5%)",39,"Population GWAS",0.06425
3,"5xAM + VT (5%)",39,"Population GWAS",0.06575
4,"5xAM + VT (5%)",39,"Population GWAS",0.0689375
5,"5xAM + VT (5%)",39,"Population GWAS",0.0709375
0,"RM",4,"Population GWAS",0.0510625
1,"RM",4,"Population GWAS",0.049625
2,"RM",4,"Population GWAS",0.049875
3,"RM",4,"Population GWAS",0.049375
4,"RM",4,"Population GWAS",0.0481875
5,"RM",4,"Population GWAS",0.0485
0,"RM + VT (5%)",4,"Population GWAS",0.0515
1,"RM + VT (5%)",4,"Population GWAS",0.0496875
2,"RM + VT (5%)",4,"Population GWAS",0.0526875
3,"RM + VT (5%)",4,"Population GWAS",0.0530625
4,"RM + VT (5%)",4,"Population GWAS",0.054375
5,"RM + VT (5%)",4,"Population GWAS",0.0534375
0,"5xAM",4,"Population GWAS",0.048625
1,"5xAM",4,"Population GWAS",0.0496875
2,"5xAM",4,"Population GWAS",0.049625
3,"5xAM",4,"Population GWAS",0.0529375
4,"5xAM",4,"Population GWAS",0.049875
5,"5xAM",4,"Population GWAS",0.052125
0,"5xAM + VT (5%)",4,"Population GWAS",0.0521875
1,"5xAM + VT (5%)",4,"Population GWAS",0.056375
2,"5xAM + VT (5%)",4,"Population GWAS",0.061
3,"5xAM + VT (5%)",4,"Population GWAS",0.0644375
4,"5xAM + VT (5%)",4,"Population GWAS",0.0694375
5,"5xAM + VT (5%)",4,"Population GWAS",0.066875
0,"RM",40,"Population GWAS",0.0503125
1,"RM",40,"Population GWAS",0.0500625
2,"RM",40,"Population GWAS",0.0499375
3,"RM",40,"Population GWAS",0.050375
4,"RM",40,"Population GWAS",0.0526875
5,"RM",40,"Population GWAS",0.0481875
0,"RM + VT (5%)",40,"Population GWAS",0.0500625
1,"RM + VT (5%)",40,"Population GWAS",0.04775
2,"RM + VT (5%)",40,"Population GWAS",0.053625
3,"RM + VT (5%)",40,"Population GWAS",0.0541875
4,"RM + VT (5%)",40,"Population GWAS",0.0509375
5,"RM + VT (5%)",40,"Population GWAS",0.052875
0,"5xAM",40,"Population GWAS",0.0513125
1,"5xAM",40,"Population GWAS",0.0536875
2,"5xAM",40,"Population GWAS",0.049375
3,"5xAM",40,"Population GWAS",0.0511875
4,"5xAM",40,"Population GWAS",0.049
5,"5xAM",40,"Population GWAS",0.0525
0,"5xAM + VT (5%)",40,"Population GWAS",0.0515
1,"5xAM + VT (5%)",40,"Population GWAS",0.053125
2,"5xAM + VT (5%)",40,"Population GWAS",0.062625
3,"5xAM + VT (5%)",40,"Population GWAS",0.069875
4,"5xAM + VT (5%)",40,"Population GWAS",0.0689375
5,"5xAM + VT (5%)",40,"Population GWAS",0.0755
0,"RM",41,"Population GWAS",0.053
1,"RM",41,"Population GWAS",0.048625
2,"RM",41,"Population GWAS",0.0515625
3,"RM",41,"Population GWAS",0.047
4,"RM",41,"Population GWAS",0.0511875
5,"RM",41,"Population GWAS",0.0498125
0,"RM + VT (5%)",41,"Population GWAS",0.049625
1,"RM + VT (5%)",41,"Population GWAS",0.0511875
2,"RM + VT (5%)",41,"Population GWAS",0.0523125
3,"RM + VT (5%)",41,"Population GWAS",0.0525625
4,"RM + VT (5%)",41,"Population GWAS",0.053875
5,"RM + VT (5%)",41,"Population GWAS",0.053125
0,"5xAM",41,"Population GWAS",0.05175
1,"5xAM",41,"Population GWAS",0.052
2,"5xAM",41,"Population GWAS",0.0500625
3,"5xAM",41,"Population GWAS",0.050125
4,"5xAM",41,"Population GWAS",0.0506875
5,"5xAM",41,"Population GWAS",0.0545625
0,"5xAM + VT (5%)",41,"Population GWAS",0.0515
1,"5xAM + VT (5%)",41,"Population GWAS",0.057375
2,"5xAM + VT (5%)",41,"Population GWAS",0.0635
3,"5xAM + VT (5%)",41,"Population GWAS",0.068
4,"5xAM + VT (5%)",41,"Population GWAS",0.070375
5,"5xAM + VT (5%)",41,"Population GWAS",0.073875
0,"RM",42,"Population GWAS",0.045625
1,"RM",42,"Population GWAS",0.0498125
2,"RM",42,"Population GWAS",0.046125
3,"RM",42,"Population GWAS",0.0480625
4,"RM",42,"Population GWAS",0.04925
5,"RM",42,"Population GWAS",0.050375
0,"RM + VT (5%)",42,"Population GWAS",0.049375
1,"RM + VT (5%)",42,"Population GWAS",0.0528125
2,"RM + VT (5%)",42,"Population GWAS",0.052875
3,"RM + VT (5%)",42,"Population GWAS",0.054875
4,"RM + VT (5%)",42,"Population GWAS",0.0548125
5,"RM + VT (5%)",42,"Population GWAS",0.0529375
0,"5xAM",42,"Population GWAS",0.0489375
1,"5xAM",42,"Population GWAS",0.0506875
2,"5xAM",42,"Population GWAS",0.0510625
3,"5xAM",42,"Population GWAS",0.0521875
4,"5xAM",42,"Population GWAS",0.0521875
5,"5xAM",42,"Population GWAS",0.0488125
0,"5xAM + VT (5%)",42,"Population GWAS",0.0495
1,"5xAM + VT (5%)",42,"Population GWAS",0.051125
2,"5xAM + VT (5%)",42,"Population GWAS",0.0621875
3,"5xAM + VT (5%)",42,"Population GWAS",0.0674375
4,"5xAM + VT (5%)",42,"Population GWAS",0.0701875
5,"5xAM + VT (5%)",42,"Population GWAS",0.0685
0,"RM",43,"Population GWAS",0.049875
1,"RM",43,"Population GWAS",0.0504375
2,"RM",43,"Population GWAS",0.0478125
3,"RM",43,"Population GWAS",0.0525
4,"RM",43,"Population GWAS",0.0508125
5,"RM",43,"Population GWAS",0.047625
0,"RM + VT (5%)",43,"Population GWAS",0.04875
1,"RM + VT (5%)",43,"Population GWAS",0.0473125
2,"RM + VT (5%)",43,"Population GWAS",0.05025
3,"RM + VT (5%)",43,"Population GWAS",0.05425
4,"RM + VT (5%)",43,"Population GWAS",0.05275
5,"RM + VT (5%)",43,"Population GWAS",0.05175
0,"5xAM",43,"Population GWAS",0.051625
1,"5xAM",43,"Population GWAS",0.0538125
2,"5xAM",43,"Population GWAS",0.0525
3,"5xAM",43,"Population GWAS",0.05025
4,"5xAM",43,"Population GWAS",0.0500625
5,"5xAM",43,"Population GWAS",0.0509375
0,"5xAM + VT (5%)",43,"Population GWAS",0.0499375
1,"5xAM + VT (5%)",43,"Population GWAS",0.0564375
2,"5xAM + VT (5%)",43,"Population GWAS",0.0618125
3,"5xAM + VT (5%)",43,"Population GWAS",0.069125
4,"5xAM + VT (5%)",43,"Population GWAS",0.0683125
5,"5xAM + VT (5%)",43,"Population GWAS",0.0711875
0,"RM",44,"Population GWAS",0.0513125
1,"RM",44,"Population GWAS",0.0503125
2,"RM",44,"Population GWAS",0.048
3,"RM",44,"Population GWAS",0.0526875
4,"RM",44,"Population GWAS",0.05275
5,"RM",44,"Population GWAS",0.0470625
0,"RM + VT (5%)",44,"Population GWAS",0.05375
1,"RM + VT (5%)",44,"Population GWAS",0.04975
2,"RM + VT (5%)",44,"Population GWAS",0.053125
3,"RM + VT (5%)",44,"Population GWAS",0.05325
4,"RM + VT (5%)",44,"Population GWAS",0.051375
5,"RM + VT (5%)",44,"Population GWAS",0.05225
0,"5xAM",44,"Population GWAS",0.04625
1,"5xAM",44,"Population GWAS",0.0506875
2,"5xAM",44,"Population GWAS",0.052625
3,"5xAM",44,"Population GWAS",0.0505625
4,"5xAM",44,"Population GWAS",0.052125
5,"5xAM",44,"Population GWAS",0.0538125
0,"5xAM + VT (5%)",44,"Population GWAS",0.050625
1,"5xAM + VT (5%)",44,"Population GWAS",0.052375
2,"5xAM + VT (5%)",44,"Population GWAS",0.0609375
3,"5xAM + VT (5%)",44,"Population GWAS",0.067375
4,"5xAM + VT (5%)",44,"Population GWAS",0.0691875
5,"5xAM + VT (5%)",44,"Population GWAS",0.06875
0,"RM",45,"Population GWAS",0.050125
1,"RM",45,"Population GWAS",0.05325
2,"RM",45,"Population GWAS",0.0525
3,"RM",45,"Population GWAS",0.051
4,"RM",45,"Population GWAS",0.0501875
5,"RM",45,"Population GWAS",0.0521875
0,"RM + VT (5%)",45,"Population GWAS",0.049
1,"RM + VT (5%)",45,"Population GWAS",0.0515
2,"RM + VT (5%)",45,"Population GWAS",0.0520625
3,"RM + VT (5%)",45,"Population GWAS",0.0523125
4,"RM + VT (5%)",45,"Population GWAS",0.0530625
5,"RM + VT (5%)",45,"Population GWAS",0.0530625
0,"5xAM",45,"Population GWAS",0.0496875
1,"5xAM",45,"Population GWAS",0.051125
2,"5xAM",45,"Population GWAS",0.0486875
3,"5xAM",45,"Population GWAS",0.051125
4,"5xAM",45,"Population GWAS",0.0529375
5,"5xAM",45,"Population GWAS",0.05075
0,"5xAM + VT (5%)",45,"Population GWAS",0.0504375
1,"5xAM + VT (5%)",45,"Population GWAS",0.0549375
2,"5xAM + VT (5%)",45,"Population GWAS",0.061
3,"5xAM + VT (5%)",45,"Population GWAS",0.0634375
4,"5xAM + VT (5%)",45,"Population GWAS",0.066875
5,"5xAM + VT (5%)",45,"Population GWAS",0.0715
0,"RM",46,"Population GWAS",0.049875
1,"RM",46,"Population GWAS",0.0503125
2,"RM",46,"Population GWAS",0.0505
3,"RM",46,"Population GWAS",0.0474375
4,"RM",46,"Population GWAS",0.0483125
5,"RM",46,"Population GWAS",0.0465
0,"RM + VT (5%)",46,"Population GWAS",0.0460625
1,"RM + VT (5%)",46,"Population GWAS",0.048625
2,"RM + VT (5%)",46,"Population GWAS",0.053125
3,"RM + VT (5%)",46,"Population GWAS",0.0548125
4,"RM + VT (5%)",46,"Population GWAS",0.05325
5,"RM + VT (5%)",46,"Population GWAS",0.0508125
0,"5xAM",46,"Population GWAS",0.050875
1,"5xAM",46,"Population GWAS",0.0531875
2,"5xAM",46,"Population GWAS",0.0496875
3,"5xAM",46,"Population GWAS",0.04975
4,"5xAM",46,"Population GWAS",0.051125
5,"5xAM",46,"Population GWAS",0.0513125
0,"5xAM + VT (5%)",46,"Population GWAS",0.0498125
1,"5xAM + VT (5%)",46,"Population GWAS",0.0561875
2,"5xAM + VT (5%)",46,"Population GWAS",0.061375
3,"5xAM + VT (5%)",46,"Population GWAS",0.0689375
4,"5xAM + VT (5%)",46,"Population GWAS",0.067875
5,"5xAM + VT (5%)",46,"Population GWAS",0.07225
0,"RM",47,"Population GWAS",0.050375
1,"RM",47,"Population GWAS",0.052375
2,"RM",47,"Population GWAS",0.04775
3,"RM",47,"Population GWAS",0.0480625
4,"RM",47,"Population GWAS",0.04925
5,"RM",47,"Population GWAS",0.04725
0,"RM + VT (5%)",47,"Population GWAS",0.050375
1,"RM + VT (5%)",47,"Population GWAS",0.0515625
2,"RM + VT (5%)",47,"Population GWAS",0.0525625
3,"RM + VT (5%)",47,"Population GWAS",0.05425
4,"RM + VT (5%)",47,"Population GWAS",0.053125
5,"RM + VT (5%)",47,"Population GWAS",0.0541875
0,"5xAM",47,"Population GWAS",0.048375
1,"5xAM",47,"Population GWAS",0.0475
2,"5xAM",47,"Population GWAS",0.04925
3,"5xAM",47,"Population GWAS",0.0505625
4,"5xAM",47,"Population GWAS",0.04975
5,"5xAM",47,"Population GWAS",0.0521875
0,"5xAM + VT (5%)",47,"Population GWAS",0.05075
1,"5xAM + VT (5%)",47,"Population GWAS",0.0566875
2,"5xAM + VT (5%)",47,"Population GWAS",0.0635625
3,"5xAM + VT (5%)",47,"Population GWAS",0.0654375
4,"5xAM + VT (5%)",47,"Population GWAS",0.070125
5,"5xAM + VT (5%)",47,"Population GWAS",0.0690625
0,"RM",48,"Population GWAS",0.0504375
1,"RM",48,"Population GWAS",0.0491875
2,"RM",48,"Population GWAS",0.0525
3,"RM",48,"Population GWAS",0.05125
4,"RM",48,"Population GWAS",0.048625
5,"RM",48,"Population GWAS",0.052125
0,"RM + VT (5%)",48,"Population GWAS",0.0506875
1,"RM + VT (5%)",48,"Population GWAS",0.0498125
2,"RM + VT (5%)",48,"Population GWAS",0.051375
3,"RM + VT (5%)",48,"Population GWAS",0.0471875
4,"RM + VT (5%)",48,"Population GWAS",0.0526875
5,"RM + VT (5%)",48,"Population GWAS",0.0495625
0,"5xAM",48,"Population GWAS",0.05025
1,"5xAM",48,"Population GWAS",0.05
2,"5xAM",48,"Population GWAS",0.0526875
3,"5xAM",48,"Population GWAS",0.052875
4,"5xAM",48,"Population GWAS",0.052875
5,"5xAM",48,"Population GWAS",0.0493125
0,"5xAM + VT (5%)",48,"Population GWAS",0.051
1,"5xAM + VT (5%)",48,"Population GWAS",0.0555
2,"5xAM + VT (5%)",48,"Population GWAS",0.058625
3,"5xAM + VT (5%)",48,"Population GWAS",0.0654375
4,"5xAM + VT (5%)",48,"Population GWAS",0.065625
5,"5xAM + VT (5%)",48,"Population GWAS",0.070875
0,"RM",49,"Population GWAS",0.0510625
1,"RM",49,"Population GWAS",0.051375
2,"RM",49,"Population GWAS",0.0510625
3,"RM",49,"Population GWAS",0.05425
4,"RM",49,"Population GWAS",0.05225
5,"RM",49,"Population GWAS",0.0496875
0,"RM + VT (5%)",49,"Population GWAS",0.05025
1,"RM + VT (5%)",49,"Population GWAS",0.0488125
2,"RM + VT (5%)",49,"Population GWAS",0.050625
3,"RM + VT (5%)",49,"Population GWAS",0.0501875
4,"RM + VT (5%)",49,"Population GWAS",0.050875
5,"RM + VT (5%)",49,"Population GWAS",0.0545
0,"5xAM",49,"Population GWAS",0.0525625
1,"5xAM",49,"Population GWAS",0.049125
2,"5xAM",49,"Population GWAS",0.0498125
3,"5xAM",49,"Population GWAS",0.053875
4,"5xAM",49,"Population GWAS",0.055125
5,"5xAM",49,"Population GWAS",0.0494375
0,"5xAM + VT (5%)",49,"Population GWAS",0.049625
1,"5xAM + VT (5%)",49,"Population GWAS",0.0524375
2,"5xAM + VT (5%)",49,"Population GWAS",0.0605
3,"5xAM + VT (5%)",49,"Population GWAS",0.063125
4,"5xAM + VT (5%)",49,"Population GWAS",0.072125
5,"5xAM + VT (5%)",49,"Population GWAS",0.0675625
0,"RM",5,"Population GWAS",0.04875
1,"RM",5,"Population GWAS",0.05
2,"RM",5,"Population GWAS",0.05175
3,"RM",5,"Population GWAS",0.05175
4,"RM",5,"Population GWAS",0.048375
5,"RM",5,"Population GWAS",0.0484375
0,"RM + VT (5%)",5,"Population GWAS",0.049
1,"RM + VT (5%)",5,"Population GWAS",0.051
2,"RM + VT (5%)",5,"Population GWAS",0.050375
3,"RM + VT (5%)",5,"Population GWAS",0.0513125
4,"RM + VT (5%)",5,"Population GWAS",0.0565
5,"RM + VT (5%)",5,"Population GWAS",0.0541875
0,"5xAM",5,"Population GWAS",0.0506875
1,"5xAM",5,"Population GWAS",0.0498125
2,"5xAM",5,"Population GWAS",0.0505
3,"5xAM",5,"Population GWAS",0.052375
4,"5xAM",5,"Population GWAS",0.0478125
5,"5xAM",5,"Population GWAS",0.0515
