"gen","scenario","seed","gwas_type","fpr"
5,"RM + VT (5%)",13,"Population GWAS",0.052625
0,"5xAM",13,"Population GWAS",0.050375
1,"5xAM",13,"Population GWAS",0.0496875
2,"5xAM",13,"Population GWAS",0.05025
3,"5xAM",13,"Population GWAS",0.048375
4,"5xAM",13,"Population GWAS",0.051875
5,"5xAM",13,"Population GWAS",0.0523125
0,"5xAM + VT (5%)",13,"Population GWAS",0.0488125
1,"5xAM + VT (5%)",13,"Population GWAS",0.056
2,"5xAM + VT (5%)",13,"Population GWAS",0.063625
3,"5xAM + VT (5%)",13,"Population GWAS",0.065125
4,"5xAM + VT (5%)",13,"Population GWAS",0.071875
5,"5xAM + VT (5%)",13,"Population GWAS",0.0720625
0,"RM",14,"Population GWAS",0.051
1,"RM",14,"Population GWAS",0.052125
2,"RM",14,"Population GWAS",0.0476875
3,"RM",14,"Population GWAS",0.05125
4,"RM",14,"Population GWAS",0.051
5,"RM",14,"Population GWAS",0.0514375
0,"RM + VT (5%)",14,"Population GWAS",0.050625
1,"RM + VT (5%)",14,"Population GWAS",0.049125
2,"RM + VT (5%)",14,"Population GWAS",0.055125
3,"RM + VT (5%)",14,"Population GWAS",0.0506875
4,"RM + VT (5%)",14,"Population GWAS",0.0504375
5,"RM + VT (5%)",14,"Population GWAS",0.0534375
0,"5xAM",14,"Population GWAS",0.0516875
1,"5xAM",14,"Population GWAS",0.0475625
2,"5xAM",14,"Population GWAS",0.05025
3,"5xAM",14,"Population GWAS",0.0525625
4,"5xAM",14,"Population GWAS",0.0536875
5,"5xAM",14,"Population GWAS",0.0535
0,"5xAM + VT (5%)",14,"Population GWAS",0.0484375
1,"5xAM + VT (5%)",14,"Population GWAS",0.054125
2,"5xAM + VT (5%)",14,"Population GWAS",0.06
3,"5xAM + VT (5%)",14,"Population GWAS",0.0679375
4,"5xAM + VT (5%)",14,"Population GWAS",0.0680625
5,"5xAM + VT (5%)",14,"Population GWAS",0.0705625
0,"RM",15,"Population GWAS",0.048125
1,"RM",15,"Population GWAS",0.0526875
2,"RM",15,"Population GWAS",0.048375
3,"RM",15,"Population GWAS",0.0476875
4,"RM",15,"Population GWAS",0.050625
5,"RM",15,"Population GWAS",0.0489375
0,"RM + VT (5%)",15,"Population GWAS",0.0495
1,"RM + VT (5%)",15,"Population GWAS",0.056625
2,"RM + VT (5%)",15,"Population GWAS",0.0526875
3,"RM + VT (5%)",15,"Population GWAS",0.0485625
4,"RM + VT (5%)",15,"Population GWAS",0.05675
5,"RM + VT (5%)",15,"Population GWAS",0.053
0,"5xAM",15,"Population GWAS",0.04875
1,"5xAM",15,"Population GWAS",0.050875
2,"5xAM",15,"Population GWAS",0.0474375
3,"5xAM",15,"Population GWAS",0.049375
4,"5xAM",15,"Population GWAS",0.054
5,"5xAM",15,"Population GWAS",0.054125
0,"5xAM + VT (5%)",15,"Population GWAS",0.0513125
1,"5xAM + VT (5%)",15,"Population GWAS",0.0530625
2,"5xAM + VT (5%)",15,"Population GWAS",0.061
3,"5xAM + VT (5%)",15,"Population GWAS",0.066875
4,"5xAM + VT (5%)",15,"Population GWAS",0.0673125
5,"5xAM + VT (5%)",15,"Population GWAS",0.0695625
0,"RM",16,"Population GWAS",0.049875
1,"RM",16,"Population GWAS",0.0469375
2,"RM",16,"Population GWAS",0.0481875
3,"RM",16,"Population GWAS",0.0504375
4,"RM",16,"Population GWAS",0.048625
5,"RM",16,"Population GWAS",0.0516875
0,"RM + VT (5%)",16,"Population GWAS",0.05
1,"RM + VT (5%)",16,"Population GWAS",0.056125
2,"RM + VT (5%)",16,"Population GWAS",0.0505625
3,"RM + VT (5%)",16,"Population GWAS",0.0526875
4,"RM + VT (5%)",16,"Population GWAS",0.053125
5,"RM + VT (5%)",16,"Population GWAS",0.0524375
0,"5xAM",16,"Population GWAS",0.047875
1,"5xAM",16,"Population GWAS",0.0516875
2,"5xAM",16,"Population GWAS",0.0503125
3,"5xAM",16,"Population GWAS",0.0525625
4,"5xAM",16,"Population GWAS",0.05075
5,"5xAM",16,"Population GWAS",0.0494375
0,"5xAM + VT (5%)",16,"Population GWAS",0.053625
1,"5xAM + VT (5%)",16,"Population GWAS",0.0539375
2,"5xAM + VT (5%)",16,"Population GWAS",0.062375
3,"5xAM + VT (5%)",16,"Population GWAS",0.0633125
4,"5xAM + VT (5%)",16,"Population GWAS",0.070625
5,"5xAM + VT (5%)",16,"Population GWAS",0.066875
0,"RM",17,"Population GWAS",0.0496875
1,"RM",17,"Population GWAS",0.0510625
2,"RM",17,"Population GWAS",0.05
3,"RM",17,"Population GWAS",0.0491875
4,"RM",17,"Population GWAS",0.054125
5,"RM",17,"Population GWAS",0.049125
0,"RM + VT (5%)",17,"Population GWAS",0.047125
1,"RM + VT (5%)",17,"Population GWAS",0.0535625
2,"RM + VT (5%)",17,"Population GWAS",0.053375
3,"RM + VT (5%)",17,"Population GWAS",0.0509375
4,"RM + VT (5%)",17,"Population GWAS",0.0529375
5,"RM + VT (5%)",17,"Population GWAS",0.050875
0,"5xAM",17,"Population GWAS",0.052375
1,"5xAM",17,"Population GWAS",0.047625
2,"5xAM",17,"Population GWAS",0.0510625
3,"5xAM",17,"Population GWAS",0.0526875
4,"5xAM",17,"Population GWAS",0.0523125
5,"5xAM",17,"Population GWAS",0.053125
0,"5xAM + VT (5%)",17,"Population GWAS",0.0509375
1,"5xAM + VT (5%)",17,"Population GWAS",0.0548125
2,"5xAM + VT (5%)",17,"Population GWAS",0.058875
3,"5xAM + VT (5%)",17,"Population GWAS",0.0673125
4,"5xAM + VT (5%)",17,"Population GWAS",0.06875
5,"5xAM + VT (5%)",17,"Population GWAS",0.0755
0,"RM",18,"Population GWAS",0.047875
