"CanonicalVariate","cv","cumulative_redundancy"
"",0,0
"CV 1",1,0.367035175299488
"CV 2",2,0.517038565488573
"CV 3",3,0.601984317923847
"CV 4",4,0.697522369281801
"CV 5",5,0.823705718371409
"CV 6",6,0.847231186585211
"CV 7",7,0.882527689139077
"CV 8",8,0.899659822643449
"CV 9",9,0.911256123643412
"CV 10",10,0.924392948857031
"CV 11",11,0.93651589132108
"CV 12",12,0.945772218124514
"CV 13",13,0.949665007373801
"CV 14",14,0.956550832180996
