"gen","seed","args_rmate","args_kphen","args_theta","args_cnoise","he_rg","rg_true","scenario","CN"
2,10,0.1,5,0.05,0,0.311790328678854,0.0257383905668609,"5xAM + VT (5%)","0"
3,10,0.1,5,0.05,0,0.346305115866963,0.0309008318365438,"5xAM + VT (5%)","0"
4,10,0.1,5,0.05,0,0.373382818714001,0.036048662310046,"5xAM + VT (5%)","0"
5,10,0.1,5,0.05,0,0.386126808889873,0.0402132608927021,"5xAM + VT (5%)","0"
0,10,0.1,5,0.05,0,0.000465411749161046,0.000766617695924925,"5xAM + VT (5%)","0"
1,10,0.1,5,0.05,0,0.246078917785659,0.0180041915950021,"5xAM + VT (5%)","0"
2,10,0.1,5,0.05,0,0.344200993484912,0.0287396087742124,"5xAM + VT (5%)","0"
3,10,0.1,5,0.05,0,0.383773089397824,0.0337872060548461,"5xAM + VT (5%)","0"
4,10,0.1,5,0.05,0,0.395753527144838,0.0352336836263226,"5xAM + VT (5%)","0"
5,10,0.1,5,0.05,0,0.384257479392901,0.0291623644838446,"5xAM + VT (5%)","0"
0,100,0.1,5,0,0,0.00214624747478703,0.000794501595018928,"5xAM","0"
1,100,0.1,5,0,0,0.0522956211110287,0.0253433793817879,"5xAM","0"
2,100,0.1,5,0,0,0.0897510256130277,0.0416644456061276,"5xAM","0"
3,100,0.1,5,0,0,0.105192522063945,0.049065894315326,"5xAM","0"
4,100,0.1,5,0,0,0.101639184979192,0.0522387495775443,"5xAM","0"
5,100,0.1,5,0,0,0.116858777490893,0.0521297751321722,"5xAM","0"
0,100,0.1,5,0,0,-0.00235697201530185,-0.00111609873792418,"5xAM","0"
1,100,0.1,5,0,0,0.050695962113201,0.0241137307301588,"5xAM","0"
2,100,0.1,5,0,0,0.0865107960937469,0.0406233862952847,"5xAM","0"
3,100,0.1,5,0,0,0.109075980631121,0.0531969335157712,"5xAM","0"
4,100,0.1,5,0,0,0.13629039531287,0.0627905980963347,"5xAM","0"
5,100,0.1,5,0,0,0.121797037581493,0.0545178557080927,"5xAM","0"
0,100,0.1,5,0,0,-0.00113475541573913,-0.000111346847771942,"5xAM","0"
1,100,0.1,5,0,0,0.0557890775487124,0.0274575351676529,"5xAM","0"
2,100,0.1,5,0,0,0.0897776344588818,0.0425875066838607,"5xAM","0"
3,100,0.1,5,0,0,0.104242473789569,0.0499614819452065,"5xAM","0"
4,100,0.1,5,0,0,0.123213620355678,0.0560916091438416,"5xAM","0"
5,100,0.1,5,0,0,0.130089508777519,0.0559204217780826,"5xAM","0"
0,100,0.1,5,0.05,0,0.00154741631345973,-0.000147871555879834,"5xAM + VT (5%)","0"
1,100,0.1,5,0.05,0,0.233318688565453,0.0174169722710591,"5xAM + VT (5%)","0"
2,100,0.1,5,0.05,0,0.312867264504084,0.0268526257089394,"5xAM + VT (5%)","0"
