"gen","xAM","outcome","pheno_1","pheno_2","traits","value","lower","upper","sd","traits2"
1,"6-variate","gamma","ADHD","SCZ","ADHD / SCZ",0.298684857990938,0.539821736598876,0.151940022844921,0.158536778787329,"1 / 6-variate / ADHD / SCZ"
3,"6-variate","gamma","ADHD","SCZ","ADHD / SCZ",0.818489327140044,1.23590956435978,0.548705818642125,0.230365385047315,"3 / 6-variate / ADHD / SCZ"
5,"6-variate","gamma","ADHD","SCZ","ADHD / SCZ",1.09232493058453,1.38491978352929,0.792594989442581,0.228462068074037,"5 / 6-variate / ADHD / SCZ"
0,"2-variate","gamma","ALC","ANX","ALC / ANX",-0.00814417064586841,0.104084551251187,-0.133362724349668,0.0971043558477966,"0 / 2-variate / ALC / ANX"
1,"2-variate","gamma","ALC","ANX","ALC / ANX",0.0973788603006537,0.238930251325756,0.00882189024690204,0.102041180481512,"1 / 2-variate / ALC / ANX"
3,"2-variate","gamma","ALC","ANX","ALC / ANX",0.260295689880544,0.33882622537921,0.154225286805882,0.0789045837029501,"2-variate / 3 / ALC / ANX"
5,"2-variate","gamma","ALC","ANX","ALC / ANX",0.261329814654916,0.389173705095696,0.148898131814189,0.0940175391447323,"2-variate / 5 / ALC / ANX"
0,"6-variate","gamma","ALC","ANX","ALC / ANX",-0.00814417064586841,0.104084551251187,-0.133362724349668,0.0971043558477966,"0 / 6-variate / ALC / ANX"
1,"6-variate","gamma","ALC","ANX","ALC / ANX",0.130980049495785,0.277263832615118,-0.0205955771258755,0.120014829458938,"1 / 6-variate / ALC / ANX"
3,"6-variate","gamma","ALC","ANX","ALC / ANX",0.329350447208045,0.4635513053786,0.239417700263157,0.0968838797550926,"3 / 6-variate / ALC / ANX"
5,"6-variate","gamma","ALC","ANX","ALC / ANX",0.440382442755509,0.594990214963495,0.285376161794691,0.116791003111584,"5 / 6-variate / ALC / ANX"
0,"2-variate","gamma","ALC","BIP","ALC / BIP",0.0477846555968135,0.167291183205025,-0.132065942415061,0.123742047360088,"0 / 2-variate / ALC / BIP"
1,"2-variate","gamma","ALC","BIP","ALC / BIP",0.213191380947747,0.346070785729957,0.0598851139356884,0.112018200145202,"1 / 2-variate / ALC / BIP"
3,"2-variate","gamma","ALC","BIP","ALC / BIP",0.381711160932711,0.556606887794394,0.211071523754466,0.144867177366218,"2-variate / 3 / ALC / BIP"
5,"2-variate","gamma","ALC","BIP","ALC / BIP",0.467942594710125,0.635631559844825,0.349762848557099,0.105793856000558,"2-variate / 5 / ALC / BIP"
0,"6-variate","gamma","ALC","BIP","ALC / BIP",0.0477846555968135,0.167291183205025,-0.132065942415061,0.123742047360088,"0 / 6-variate / ALC / BIP"
1,"6-variate","gamma","ALC","BIP","ALC / BIP",0.25130003701062,0.385861531525341,0.106590859312953,0.127490585635982,"1 / 6-variate / ALC / BIP"
3,"6-variate","gamma","ALC","BIP","ALC / BIP",0.529650399091348,0.697749793629139,0.356451762251349,0.133409087978816,"3 / 6-variate / ALC / BIP"
5,"6-variate","gamma","ALC","BIP","ALC / BIP",0.696474512415148,0.857531998267149,0.491048039613166,0.154504455209632,"5 / 6-variate / ALC / BIP"
0,"2-variate","gamma","ALC","MDD","ALC / MDD",-0.00412386274469338,0.125891206113201,-0.166804171940436,0.107347915677161,"0 / 2-variate / ALC / MDD"
1,"2-variate","gamma","ALC","MDD","ALC / MDD",0.0982830027905717,0.222402513290021,-0.0215965085117007,0.0996447444001475,"1 / 2-variate / ALC / MDD"
3,"2-variate","gamma","ALC","MDD","ALC / MDD",0.233833687818069,0.390004622864204,0.0995952539721922,0.126496402945763,"2-variate / 3 / ALC / MDD"
5,"2-variate","gamma","ALC","MDD","ALC / MDD",0.255928118640247,0.348436027236498,0.102402554277863,0.109680744239076,"2-variate / 5 / ALC / MDD"
0,"6-variate","gamma","ALC","MDD","ALC / MDD",-0.00412386274469338,0.125891206113201,-0.166804171940436,0.107347915677161,"0 / 6-variate / ALC / MDD"
1,"6-variate","gamma","ALC","MDD","ALC / MDD",0.118285469884868,0.213275379604824,0.00781100792510145,0.0868106751279589,"1 / 6-variate / ALC / MDD"
3,"6-variate","gamma","ALC","MDD","ALC / MDD",0.334023392248184,0.449430356701013,0.189574753120294,0.109046783043593,"3 / 6-variate / ALC / MDD"
5,"6-variate","gamma","ALC","MDD","ALC / MDD",0.472464050366196,0.583815668636788,0.335828798756363,0.101719409106732,"5 / 6-variate / ALC / MDD"
0,"2-variate","gamma","ALC","SCZ","ALC / SCZ",-0.0207581945004201,0.144181534699371,-0.165597477135699,0.124384357656022,"0 / 2-variate / ALC / SCZ"
1,"2-variate","gamma","ALC","SCZ","ALC / SCZ",0.318849625740524,0.502081444461585,0.128677910089338,0.142007634371799,"1 / 2-variate / ALC / SCZ"
3,"2-variate","gamma","ALC","SCZ","ALC / SCZ",0.656629132924143,0.773363107782006,0.4937903071034,0.127303476959254,"2-variate / 3 / ALC / SCZ"
5,"2-variate","gamma","ALC","SCZ","ALC / SCZ",0.817831901148317,0.946920273779194,0.605869924778333,0.144139908706326,"2-variate / 5 / ALC / SCZ"
0,"6-variate","gamma","ALC","SCZ","ALC / SCZ",-0.0207581945004201,0.144181534699371,-0.165597477135699,0.124384357656022,"0 / 6-variate / ALC / SCZ"
1,"6-variate","gamma","ALC","SCZ","ALC / SCZ",0.291816172910515,0.479346184096778,0.157902426736227,0.123834820168441,"1 / 6-variate / ALC / SCZ"
3,"6-variate","gamma","ALC","SCZ","ALC / SCZ",0.735403339425483,0.980595430613655,0.607107368993172,0.149730389092465,"3 / 6-variate / ALC / SCZ"
5,"6-variate","gamma","ALC","SCZ","ALC / SCZ",1.04544918491336,1.14889158157836,0.817621768664053,0.154773336810841,"5 / 6-variate / ALC / SCZ"
0,"2-variate","gamma","ANX","BIP","ANX / BIP",0.00169241025959418,0.141499577165675,-0.126711944387089,0.0978737495686944,"0 / 2-variate / ANX / BIP"
1,"2-variate","gamma","ANX","BIP","ANX / BIP",0.117993144424339,0.225168470593682,-0.00549280429085151,0.101714269885932,"1 / 2-variate / ANX / BIP"
3,"2-variate","gamma","ANX","BIP","ANX / BIP",0.192219248929688,0.37310944093657,0.0482568665247484,0.115959825202832,"2-variate / 3 / ANX / BIP"
5,"2-variate","gamma","ANX","BIP","ANX / BIP",0.222670372066038,0.349904820047718,0.0155687873254352,0.131985393160951,"2-variate / 5 / ANX / BIP"
0,"6-variate","gamma","ANX","BIP","ANX / BIP",0.00169241025959418,0.141499577165675,-0.126711944387089,0.0978737495686944,"0 / 6-variate / ANX / BIP"
1,"6-variate","gamma","ANX","BIP","ANX / BIP",0.0939967232494241,0.228326772593521,-0.00849035233708952,0.0878870087511602,"1 / 6-variate / ANX / BIP"
3,"6-variate","gamma","ANX","BIP","ANX / BIP",0.279226817586353,0.390424815591633,0.124174888158772,0.104978713293226,"3 / 6-variate / ANX / BIP"
5,"6-variate","gamma","ANX","BIP","ANX / BIP",0.385985864620166,0.546031576238094,0.20584451207235,0.140206997273579,"5 / 6-variate / ANX / BIP"
0,"2-variate","gamma","ANX","MDD","ANX / MDD",-0.0138127330637155,0.0426037000875627,-0.0707706001675524,0.0425826706057462,"0 / 2-variate / ANX / MDD"
1,"2-variate","gamma","ANX","MDD","ANX / MDD",0.0798725301791609,0.140530793297367,0.0298900105646414,0.0419396229266244,"1 / 2-variate / ANX / MDD"
3,"2-variate","gamma","ANX","MDD","ANX / MDD",0.170148547869646,0.22929124471606,0.114098747366132,0.0449072795776804,"2-variate / 3 / ANX / MDD"
5,"2-variate","gamma","ANX","MDD","ANX / MDD",0.201958811301802,0.253885536184218,0.134841533661813,0.0494158378359317,"2-variate / 5 / ANX / MDD"
0,"6-variate","gamma","ANX","MDD","ANX / MDD",-0.0138127330637155,0.0426037000875627,-0.0707706001675524,0.0425826706057462,"0 / 6-variate / ANX / MDD"
1,"6-variate","gamma","ANX","MDD","ANX / MDD",0.0773340886411501,0.124767843159368,0.0395112253935823,0.0351990072137251,"1 / 6-variate / ANX / MDD"
3,"6-variate","gamma","ANX","MDD","ANX / MDD",0.200319653481734,0.241299361795287,0.162302149594925,0.0369916761181587,"3 / 6-variate / ANX / MDD"
5,"6-variate","gamma","ANX","MDD","ANX / MDD",0.25185493095831,0.306907590925875,0.196541513033452,0.040423431043311,"5 / 6-variate / ANX / MDD"
0,"2-variate","gamma","ANX","SCZ","ANX / SCZ",0.0155855298016532,0.0993345687158838,-0.0890267880975792,0.0782672082547801,"0 / 2-variate / ANX / SCZ"
1,"2-variate","gamma","ANX","SCZ","ANX / SCZ",0.264462060875562,0.331957664136167,0.16729077144059,0.0671275656298495,"1 / 2-variate / ANX / SCZ"
3,"2-variate","gamma","ANX","SCZ","ANX / SCZ",0.49642120823411,0.590632951402605,0.401569379402909,0.0801504667127495,"2-variate / 3 / ANX / SCZ"
5,"2-variate","gamma","ANX","SCZ","ANX / SCZ",0.583361371632395,0.690153101630688,0.462069258795598,0.0846740686111539,"2-variate / 5 / ANX / SCZ"
0,"6-variate","gamma","ANX","SCZ","ANX / SCZ",0.0155855298016532,0.0993345687158838,-0.0890267880975792,0.0782672082547801,"0 / 6-variate / ANX / SCZ"
1,"6-variate","gamma","ANX","SCZ","ANX / SCZ",0.249758717979456,0.364094496487834,0.140950084010848,0.0949428830497192,"1 / 6-variate / ANX / SCZ"
3,"6-variate","gamma","ANX","SCZ","ANX / SCZ",0.552748240143253,0.618144136558349,0.388710145287698,0.0931044900950058,"3 / 6-variate / ANX / SCZ"
5,"6-variate","gamma","ANX","SCZ","ANX / SCZ",0.672790933917338,0.780327592933076,0.540514182133031,0.0935316144386877,"5 / 6-variate / ANX / SCZ"
0,"2-variate","gamma","BIP","MDD","BIP / MDD",0.0159586853281979,0.119021855192579,-0.117013441636121,0.0889771561103442,"0 / 2-variate / BIP / MDD"
1,"2-variate","gamma","BIP","MDD","BIP / MDD",0.146201585935132,0.256943828117705,0.0202395352377243,0.0999155240602535,"1 / 2-variate / BIP / MDD"
3,"2-variate","gamma","BIP","MDD","BIP / MDD",0.199227364263535,0.343399405784438,0.12062846289982,0.0893948115497987,"2-variate / 3 / BIP / MDD"
5,"2-variate","gamma","BIP","MDD","BIP / MDD",0.257923351990537,0.362537716678808,0.0979746071693075,0.111783574408513,"2-variate / 5 / BIP / MDD"
0,"6-variate","gamma","BIP","MDD","BIP / MDD",0.0159586853281979,0.119021855192579,-0.117013441636121,0.0889771561103442,"0 / 6-variate / BIP / MDD"
1,"6-variate","gamma","BIP","MDD","BIP / MDD",0.130557729701039,0.239345337807194,-0.0179024564319616,0.113128639907564,"1 / 6-variate / BIP / MDD"
3,"6-variate","gamma","BIP","MDD","BIP / MDD",0.303046546623054,0.459698076260194,0.230272749669676,0.099233379824716,"3 / 6-variate / BIP / MDD"
5,"6-variate","gamma","BIP","MDD","BIP / MDD",0.408173697411039,0.552700020480356,0.24306839687499,0.11804400710805,"5 / 6-variate / BIP / MDD"
0,"2-variate","gamma","BIP","SCZ","BIP / SCZ",-0.00280940166897878,0.0442965321604851,-0.0433181246212801,0.0358517394425434,"0 / 2-variate / BIP / SCZ"
1,"2-variate","gamma","BIP","SCZ","BIP / SCZ",0.109622836936903,0.168796861224599,0.0782596280671162,0.0426231596532973,"1 / 2-variate / BIP / SCZ"
3,"2-variate","gamma","BIP","SCZ","BIP / SCZ",0.222995404507721,0.261339108990796,0.14946234881116,0.0452674688933024,"2-variate / 3 / BIP / SCZ"
5,"2-variate","gamma","BIP","SCZ","BIP / SCZ",0.248258784649603,0.32192888633,0.192892867078585,0.0512374571931702,"2-variate / 5 / BIP / SCZ"
0,"6-variate","gamma","BIP","SCZ","BIP / SCZ",-0.00280940166897878,0.0442965321604851,-0.0433181246212801,0.0358517394425434,"0 / 6-variate / BIP / SCZ"
1,"6-variate","gamma","BIP","SCZ","BIP / SCZ",0.116708794294409,0.150688808551408,0.062442814620122,0.0388245432796678,"1 / 6-variate / BIP / SCZ"
3,"6-variate","gamma","BIP","SCZ","BIP / SCZ",0.247001020198499,0.317307099312181,0.172000092518806,0.057672579559512,"3 / 6-variate / BIP / SCZ"
5,"6-variate","gamma","BIP","SCZ","BIP / SCZ",0.314099775883132,0.369907804482519,0.240760251615787,0.0533223901699396,"5 / 6-variate / BIP / SCZ"
0,"2-variate","gamma","MDD","SCZ","MDD / SCZ",0.00245347288807341,0.0779801754109946,-0.118257456656489,0.0787751829327491,"0 / 2-variate / MDD / SCZ"
1,"2-variate","gamma","MDD","SCZ","MDD / SCZ",0.187906932010597,0.314746206172737,0.0554084489938433,0.0929682950474391,"1 / 2-variate / MDD / SCZ"
3,"2-variate","gamma","MDD","SCZ","MDD / SCZ",0.319849498660314,0.456020396052962,0.191872437186871,0.112315658761445,"2-variate / 3 / MDD / SCZ"
5,"2-variate","gamma","MDD","SCZ","MDD / SCZ",0.386548344456655,0.481560921979701,0.240038828533434,0.102045073971862,"2-variate / 5 / MDD / SCZ"
0,"6-variate","gamma","MDD","SCZ","MDD / SCZ",0.00245347288807341,0.0779801754109946,-0.118257456656489,0.0787751829327491,"0 / 6-variate / MDD / SCZ"
1,"6-variate","gamma","MDD","SCZ","MDD / SCZ",0.149317854648463,0.281008247784579,0.0589980995165963,0.0874653693468287,"1 / 6-variate / MDD / SCZ"
3,"6-variate","gamma","MDD","SCZ","MDD / SCZ",0.435990965543695,0.539849098951944,0.333615310769452,0.0897729375042293,"3 / 6-variate / MDD / SCZ"
5,"6-variate","gamma","MDD","SCZ","MDD / SCZ",0.571613573664206,0.676925230799585,0.443444172005347,0.0979107802952853,"5 / 6-variate / MDD / SCZ"
