"gen","xAM","outcome","pheno_1","pheno_2","value","se"
3,"6-variate","rgtrue","BIP","MDD",0.0451953705770191,0.0127895100001549
4,"6-variate","rgtrue","BIP","MDD",0.0485145091952062,0.0143263788187182
5,"6-variate","rgtrue","BIP","MDD",0.0506537802919966,0.0157152927459018
0,"2-variate","gamma","ADHD","SCZ",-0.0138462546788358,0.14635265647218
1,"2-variate","gamma","ADHD","SCZ",0.375579941424593,0.161142666823433
2,"2-variate","gamma","ADHD","SCZ",0.554367904158817,0.229037628071857
3,"2-variate","gamma","ADHD","SCZ",0.62802889625639,0.229062546383445
4,"2-variate","gamma","ADHD","SCZ",0.759580500945257,0.222298720155528
5,"2-variate","gamma","ADHD","SCZ",0.780154323038809,0.250181861339848
0,"6-variate","gamma","ADHD","SCZ",-0.0138462546788358,0.14635265647218
1,"6-variate","gamma","ADHD","SCZ",0.298684857990938,0.158536778787329
2,"6-variate","gamma","ADHD","SCZ",0.640695504329869,0.175055768515469
3,"6-variate","gamma","ADHD","SCZ",0.818489327140044,0.230365385047315
4,"6-variate","gamma","ADHD","SCZ",0.967397652474325,0.231978181194714
5,"6-variate","gamma","ADHD","SCZ",1.09232493058453,0.228462068074037
0,"2-variate","rgHE","ADHD","SCZ",-0.00271939670043951,0.0287437090383596
1,"2-variate","rgHE","ADHD","SCZ",0.0737640272976716,0.0316484758443933
2,"2-variate","rgHE","ADHD","SCZ",0.108878006129288,0.0449830718691842
3,"2-variate","rgHE","ADHD","SCZ",0.12334511091155,0.0449879608815475
4,"2-variate","rgHE","ADHD","SCZ",0.149181861229187,0.0436595453591848
5,"2-variate","rgHE","ADHD","SCZ",0.153222565047945,0.0491358115923242
0,"6-variate","rgHE","ADHD","SCZ",-0.00271939670043951,0.0287437090383596
1,"6-variate","rgHE","ADHD","SCZ",0.058661810648919,0.0311366813563192
2,"6-variate","rgHE","ADHD","SCZ",0.125832787908372,0.0343810163884039
3,"6-variate","rgHE","ADHD","SCZ",0.160751590321017,0.0452438501521461
4,"6-variate","rgHE","ADHD","SCZ",0.189997266857151,0.0455606041108185
5,"6-variate","rgHE","ADHD","SCZ",0.214533024081574,0.0448700267295805
0,"2-variate","rgtrue","ADHD","SCZ",-0.00147476379103445,0.012282615227038
1,"2-variate","rgtrue","ADHD","SCZ",0.034824030180477,0.0147719638954223
2,"2-variate","rgtrue","ADHD","SCZ",0.0562616047959219,0.0210783901581299
3,"2-variate","rgtrue","ADHD","SCZ",0.0620663342758238,0.0197686566305711
4,"2-variate","rgtrue","ADHD","SCZ",0.0705913084440948,0.0220000296051812
5,"2-variate","rgtrue","ADHD","SCZ",0.0792958766415361,0.0237020227764992
0,"6-variate","rgtrue","ADHD","SCZ",-0.00147476379103445,0.012282615227038
1,"6-variate","rgtrue","ADHD","SCZ",0.0272522976615173,0.0151010301839782
2,"6-variate","rgtrue","ADHD","SCZ",0.0549027652747518,0.0155848525675131
3,"6-variate","rgtrue","ADHD","SCZ",0.0716655106725853,0.021702560140233
4,"6-variate","rgtrue","ADHD","SCZ",0.0843982588761005,0.0229596742665762
5,"6-variate","rgtrue","ADHD","SCZ",0.094804651229507,0.0227472620347792
0,"2-variate","gamma","ALC","SCZ",-0.0207581945004201,0.124384357656022
1,"2-variate","gamma","ALC","SCZ",0.318849625740524,0.142007634371799
2,"2-variate","gamma","ALC","SCZ",0.519344167666791,0.149746338581023
3,"2-variate","gamma","ALC","SCZ",0.656629132924143,0.127303476959254
4,"2-variate","gamma","ALC","SCZ",0.753702046255437,0.142161071214787
5,"2-variate","gamma","ALC","SCZ",0.817831901148317,0.144139908706326
0,"6-variate","gamma","ALC","SCZ",-0.0207581945004201,0.124384357656022
1,"6-variate","gamma","ALC","SCZ",0.291816172910515,0.123834820168441
2,"6-variate","gamma","ALC","SCZ",0.545377696686975,0.143437099769012
3,"6-variate","gamma","ALC","SCZ",0.735403339425483,0.149730389092465
4,"6-variate","gamma","ALC","SCZ",0.92136090957023,0.143675388840021
5,"6-variate","gamma","ALC","SCZ",1.04544918491336,0.154773336810841
0,"2-variate","rgHE","ALC","SCZ",-0.00452617543093323,0.0271210258811487
1,"2-variate","rgHE","ALC","SCZ",0.0695226252664265,0.0309636478449852
2,"2-variate","rgHE","ALC","SCZ",0.113238897278508,0.0326510109571213
3,"2-variate","rgHE","ALC","SCZ",0.143172812174675,0.0277575250366271
4,"2-variate","rgHE","ALC","SCZ",0.164338783234935,0.0309971003776222
5,"2-variate","rgHE","ALC","SCZ",0.178321828444895,0.0314285705715146
0,"6-variate","rgHE","ALC","SCZ",-0.00452617543093323,0.0271210258811487
1,"6-variate","rgHE","ALC","SCZ",0.0636282135926914,0.027001198116703
2,"6-variate","rgHE","ALC","SCZ",0.118915265974367,0.0312753257496926
3,"6-variate","rgHE","ALC","SCZ",0.160348884086705,0.0326475391013737
4,"6-variate","rgHE","ALC","SCZ",0.200895498692283,0.0313272828619046
5,"6-variate","rgHE","ALC","SCZ",0.227951925198942,0.0337471054813041
0,"2-variate","rgtrue","ALC","SCZ",-0.00342929870490331,0.0122261103094815
1,"2-variate","rgtrue","ALC","SCZ",0.0335571942802777,0.0127066960103207
2,"2-variate","rgtrue","ALC","SCZ",0.0556064452072086,0.0129716970160078
3,"2-variate","rgtrue","ALC","SCZ",0.0714614775341626,0.0108870840816238
4,"2-variate","rgtrue","ALC","SCZ",0.0803089737816953,0.0132202391560447
5,"2-variate","rgtrue","ALC","SCZ",0.088210142862577,0.0154416726079666
0,"6-variate","rgtrue","ALC","SCZ",-0.00342929870490331,0.0122261103094815
1,"6-variate","rgtrue","ALC","SCZ",0.0303579866367814,0.0122304241103551
2,"6-variate","rgtrue","ALC","SCZ",0.0556406231928578,0.0141311648120656
3,"6-variate","rgtrue","ALC","SCZ",0.0734423085384145,0.0128967739601478
4,"6-variate","rgtrue","ALC","SCZ",0.0900535098242096,0.0131639013283546
5,"6-variate","rgtrue","ALC","SCZ",0.0994790736184197,0.0139328055963438
0,"2-variate","gamma","ANX","SCZ",0.0155855298016532,0.0782672082547801
1,"2-variate","gamma","ANX","SCZ",0.264462060875562,0.0671275656298495
2,"2-variate","gamma","ANX","SCZ",0.377613890006429,0.093049734019798
3,"2-variate","gamma","ANX","SCZ",0.49642120823411,0.0801504667127495
4,"2-variate","gamma","ANX","SCZ",0.541017357258956,0.0788037749913718
5,"2-variate","gamma","ANX","SCZ",0.583361371632395,0.0846740686111539
0,"6-variate","gamma","ANX","SCZ",0.0155855298016532,0.0782672082547801
1,"6-variate","gamma","ANX","SCZ",0.249758717979456,0.0949428830497192
2,"6-variate","gamma","ANX","SCZ",0.417675279205681,0.090439364417757
3,"6-variate","gamma","ANX","SCZ",0.552748240143253,0.0931044900950058
4,"6-variate","gamma","ANX","SCZ",0.632532401848642,0.10019479420188
5,"6-variate","gamma","ANX","SCZ",0.672790933917338,0.0935316144386877
0,"2-variate","rgHE","ANX","SCZ",0.00565878752218241,0.0284173227500531
1,"2-variate","rgHE","ANX","SCZ",0.0960211249327708,0.0243727374353014
2,"2-variate","rgHE","ANX","SCZ",0.13710435593925,0.0337845803154447
3,"2-variate","rgHE","ANX","SCZ",0.180241020709775,0.0291010992828741
4,"2-variate","rgHE","ANX","SCZ",0.19643304891209,0.0286121460829053
5,"2-variate","rgHE","ANX","SCZ",0.211807327630369,0.0307435419662224
0,"6-variate","rgHE","ANX","SCZ",0.00565878752218241,0.0284173227500531
1,"6-variate","rgHE","ANX","SCZ",0.0906826108382998,0.0344719454913305
2,"6-variate","rgHE","ANX","SCZ",0.151649900781851,0.0328367998592512
3,"6-variate","rgHE","ANX","SCZ",0.200692307992182,0.0338044557380595
4,"6-variate","rgHE","ANX","SCZ",0.229660376417559,0.0363788102483514
5,"6-variate","rgHE","ANX","SCZ",0.244277531280963,0.0339595318220746
0,"2-variate","rgtrue","ANX","SCZ",0.00197057898515043,0.0094422378742451
1,"2-variate","rgtrue","ANX","SCZ",0.0470874149969626,0.0103645764990269
2,"2-variate","rgtrue","ANX","SCZ",0.0724853549044566,0.0130175271980512
3,"2-variate","rgtrue","ANX","SCZ",0.0865448993711723,0.0118083996921963
4,"2-variate","rgtrue","ANX","SCZ",0.0964007797651835,0.0132312179290419
5,"2-variate","rgtrue","ANX","SCZ",0.105300447860025,0.014563814169217
0,"6-variate","rgtrue","ANX","SCZ",0.00197057898515043,0.0094422378742451
1,"6-variate","rgtrue","ANX","SCZ",0.0421199830697892,0.0115693173414103
2,"6-variate","rgtrue","ANX","SCZ",0.0713239074775427,0.0141141192708282
3,"6-variate","rgtrue","ANX","SCZ",0.0895616058735118,0.0156323863677771
4,"6-variate","rgtrue","ANX","SCZ",0.101927490593844,0.015974745001602
5,"6-variate","rgtrue","ANX","SCZ",0.114049215364667,0.0147301783088429
0,"2-variate","gamma","BIP","SCZ",-0.00280940166897878,0.0358517394425434
1,"2-variate","gamma","BIP","SCZ",0.109622836936903,0.0426231596532973
2,"2-variate","gamma","BIP","SCZ",0.174482070424401,0.0554190134271244
3,"2-variate","gamma","BIP","SCZ",0.222995404507721,0.0452674688933024
4,"2-variate","gamma","BIP","SCZ",0.227596602193498,0.0548913766435268
5,"2-variate","gamma","BIP","SCZ",0.248258784649603,0.0512374571931702
0,"6-variate","gamma","BIP","SCZ",-0.00280940166897878,0.0358517394425434
1,"6-variate","gamma","BIP","SCZ",0.116708794294409,0.0388245432796678
2,"6-variate","gamma","BIP","SCZ",0.184850487671228,0.051875656234705
3,"6-variate","gamma","BIP","SCZ",0.247001020198499,0.057672579559512
4,"6-variate","gamma","BIP","SCZ",0.277577185555001,0.056137042112661
5,"6-variate","gamma","BIP","SCZ",0.314099775883132,0.0533223901699396
0,"2-variate","rgHE","BIP","SCZ",-0.00191738191066046,0.0244683568160448
1,"2-variate","rgHE","BIP","SCZ",0.0748162087177698,0.0290897571998929
2,"2-variate","rgHE","BIP","SCZ",0.119081825387983,0.0378227752175333
3,"2-variate","rgHE","BIP","SCZ",0.152191518797443,0.0308944739890226
4,"2-variate","rgHE","BIP","SCZ",0.155331812436431,0.0374626701659837
5,"2-variate","rgHE","BIP","SCZ",0.169433477134158,0.0349689189418194
0,"6-variate","rgHE","BIP","SCZ",-0.00191738191066046,0.0244683568160448
1,"6-variate","rgHE","BIP","SCZ",0.0796522984555312,0.0264972574197462
2,"6-variate","rgHE","BIP","SCZ",0.126158117306046,0.0354044834408223
3,"6-variate","rgHE","BIP","SCZ",0.168575068821771,0.0393607964630589
4,"6-variate","rgHE","BIP","SCZ",0.189442940950218,0.0383128280538936
5,"6-variate","rgHE","BIP","SCZ",0.214369138691021,0.0363918592371911
0,"2-variate","rgtrue","BIP","SCZ",-0.000831674362621313,0.0104642731915144
1,"2-variate","rgtrue","BIP","SCZ",0.0376628702036863,0.0118143968667015
2,"2-variate","rgtrue","BIP","SCZ",0.0631139753375715,0.0155911628862991
3,"2-variate","rgtrue","BIP","SCZ",0.0701660225954661,0.0145038360873761
4,"2-variate","rgtrue","BIP","SCZ",0.0783921105431678,0.0167125215481671
5,"2-variate","rgtrue","BIP","SCZ",0.0813599056881607,0.0164570954983044
0,"6-variate","rgtrue","BIP","SCZ",-0.000831674362621313,0.0104642731915144
1,"6-variate","rgtrue","BIP","SCZ",0.0405280718719634,0.0125444863731507
2,"6-variate","rgtrue","BIP","SCZ",0.060756808585963,0.0163229316246108
3,"6-variate","rgtrue","BIP","SCZ",0.0764736667376076,0.0148491574688771
4,"6-variate","rgtrue","BIP","SCZ",0.0900672677874225,0.017079379511896
5,"6-variate","rgtrue","BIP","SCZ",0.0956260164793395,0.0179359014869835
0,"2-variate","gamma","MDD","SCZ",0.00245347288807341,0.0787751829327491
1,"2-variate","gamma","MDD","SCZ",0.187906932010597,0.0929682950474391
2,"2-variate","gamma","MDD","SCZ",0.288196428275149,0.0850498876088484
3,"2-variate","gamma","MDD","SCZ",0.319849498660314,0.112315658761445
4,"2-variate","gamma","MDD","SCZ",0.363481253001187,0.112587577010992
5,"2-variate","gamma","MDD","SCZ",0.386548344456655,0.102045073971862
0,"6-variate","gamma","MDD","SCZ",0.00245347288807341,0.0787751829327491
1,"6-variate","gamma","MDD","SCZ",0.149317854648463,0.0874653693468287
2,"6-variate","gamma","MDD","SCZ",0.349286407471709,0.103877285246958
3,"6-variate","gamma","MDD","SCZ",0.435990965543695,0.0897729375042293
4,"6-variate","gamma","MDD","SCZ",0.507311868575281,0.101440156855592
5,"6-variate","gamma","MDD","SCZ",0.571613573664206,0.0979107802952853
0,"2-variate","rgHE","MDD","SCZ",0.000870423012787874,0.0279472632630052
1,"2-variate","rgHE","MDD","SCZ",0.0666642487898885,0.032982590266333
2,"2-variate","rgHE","MDD","SCZ",0.102244179933181,0.030173355626432
3,"2-variate","rgHE","MDD","SCZ",0.113473819546913,0.0398465004102541
4,"2-variate","rgHE","MDD","SCZ",0.128953078457736,0.0399429665612115
5,"2-variate","rgHE","MDD","SCZ",0.137136695526702,0.0362027829554224
0,"6-variate","rgHE","MDD","SCZ",0.000870423012787874,0.0279472632630052
1,"6-variate","rgHE","MDD","SCZ",0.0529738581558532,0.0310303008069065
2,"6-variate","rgHE","MDD","SCZ",0.123917172097393,0.03685279696935
3,"6-variate","rgHE","MDD","SCZ",0.154677560055369,0.0318489674651475
4,"6-variate","rgHE","MDD","SCZ",0.179980251983892,0.0359881662778799
5,"6-variate","rgHE","MDD","SCZ",0.202792686319628,0.034736046273
0,"2-variate","rgtrue","MDD","SCZ",0.00174009250954165,0.0107098241196598
1,"2-variate","rgtrue","MDD","SCZ",0.0296454238534432,0.0124172157838005
2,"2-variate","rgtrue","MDD","SCZ",0.0480163238412068,0.0126486757644619
3,"2-variate","rgtrue","MDD","SCZ",0.0547036939107481,0.0151567859724027
4,"2-variate","rgtrue","MDD","SCZ",0.0634874115419166,0.0132154531262823
5,"2-variate","rgtrue","MDD","SCZ",0.0647766443077831,0.015246294284418
0,"6-variate","rgtrue","MDD","SCZ",0.00174009250954165,0.0107098241196598
1,"6-variate","rgtrue","MDD","SCZ",0.0289591198035244,0.0108059119162274
2,"6-variate","rgtrue","MDD","SCZ",0.0480270357663189,0.0133674400812546
3,"6-variate","rgtrue","MDD","SCZ",0.0678762849542672,0.0138544431925449
4,"6-variate","rgtrue","MDD","SCZ",0.0765525657560491,0.0139821375459211
5,"6-variate","rgtrue","MDD","SCZ",0.0846742283692243,0.0153709391319139
