"gen","xAM","outcome","pheno_1","pheno_2","value","se"
3,"6-variate","gamma","ALC","ANX",0.329350447208045,0.0968838797550926
4,"6-variate","gamma","ALC","ANX",0.41304962540188,0.0904775758272247
5,"6-variate","gamma","ALC","ANX",0.440382442755509,0.116791003111584
0,"2-variate","rgHE","ALC","ANX",-0.00268102140429899,0.0319663854005563
1,"2-variate","rgHE","ALC","ANX",0.0320567239839098,0.0335915688338413
2,"2-variate","rgHE","ALC","ANX",0.058087068262298,0.0314957984336566
3,"2-variate","rgHE","ALC","ANX",0.0856883486106027,0.0259750895463937
4,"2-variate","rgHE","ALC","ANX",0.0866934286333909,0.0332159683743691
5,"2-variate","rgHE","ALC","ANX",0.0860287952331363,0.0309502155989881
0,"6-variate","rgHE","ALC","ANX",-0.00268102140429899,0.0319663854005563
1,"6-variate","rgHE","ALC","ANX",0.0431181322880835,0.0395084269194021
2,"6-variate","rgHE","ALC","ANX",0.0681693500412119,0.0333142772207152
3,"6-variate","rgHE","ALC","ANX",0.108420918560669,0.0318938047087378
4,"6-variate","rgHE","ALC","ANX",0.135974359067396,0.0297848806756888
5,"6-variate","rgHE","ALC","ANX",0.144972241275554,0.0384471490316099
0,"2-variate","rgtrue","ALC","ANX",-0.000681053372587002,0.0131859934116237
1,"2-variate","rgtrue","ALC","ANX",0.0177347348832916,0.0122232448469251
2,"2-variate","rgtrue","ALC","ANX",0.0306141406074166,0.0127240211460038
3,"2-variate","rgtrue","ALC","ANX",0.039209982993369,0.0117793637735249
4,"2-variate","rgtrue","ALC","ANX",0.0411783001332287,0.0135970340751608
5,"2-variate","rgtrue","ALC","ANX",0.0442358053427841,0.0132666388668454
0,"6-variate","rgtrue","ALC","ANX",-0.000681053372587002,0.0131859934116237
1,"6-variate","rgtrue","ALC","ANX",0.0144918358401047,0.0153460472906317
2,"6-variate","rgtrue","ALC","ANX",0.033466369628498,0.0131261140091193
3,"6-variate","rgtrue","ALC","ANX",0.0452692406339751,0.0137168034522132
4,"6-variate","rgtrue","ALC","ANX",0.0540888998247795,0.0122577400511078
5,"6-variate","rgtrue","ALC","ANX",0.0614924647650374,0.015352761081567
0,"2-variate","gamma","ADHD","BIP",-0.00444989776970888,0.148366062726747
1,"2-variate","gamma","ADHD","BIP",0.392820480618788,0.176978325095969
2,"2-variate","gamma","ADHD","BIP",0.667194818019863,0.204702165477916
3,"2-variate","gamma","ADHD","BIP",0.837495999467688,0.26703200335872
4,"2-variate","gamma","ADHD","BIP",0.97384125080588,0.297820711794986
5,"2-variate","gamma","ADHD","BIP",0.96850632060027,0.288543944268779
0,"6-variate","gamma","ADHD","BIP",-0.00444989776970888,0.148366062726747
1,"6-variate","gamma","ADHD","BIP",0.483356536560894,0.182250351555324
2,"6-variate","gamma","ADHD","BIP",0.77181779745137,0.24372671574304
3,"6-variate","gamma","ADHD","BIP",0.95764314823016,0.263888624417624
4,"6-variate","gamma","ADHD","BIP",1.04960643584159,0.21080254313924
