"gen","scenario","variable","var_label","median.50.","q10.10.","q90.90.","mean","se"
0,"5xAM","rbeta_HE","hat(italic(r))[beta]",-6.30217810845318e-05,-0.00192263894835698,0.00183568534402861,-3.678476349541e-05,5.38092129864952e-05
1,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.100946154674174,0.0964841011924994,0.104585901251658,0.100739113583375,0.000113383169321647
2,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.17661494751073,0.169684532337491,0.182815594658897,0.176407654751106,0.000181982560593854
3,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.230312248257781,0.221663446510369,0.23859903988547,0.230180965951402,0.000237904090091839
4,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.268430564504518,0.257559319699955,0.280684192731106,0.268890921913063,0.00033128576104948
5,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.294929205640085,0.280047836787678,0.311524438871132,0.295548112081288,0.000457781226839215
0,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",-0.000132235841087256,-0.00203665249094495,0.00197391874002696,-7.94270511832737e-05,5.83660347658612e-05
1,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.101650677843284,0.097842890315569,0.105442678578437,0.101581734431157,0.000110993545427127
2,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.177389663764436,0.171591544459878,0.183150342506423,0.177412257243086,0.000168212596775793
3,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.232092506816032,0.223822167586129,0.240247666097491,0.232056677461693,0.000240253631643291
4,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.270691219045301,0.258867021791244,0.281687500492202,0.270286278671115,0.000329893239715804
5,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.297734862784495,0.280150962715089,0.31459676830006,0.297551217466212,0.000475137858629428
0,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",4.77868407399115e-05,-0.00191125591996626,0.00192908864662833,-4.72765542604872e-06,5.69705699529765e-05
1,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.317075943934947,0.312562448067615,0.321239730411243,0.316950733667405,0.000124883880953014
2,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.455901985220796,0.451015244796583,0.461638336815779,0.456063438411897,0.000149717979756303
3,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.51646950480631,0.509366391190094,0.523437692088007,0.516487692131827,0.000196741571080168
4,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.544514721194056,0.535026668481535,0.554350210816749,0.544503834630518,0.000273404682955369
