"gen","scenario","h2_true","h2_he","rg_true","he_rg","h2_bias","rg_bias","h2_bias_median","rg_bias_median"
0,"5xAM",0.499547097540568,0.499563052413025,-1.50189069943902e-05,-5.77867581767477e-05,1.59548724563249e-05,-4.27678511823575e-05,2.8648926135022e-05,-3.81701503980725e-05
0,"5xAM + GxE (20%)",0.542996127528735,0.542979445849471,-8.91486727436416e-07,2.58772688462388e-06,-1.66816792641538e-05,3.47921361206029e-06,-1.37423113080182e-05,2.4834253148008e-05
0,"5xAM + GxE (5%)",0.50200814707841,0.502054105461783,7.41894402380564e-06,-2.71375123637736e-05,4.59583833725889e-05,-3.45564563875792e-05,3.66988906810584e-05,-8.72005898364012e-05
0,"5xAM + VT (20%)",0.499569642949144,0.499510351490899,-3.03323973960911e-05,-0.000122657402870496,-5.9291458245206e-05,-9.23250054744054e-05,-6.78719256030358e-05,-4.4901849575821e-05
0,"5xAM + VT (20%) + GxE (20%)",0.499565513312209,0.499651561174016,2.7974256425881e-05,6.53759432567412e-05,8.60478618069347e-05,3.74016868308603e-05,0.000103046921901107,5.98223776926891e-05
0,"5xAM + VT (20%) + GxE (5%)",0.487385414494882,0.48747248310604,-2.63205118765947e-05,-4.25263422087258e-05,8.70686111577453e-05,-1.62058303321311e-05,3.91502585985193e-05,-2.3464825260264e-05
0,"5xAM + VT (5%)",0.499562806115371,0.499595108868564,3.00806508571744e-06,1.5737920309611e-06,3.23027531926909e-05,-1.43427305475634e-06,2.63317067210056e-05,-1.9367888399968e-05
0,"5xAM + VT (5%) + GxE (20%)",0.535285648721394,0.535202146495019,-4.6281905777947e-06,1.21036947220869e-05,-8.35022263752493e-05,1.67318852998816e-05,-0.000133479401382974,-4.5838378991597e-05
0,"5xAM + VT (5%) + GxE (5%)",0.499531939899062,0.499422344484319,1.15667687786234e-05,1.39009241647038e-05,-0.000109595414743007,2.33415538608043e-06,-0.000128089578709967,4.72384446202102e-06
1,"5xAM",0.511763018962051,0.541893036880072,0.0474354306187611,0.100835554595178,0.0301300179180209,0.0534001239764173,0.030103885130445,0.0533525497788701
1,"5xAM + GxE (20%)",0.552476785785853,0.588812549601233,0.052031109897081,0.11096656126621,0.03633576381538,0.0589354513691288,0.036360291781241,0.0589170437642672
1,"5xAM + GxE (5%)",0.513232997055646,0.543626227234579,0.0478627101160556,0.101627163489852,0.0303932301789335,0.0537644533737962,0.0304220824636835,0.0537344458731928
1,"5xAM + VT (20%)",0.319573426784982,0.550071295409549,0.0151773182965025,0.428090181556725,0.230497868624566,0.412912863260222,0.230493571773689,0.412984164453473
1,"5xAM + VT (20%) + GxE (20%)",0.245224033965802,0.444552374525932,0.0161320882450562,0.457040579073443,0.199328340560131,0.440908490828387,0.199307741905887,0.440996527739463
1,"5xAM + VT (20%) + GxE (5%)",0.293300641497247,0.509994429990881,0.0154524242305009,0.434084770397817,0.216693788493633,0.418632346167316,0.216656556155105,0.418539372899355
1,"5xAM + VT (5%)",0.428312453925428,0.605748032225364,0.0335147788025588,0.316943366802369,0.177435578299936,0.283428587999811,0.177590069611208,0.283469941539025
1,"5xAM + VT (5%) + GxE (20%)",0.428695854486282,0.621204815967547,0.035061267971004,0.334102448979136,0.192508961481265,0.299041181008132,0.192535686825807,0.299023910273779
1,"5xAM + VT (5%) + GxE (5%)",0.422396787677935,0.599507207943125,0.0334732671478089,0.319315241098219,0.17711042026519,0.285841973950411,0.177293773710461,0.285900370258275
2,"5xAM",0.520525186772167,0.580607827647767,0.0806373106946687,0.176132940441492,0.0600826408755998,0.0954956297468233,0.060015646894871,0.0956414679440221
2,"5xAM + GxE (20%)",0.559030986771837,0.631268119932425,0.0877005602511617,0.192592357410783,0.0722371331605876,0.104891797159622,0.072258099600283,0.104856706213632
2,"5xAM + GxE (5%)",0.521171549315398,0.581885382564711,0.0812466643359161,0.177532584047266,0.0607138332493125,0.0962859197113497,0.060629854109913,0.096289699876851
2,"5xAM + VT (20%)",0.26443831278233,0.597734105825174,0.0237282918518196,0.568370055195562,0.333295793042844,0.544641763343743,0.333296712788947,0.544531377980248
2,"5xAM + VT (20%) + GxE (20%)",0.161103684532706,0.413574341697208,0.023390718926148,0.619117201838874,0.252470657164502,0.595726482912726,0.25240505409461,0.595802080914264
2,"5xAM + VT (20%) + GxE (5%)",0.228060010112271,0.531473123095517,0.0238071040195498,0.581283932879622,0.303413112983246,0.557476828860072,0.303423745588248,0.55736360114041
2,"5xAM + VT (5%)",0.40570794120524,0.674592692827055,0.0541075500083306,0.431541737817615,0.268884751621815,0.377434187809284,0.268892386401291,0.377447864889481
2,"5xAM + VT (5%) + GxE (20%)",0.377268270617965,0.667184500015761,0.0527773409264783,0.464272955261019,0.289916229397796,0.41149561433454,0.290102424409982,0.411515454573394
2,"5xAM + VT (5%) + GxE (5%)",0.393776486937465,0.662775931537346,0.053342150321262,0.437935992057938,0.268999444599881,0.384593841736676,0.269059785268621,0.384614604339664
3,"5xAM",0.526966062883284,0.613111743167348,0.103972971832077,0.23053969480216,0.0861456802840636,0.126566722970083,0.086071211919343,0.126553206461727
3,"5xAM + GxE (20%)",0.56379812066521,0.66626095049309,0.112364693702742,0.249913571796874,0.102462829827881,0.137548878094132,0.102528673978473,0.137752232569403
3,"5xAM + GxE (5%)",0.526971275358707,0.614258906542622,0.104645836303816,0.231932433739612,0.0872876311839154,0.127286597435796,0.087065699929893,0.127331411507107
3,"5xAM + VT (20%)",0.251216906511036,0.624151385996244,0.0287716309758614,0.609498937221049,0.372934479485208,0.580727306245187,0.373127132565843,0.580655986235371
3,"5xAM + VT (20%) + GxE (20%)",0.117869373035514,0.351455501674932,0.0253614281671557,0.672918130608465,0.233586128639418,0.647556702441309,0.233429464313599,0.647636468318078
3,"5xAM + VT (20%) + GxE (5%)",0.202811668426868,0.529623722329637,0.0280562749582377,0.627940554982551,0.326812053902769,0.599884280024313,0.326568441959604,0.599917075492045
3,"5xAM + VT (5%)",0.399163913964859,0.712966485822388,0.0661402734556421,0.47759122859081,0.313802571857529,0.411450955135168,0.313825589457987,0.411518480447442
3,"5xAM + VT (5%) + GxE (20%)",0.346806384911565,0.676956391307715,0.0600571431761548,0.518389634904922,0.33015000639615,0.458332491728767,0.330159153045014,0.458161152873043
3,"5xAM + VT (5%) + GxE (5%)",0.381955094959068,0.696068475723785,0.0642821266770597,0.486842675282488,0.314113380764718,0.422560548605428,0.313967849285451,0.422868857013604
4,"5xAM",0.531501112919704,0.638563566264347,0.120392884036639,0.268921460093757,0.107062453344642,0.148528576057118,0.107304230727471,0.148734798039647
4,"5xAM + GxE (20%)",0.566816966116197,0.693630538832325,0.12938524967078,0.289790825644861,0.126813572716129,0.160405575974081,0.126673923864576,0.160255920151319
4,"5xAM + GxE (5%)",0.530922935230848,0.639000914797915,0.121028709533382,0.270320964029882,0.108077979567066,0.1492922544965,0.108056582916993,0.149257437890121
4,"5xAM + VT (20%)",0.247793298942963,0.640218341939708,0.0318405913373644,0.625538763769863,0.392425042996745,0.593698172432498,0.392379369350015,0.593828886939598
4,"5xAM + VT (20%) + GxE (20%)",0.0853209726694708,0.266275766374028,0.0237856114739366,0.68746470226772,0.180954793704557,0.663679090793784,0.181271878365239,0.664506962637789
4,"5xAM + VT (20%) + GxE (5%)",0.184098303375418,0.505587240723179,0.029675998106423,0.646861666809053,0.321488937347761,0.61718566870263,0.321039978661412,0.617431402929108
4,"5xAM + VT (5%)",0.396930211295418,0.735423533179997,0.0736149778361263,0.500647139932686,0.338493321884579,0.42703216209656,0.338840142412294,0.42684403185865
4,"5xAM + VT (5%) + GxE (20%)",0.321828179213611,0.661900449241642,0.0616757383901783,0.544095514864925,0.340072270028031,0.482419776474747,0.339996253835157,0.482086473463465
4,"5xAM + VT (5%) + GxE (5%)",0.375414527331922,0.714008853860986,0.0704400115518607,0.51194552049593,0.338594326529064,0.44150550894407,0.338645210680001,0.441537742322431
5,"5xAM",0.53486862588813,0.65813045277149,0.131902304454567,0.295067081159665,0.12326182688336,0.163164776705098,0.123625482773268,0.163327768605295
5,"5xAM + GxE (20%)",0.569228257473554,0.714687641220863,0.141296374447604,0.317048236937817,0.14545938374731,0.175751862490213,0.145502721007893,0.175288053171423
5,"5xAM + GxE (5%)",0.533843488647898,0.65844472834006,0.132848894364359,0.297269807839508,0.124601239692162,0.164420913475149,0.124580511399734,0.164564074123718
5,"5xAM + VT (20%)",0.24670113502913,0.650321851756921,0.0338612287638917,0.633947880361738,0.403620716727792,0.600086651597847,0.402929860917879,0.600189573093972
5,"5xAM + VT (20%) + GxE (20%)",0.0642600322049617,0.194387020488917,0.0200040648130651,0.677496421641449,0.130126988283955,0.657492356828383,0.130447048231437,0.658670483258193
5,"5xAM + VT (20%) + GxE (5%)",0.164110661828349,0.458874377020182,0.0293949116995926,0.653111677040313,0.294763715191834,0.62371676534072,0.295010213959463,0.623871261183188
5,"5xAM + VT (5%)",0.396021506886592,0.749692582472457,0.0781635662786984,0.51344401765128,0.353671075585865,0.435280451372581,0.353466133044507,0.435097448575778
