"seed","gen","scenario","GWAS","xAM","relative_T1R","power"
100,0,"5xAM","Sibship","5-variate",1.04395604395604,"50%"
100,1,"5xAM","Sibship","5-variate",1.03113553113553,"50%"
100,2,"5xAM","Sibship","5-variate",1.00732600732601,"50%"
100,3,"5xAM","Sibship","5-variate",1.07509157509158,"50%"
100,4,"5xAM","Sibship","5-variate",0.941391941391942,"50%"
100,5,"5xAM","Sibship","5-variate",0.946886446886446,"50%"
100,0,"5xAM","Sibship","5-variate",0.995880535530382,"39%"
100,1,"5xAM","Sibship","5-variate",1.04737384140062,"39%"
100,2,"5xAM","Sibship","5-variate",1.02780638516993,"39%"
100,3,"5xAM","Sibship","5-variate",1.03295571575695,"39%"
100,4,"5xAM","Sibship","5-variate",0.976313079299692,"39%"
100,5,"5xAM","Sibship","5-variate",0.992790937178166,"39%"
101,0,"2xAM","Sibship","2-variate",1.06227106227106,"50%"
101,1,"2xAM","Sibship","2-variate",1.06227106227106,"50%"
101,2,"2xAM","Sibship","2-variate",0.989010989010988,"50%"
101,3,"2xAM","Sibship","2-variate",0.76923076923077,"50%"
101,4,"2xAM","Sibship","2-variate",1.20879120879121,"50%"
101,5,"2xAM","Sibship","2-variate",1.13553113553114,"50%"
101,0,"2xAM","Sibship","2-variate",1.04016477857878,"39%"
101,1,"2xAM","Sibship","2-variate",1.22554067971164,"39%"
101,2,"2xAM","Sibship","2-variate",1.21524201853759,"39%"
101,3,"2xAM","Sibship","2-variate",0.968074150360454,"39%"
101,4,"2xAM","Sibship","2-variate",0.9783728115345,"39%"
101,5,"2xAM","Sibship","2-variate",0.906282183316168,"39%"
101,0,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
101,1,"2xAM","Sibship","2-variate",0.861244019138756,"66%"
101,2,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
101,3,"2xAM","Sibship","2-variate",1.14832535885167,"66%"
101,4,"2xAM","Sibship","2-variate",1.14832535885167,"66%"
101,5,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
101,0,"5xAM","Sibship","5-variate",1.05741626794258,"66%"
101,1,"5xAM","Sibship","5-variate",1.04306220095694,"66%"
101,2,"5xAM","Sibship","5-variate",0.923444976076556,"66%"
101,3,"5xAM","Sibship","5-variate",0.995215311004784,"66%"
101,4,"5xAM","Sibship","5-variate",0.966507177033492,"66%"
101,5,"5xAM","Sibship","5-variate",0.933014354066986,"66%"
101,0,"5xAM","Sibship","5-variate",0.987179487179488,"50%"
101,1,"5xAM","Sibship","5-variate",0.928571428571428,"50%"
101,2,"5xAM","Sibship","5-variate",1.07509157509158,"50%"
101,3,"5xAM","Sibship","5-variate",0.932234432234432,"50%"
101,4,"5xAM","Sibship","5-variate",0.952380952380952,"50%"
101,5,"5xAM","Sibship","5-variate",0.976190476190476,"50%"
101,0,"5xAM","Sibship","5-variate",1,"39%"
101,1,"5xAM","Sibship","5-variate",1.03604531410917,"39%"
101,2,"5xAM","Sibship","5-variate",1.01338825952626,"39%"
101,3,"5xAM","Sibship","5-variate",1.043254376931,"39%"
101,4,"5xAM","Sibship","5-variate",0.974253347064882,"39%"
101,5,"5xAM","Sibship","5-variate",0.99794026776519,"39%"
102,0,"2xAM","Sibship","2-variate",1.15384615384615,"50%"
102,1,"2xAM","Sibship","2-variate",0.76923076923077,"50%"
102,2,"2xAM","Sibship","2-variate",1.0989010989011,"50%"
102,3,"2xAM","Sibship","2-variate",0.989010989010988,"50%"
102,4,"2xAM","Sibship","2-variate",1.00732600732601,"50%"
102,5,"2xAM","Sibship","2-variate",1.06227106227106,"50%"
102,0,"2xAM","Sibship","2-variate",0.998970133882596,"39%"
102,1,"2xAM","Sibship","2-variate",1.09165808444902,"39%"
102,2,"2xAM","Sibship","2-variate",0.916580844490216,"39%"
102,3,"2xAM","Sibship","2-variate",0.813594232749742,"39%"
102,4,"2xAM","Sibship","2-variate",1.01956745623069,"39%"
102,5,"2xAM","Sibship","2-variate",0.885684860968074,"39%"
102,0,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
102,1,"2xAM","Sibship","2-variate",0.76555023923445,"66%"
102,2,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
102,3,"2xAM","Sibship","2-variate",0.813397129186602,"66%"
102,4,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
102,5,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
102,0,"5xAM","Sibship","5-variate",1.07177033492823,"66%"
