"seed","gen","args_kmate","args_rmate","args_theta","args_phi","scenario","variable","value","GWAS"
1,1,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.0025237355846509,"Sibship"
1,2,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00155197080373887,"Sibship"
1,3,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0133125735297628,"Sibship"
1,4,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00763398633087637,"Sibship"
1,5,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0101198156339382,"Sibship"
1,0,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0033081513364746,"Sibship"
1,1,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.000183133251269273,"Sibship"
1,2,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0217001843427557,"Sibship"
1,3,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00225263040041449,"Sibship"
1,4,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00733160374328288,"Sibship"
1,5,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00701190639398802,"Sibship"
1,0,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00218486861223695,"Sibship"
1,1,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00576421124060013,"Sibship"
1,2,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.000156556316465478,"Sibship"
1,3,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00636925074694311,"Sibship"
1,4,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0014348649957767,"Sibship"
1,5,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.0129484937145145,"Sibship"
1,0,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.013123894430536,"Sibship"
1,1,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0172349581505611,"Sibship"
1,2,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00771146411168885,"Sibship"
1,3,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.0195194039445789,"Sibship"
1,4,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0133762278255012,"Sibship"
1,5,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.00130878866076302,"Sibship"
1,0,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0178669059506439,"Sibship"
1,1,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00475991816295278,"Sibship"
1,2,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00875463206944186,"Sibship"
1,3,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.0150225965524723,"Sibship"
1,4,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00369856371561531,"Sibship"
1,5,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.000556188032917009,"Sibship"
1,0,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.0271946231361757,"Sibship"
1,1,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00494414586010206,"Sibship"
1,2,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.0052099545403558,"Sibship"
1,3,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",6.48829600004182e-05,"Sibship"
1,4,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",-0.00193987153849114,"Sibship"
1,5,5,0.2,0.05,0,"5xAM + VT","rbeta_hat_sgwas",0.00291353616170455,"Sibship"
1,0,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0105106177760012,"Sibship"
1,1,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00470346758087552,"Sibship"
1,2,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00110523412144754,"Sibship"
1,3,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00490198156597339,"Sibship"
1,4,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.015615561468202,"Sibship"
1,5,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00927716494270252,"Sibship"
1,0,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0080689396637292,"Sibship"
1,1,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00280212982107967,"Sibship"
1,2,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.0069637892789624,"Sibship"
1,3,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00720744191558374,"Sibship"
1,4,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00199286971768513,"Sibship"
1,5,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.000826762267891177,"Sibship"
1,0,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0275785526968689,"Sibship"
1,1,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.000620431141554485,"Sibship"
1,2,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00258021782596095,"Sibship"
1,3,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.0058818152260938,"Sibship"
1,4,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",-0.00871621085193443,"Sibship"
1,5,5,0.2,0.05,0.05,"5xAM + VT + GxE","rbeta_hat_sgwas",0.00180029148933565,"Sibship"
10,0,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.00407544712886144,"Sibship"
10,1,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.00660825446037203,"Sibship"
10,2,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0132112500042018,"Sibship"
10,3,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0160412470782246,"Sibship"
10,4,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.0176331843248189,"Sibship"
10,5,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0598509699408356,"Sibship"
10,0,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0195661303715726,"Sibship"
10,1,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.00824485317176206,"Sibship"
10,2,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.00569901693120258,"Sibship"
10,3,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.00720102171276318,"Sibship"
10,4,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.00460615982371126,"Sibship"
10,5,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.00677305754056783,"Sibship"
10,0,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.029070805671191,"Sibship"
10,1,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.00245690819965828,"Sibship"
10,2,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0133750660617016,"Sibship"
10,3,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.0330843794706326,"Sibship"
10,4,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",0.0569460993302192,"Sibship"
10,5,2,0.2,0,0,"2xAM","rbeta_hat_sgwas",-0.062353467888669,"Sibship"
10,0,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0182135343138517,"Sibship"
10,1,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0104138709902661,"Sibship"
10,2,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00240467005402143,"Sibship"
10,3,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.0074622548930717,"Sibship"
10,4,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00426949593114625,"Sibship"
10,5,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00100494204016619,"Sibship"
10,0,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0238698122991029,"Sibship"
10,1,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00156443791834617,"Sibship"
10,2,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00810666197683323,"Sibship"
10,3,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0037315388796867,"Sibship"
10,4,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00425984409347888,"Sibship"
10,5,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00162343591539788,"Sibship"
10,0,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0254353730058969,"Sibship"
10,1,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00495768154683826,"Sibship"
10,2,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00632669475511038,"Sibship"
10,3,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.0143586125984846,"Sibship"
10,4,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",0.00447633528569717,"Sibship"
10,5,5,0,0.05,0,"RM + VT","rbeta_hat_sgwas",-0.00456055482425406,"Sibship"
10,0,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00296325387835939,"Sibship"
10,1,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00642576697040546,"Sibship"
10,2,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00319678458392026,"Sibship"
10,3,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00983255606368267,"Sibship"
10,4,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.0122889315678959,"Sibship"
10,5,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00938436689504962,"Sibship"
10,0,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.004041462151573,"Sibship"
