"gen","seed","scenario","variable","var_label","value","intercept"
4,10,"5xAM","h2_he","hat(italic(h))^2",0.65388058423996,0.5
5,10,"5xAM","h2_he","hat(italic(h))^2",0.676941180229187,0.5
0,10,"5xAM","h2_he","hat(italic(h))^2",0.503548693656921,0.5
1,10,"5xAM","h2_he","hat(italic(h))^2",0.546669340133667,0.5
2,10,"5xAM","h2_he","hat(italic(h))^2",0.591145956516266,0.5
3,10,"5xAM","h2_he","hat(italic(h))^2",0.61276136636734,0.5
4,10,"5xAM","h2_he","hat(italic(h))^2",0.644303023815155,0.5
5,10,"5xAM","h2_he","hat(italic(h))^2",0.667801058292389,0.5
0,10,"5xAM","h2_he","hat(italic(h))^2",0.498844194412231,0.5
1,10,"5xAM","h2_he","hat(italic(h))^2",0.545433664321899,0.5
2,10,"5xAM","h2_he","hat(italic(h))^2",0.579596984386444,0.5
3,10,"5xAM","h2_he","hat(italic(h))^2",0.61048755645752,0.5
4,10,"5xAM","h2_he","hat(italic(h))^2",0.639103102684021,0.5
5,10,"5xAM","h2_he","hat(italic(h))^2",0.666480123996735,0.5
0,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.517695790529251,0.5
1,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.564490830898285,0.5
2,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.606821441650391,0.5
3,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.641693806648254,0.5
4,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.669927823543549,0.5
5,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.693369328975677,0.5
0,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.50658695101738,0.5
1,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.542372417449951,0.5
2,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.58626720905304,0.5
3,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.612833344936371,0.5
4,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.639203107357025,0.5
5,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.661607801914215,0.5
0,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.496706914901733,0.5
1,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.540616476535797,0.5
2,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.579460453987122,0.5
3,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.620790696144104,0.5
4,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.639890682697296,0.5
5,10,"5xAM + GxE","h2_he","hat(italic(h))^2",0.659249234199524,0.5
0,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.51826336979866,0.5
1,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.622350144386292,0.5
2,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.702819895744324,0.5
3,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.727428150177002,0.5
4,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.767894971370697,0.5
5,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.753275489807129,0.5
0,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.504388266801834,0.5
1,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.611982619762421,0.5
2,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.681932151317596,0.5
3,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.710654258728027,0.5
4,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.7406121134758,0.5
5,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.741396367549896,0.5
0,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.496762377023697,0.5
1,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.604608106613159,0.5
2,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.678341543674469,0.5
3,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.723847794532776,0.5
4,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.738320672512054,0.5
5,10,"5xAM + VT","h2_he","hat(italic(h))^2",0.758641409873962,0.5
0,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.514694809913635,0.5
1,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.622787463665009,0.5
2,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.689336740970612,0.5
3,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.716583716869354,0.5
4,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.737288594245911,0.5
5,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.724981796741486,0.5
0,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.502273792028427,0.5
1,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.600974595546722,0.5
2,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.667676985263824,0.5
3,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.697124397754669,0.5
4,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.715371143817902,0.5
5,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.708456242084503,0.5
0,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.496464294195175,0.5
1,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.599510335922241,0.5
2,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.66707329750061,0.5
3,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.697638630867004,0.5
4,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.695086550712585,0.5
5,10,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.695632910728455,0.5
0,100,"5xAM","h2_he","hat(italic(h))^2",0.504651373624802,0.5
1,100,"5xAM","h2_he","hat(italic(h))^2",0.552189373970032,0.5
2,100,"5xAM","h2_he","hat(italic(h))^2",0.584559452533722,0.5
3,100,"5xAM","h2_he","hat(italic(h))^2",0.621444547176361,0.5
4,100,"5xAM","h2_he","hat(italic(h))^2",0.650881052017212,0.5
5,100,"5xAM","h2_he","hat(italic(h))^2",0.670670664310455,0.5
0,100,"5xAM","h2_he","hat(italic(h))^2",0.489284956455231,0.5
1,100,"5xAM","h2_he","hat(italic(h))^2",0.531589078903198,0.5
2,100,"5xAM","h2_he","hat(italic(h))^2",0.564415717124939,0.5
3,100,"5xAM","h2_he","hat(italic(h))^2",0.601488769054413,0.5
4,100,"5xAM","h2_he","hat(italic(h))^2",0.626194906234741,0.5
5,100,"5xAM","h2_he","hat(italic(h))^2",0.643549704551697,0.5
0,100,"5xAM","h2_he","hat(italic(h))^2",0.503499203920364,0.5
1,100,"5xAM","h2_he","hat(italic(h))^2",0.546430838108063,0.5
2,100,"5xAM","h2_he","hat(italic(h))^2",0.586830925941467,0.5
3,100,"5xAM","h2_he","hat(italic(h))^2",0.618865728378296,0.5
4,100,"5xAM","h2_he","hat(italic(h))^2",0.648584425449371,0.5
5,100,"5xAM","h2_he","hat(italic(h))^2",0.657895195484161,0.5
0,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.510969042778015,0.5
1,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.553809571266174,0.5
2,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.578940677642822,0.5
