"seed","gen","scenario","variable","value","xAM","args_kmate","power"
10,5,"5xAM","h2_true",0.540421367542093,"5-variate xAM",5,"39%"
100,0,"2xAM","h2_true",0.488882737545773,"2-variate xAM",2,"50%"
100,1,"2xAM","h2_true",0.499623012500049,"2-variate xAM",2,"50%"
100,2,"2xAM","h2_true",0.507697156378318,"2-variate xAM",2,"50%"
100,3,"2xAM","h2_true",0.506563633920054,"2-variate xAM",2,"50%"
100,4,"2xAM","h2_true",0.516467161198879,"2-variate xAM",2,"50%"
100,5,"2xAM","h2_true",0.513879224611311,"2-variate xAM",2,"50%"
100,0,"2xAM","h2_true",0.490734653236592,"2-variate xAM",2,"39%"
100,1,"2xAM","h2_true",0.502620309112807,"2-variate xAM",2,"39%"
100,2,"2xAM","h2_true",0.508321679311331,"2-variate xAM",2,"39%"
100,3,"2xAM","h2_true",0.513335172249835,"2-variate xAM",2,"39%"
100,4,"2xAM","h2_true",0.520080323868648,"2-variate xAM",2,"39%"
100,5,"2xAM","h2_true",0.516770612524164,"2-variate xAM",2,"39%"
100,0,"2xAM","h2_true",0.487826325860856,"2-variate xAM",2,"66%"
100,1,"2xAM","h2_true",0.501579107308973,"2-variate xAM",2,"66%"
100,2,"2xAM","h2_true",0.507479421092237,"2-variate xAM",2,"66%"
100,3,"2xAM","h2_true",0.503400120976672,"2-variate xAM",2,"66%"
100,4,"2xAM","h2_true",0.5177045058728,"2-variate xAM",2,"66%"
100,5,"2xAM","h2_true",0.505137874295581,"2-variate xAM",2,"66%"
100,0,"5xAM","h2_true",0.507706973244838,"5-variate xAM",5,"66%"
100,1,"5xAM","h2_true",0.519729869795822,"5-variate xAM",5,"66%"
100,2,"5xAM","h2_true",0.528763352812513,"5-variate xAM",5,"66%"
100,3,"5xAM","h2_true",0.536803641561912,"5-variate xAM",5,"66%"
100,4,"5xAM","h2_true",0.538211474828312,"5-variate xAM",5,"66%"
100,5,"5xAM","h2_true",0.541453515843212,"5-variate xAM",5,"66%"
100,0,"5xAM","h2_true",0.488486488837272,"5-variate xAM",5,"50%"
100,1,"5xAM","h2_true",0.501137836889948,"5-variate xAM",5,"50%"
100,2,"5xAM","h2_true",0.509678422759522,"5-variate xAM",5,"50%"
100,3,"5xAM","h2_true",0.515089575216739,"5-variate xAM",5,"50%"
100,4,"5xAM","h2_true",0.523187511217495,"5-variate xAM",5,"50%"
100,5,"5xAM","h2_true",0.524200604655153,"5-variate xAM",5,"50%"
100,0,"5xAM","h2_true",0.503485341178569,"5-variate xAM",5,"39%"
100,1,"5xAM","h2_true",0.517525673132863,"5-variate xAM",5,"39%"
100,2,"5xAM","h2_true",0.523908316052983,"5-variate xAM",5,"39%"
100,3,"5xAM","h2_true",0.53360404406056,"5-variate xAM",5,"39%"
100,4,"5xAM","h2_true",0.539019913199903,"5-variate xAM",5,"39%"
100,5,"5xAM","h2_true",0.540614975310093,"5-variate xAM",5,"39%"
101,0,"2xAM","h2_true",0.487612822043276,"2-variate xAM",2,"50%"
101,1,"2xAM","h2_true",0.50198236184651,"2-variate xAM",2,"50%"
101,2,"2xAM","h2_true",0.503616430864885,"2-variate xAM",2,"50%"
101,3,"2xAM","h2_true",0.511471074078853,"2-variate xAM",2,"50%"
101,4,"2xAM","h2_true",0.513386590716076,"2-variate xAM",2,"50%"
101,5,"2xAM","h2_true",0.511609629871026,"2-variate xAM",2,"50%"
101,0,"2xAM","h2_true",0.497450349882001,"2-variate xAM",2,"39%"
101,1,"2xAM","h2_true",0.511433957588265,"2-variate xAM",2,"39%"
101,2,"2xAM","h2_true",0.515173425879655,"2-variate xAM",2,"39%"
101,3,"2xAM","h2_true",0.522016493660989,"2-variate xAM",2,"39%"
101,4,"2xAM","h2_true",0.526538407255282,"2-variate xAM",2,"39%"
101,5,"2xAM","h2_true",0.525932685440308,"2-variate xAM",2,"39%"
101,0,"2xAM","h2_true",0.490002852681894,"2-variate xAM",2,"66%"
101,1,"2xAM","h2_true",0.50372712024707,"2-variate xAM",2,"66%"
101,2,"2xAM","h2_true",0.510561733367752,"2-variate xAM",2,"66%"
101,3,"2xAM","h2_true",0.515631500418825,"2-variate xAM",2,"66%"
101,4,"2xAM","h2_true",0.514674027773419,"2-variate xAM",2,"66%"
101,5,"2xAM","h2_true",0.513879253432739,"2-variate xAM",2,"66%"
101,0,"5xAM","h2_true",0.510834975820385,"5-variate xAM",5,"66%"
101,1,"5xAM","h2_true",0.524701148771184,"5-variate xAM",5,"66%"
101,2,"5xAM","h2_true",0.535140141015275,"5-variate xAM",5,"66%"
101,3,"5xAM","h2_true",0.541087501907831,"5-variate xAM",5,"66%"
101,4,"5xAM","h2_true",0.547855915091243,"5-variate xAM",5,"66%"
101,5,"5xAM","h2_true",0.545235034278493,"5-variate xAM",5,"66%"
101,0,"5xAM","h2_true",0.495639080097685,"5-variate xAM",5,"50%"
101,1,"5xAM","h2_true",0.506427913349047,"5-variate xAM",5,"50%"
101,2,"5xAM","h2_true",0.516461242275769,"5-variate xAM",5,"50%"
101,3,"5xAM","h2_true",0.519914442665823,"5-variate xAM",5,"50%"
101,4,"5xAM","h2_true",0.526317015720719,"5-variate xAM",5,"50%"
101,5,"5xAM","h2_true",0.523801465040391,"5-variate xAM",5,"50%"
101,0,"5xAM","h2_true",0.489192479416687,"5-variate xAM",5,"39%"
101,1,"5xAM","h2_true",0.499322909376548,"5-variate xAM",5,"39%"
101,2,"5xAM","h2_true",0.50743533095194,"5-variate xAM",5,"39%"
101,3,"5xAM","h2_true",0.51496078315832,"5-variate xAM",5,"39%"
101,4,"5xAM","h2_true",0.5216810291463,"5-variate xAM",5,"39%"
101,5,"5xAM","h2_true",0.517267180433811,"5-variate xAM",5,"39%"
102,0,"2xAM","h2_true",0.48274603062635,"2-variate xAM",2,"50%"
102,1,"2xAM","h2_true",0.498628524634562,"2-variate xAM",2,"50%"
102,2,"2xAM","h2_true",0.501498887343208,"2-variate xAM",2,"50%"
102,3,"2xAM","h2_true",0.511072170418519,"2-variate xAM",2,"50%"
102,4,"2xAM","h2_true",0.509368613834565,"2-variate xAM",2,"50%"
102,5,"2xAM","h2_true",0.515211847730016,"2-variate xAM",2,"50%"
102,0,"2xAM","h2_true",0.499252277332914,"2-variate xAM",2,"39%"
102,1,"2xAM","h2_true",0.515315203006677,"2-variate xAM",2,"39%"
102,2,"2xAM","h2_true",0.525013636096812,"2-variate xAM",2,"39%"
102,3,"2xAM","h2_true",0.52520072302884,"2-variate xAM",2,"39%"
102,4,"2xAM","h2_true",0.526571016558856,"2-variate xAM",2,"39%"
102,5,"2xAM","h2_true",0.533269509426503,"2-variate xAM",2,"39%"
102,0,"2xAM","h2_true",0.510019389456174,"2-variate xAM",2,"66%"
102,1,"2xAM","h2_true",0.521971496195914,"2-variate xAM",2,"66%"
102,2,"2xAM","h2_true",0.527264417130122,"2-variate xAM",2,"66%"
102,3,"2xAM","h2_true",0.530318258670485,"2-variate xAM",2,"66%"
102,4,"2xAM","h2_true",0.535799123298884,"2-variate xAM",2,"66%"
102,5,"2xAM","h2_true",0.5333378993496,"2-variate xAM",2,"66%"
102,0,"5xAM","h2_true",0.497910860961276,"5-variate xAM",5,"66%"
102,1,"5xAM","h2_true",0.508734264004248,"5-variate xAM",5,"66%"
102,2,"5xAM","h2_true",0.518332262614839,"5-variate xAM",5,"66%"
102,3,"5xAM","h2_true",0.525227753216934,"5-variate xAM",5,"66%"
102,4,"5xAM","h2_true",0.531048859776275,"5-variate xAM",5,"66%"
102,5,"5xAM","h2_true",0.534831748466909,"5-variate xAM",5,"66%"
102,0,"5xAM","h2_true",0.500197331045508,"5-variate xAM",5,"50%"
102,1,"5xAM","h2_true",0.511949090217257,"5-variate xAM",5,"50%"
102,2,"5xAM","h2_true",0.519586436849153,"5-variate xAM",5,"50%"
102,3,"5xAM","h2_true",0.527775157239104,"5-variate xAM",5,"50%"
102,4,"5xAM","h2_true",0.531916410254759,"5-variate xAM",5,"50%"
102,5,"5xAM","h2_true",0.540972598649829,"5-variate xAM",5,"50%"
102,0,"5xAM","h2_true",0.493165126203874,"5-variate xAM",5,"39%"
102,1,"5xAM","h2_true",0.504788688999427,"5-variate xAM",5,"39%"
102,2,"5xAM","h2_true",0.513847491258285,"5-variate xAM",5,"39%"
102,3,"5xAM","h2_true",0.520276739449868,"5-variate xAM",5,"39%"
102,4,"5xAM","h2_true",0.526537564119329,"5-variate xAM",5,"39%"
102,5,"5xAM","h2_true",0.530780965772654,"5-variate xAM",5,"39%"
103,0,"2xAM","h2_true",0.526005810218647,"2-variate xAM",2,"50%"
103,1,"2xAM","h2_true",0.5397280043018,"2-variate xAM",2,"50%"
103,2,"2xAM","h2_true",0.545433641990242,"2-variate xAM",2,"50%"
103,3,"2xAM","h2_true",0.548923133955719,"2-variate xAM",2,"50%"
103,4,"2xAM","h2_true",0.559558315524683,"2-variate xAM",2,"50%"
103,5,"2xAM","h2_true",0.54963573467572,"2-variate xAM",2,"50%"
103,0,"2xAM","h2_true",0.50154115529249,"2-variate xAM",2,"39%"
103,1,"2xAM","h2_true",0.51173630216523,"2-variate xAM",2,"39%"
103,2,"2xAM","h2_true",0.5174377867878,"2-variate xAM",2,"39%"
103,3,"2xAM","h2_true",0.528730789235371,"2-variate xAM",2,"39%"
103,4,"2xAM","h2_true",0.533166931809549,"2-variate xAM",2,"39%"
103,5,"2xAM","h2_true",0.528089196110597,"2-variate xAM",2,"39%"
103,0,"2xAM","h2_true",0.492190240349765,"2-variate xAM",2,"66%"
103,1,"2xAM","h2_true",0.506163559066971,"2-variate xAM",2,"66%"
