"gen","scenario","GWAS","xAM","power","mean","median","sd","se","n"
0,"2xAM","Population","2-variate","39%",0.995015447991761,0.998970133882596,0.0987319797284172,0.00624435867678742,250
1,"2xAM","Population","2-variate","39%",1.02302780638517,1.02471678681771,0.0861543400581542,0.00544887889784901,250
2,"2xAM","Population","2-variate","39%",1.06286302780639,1.07106076210093,0.101117959474817,0.00639526128578053,250
3,"2xAM","Population","2-variate","39%",1.09219361483007,1.09165808444902,0.104359557041986,0.00660027791717882,250
4,"2xAM","Population","2-variate","39%",1.12098867147271,1.11225540679712,0.104571380955063,0.00661367483774308,250
5,"2xAM","Population","2-variate","39%",1.11843460350154,1.12255406797116,0.105091019586622,0.00664653967046186,250
0,"2xAM","Sibship","2-variate","39%",0.996045314109166,0.988671472708548,0.0918380935947812,0.00580835103454459,250
1,"2xAM","Sibship","2-variate","39%",1.00803295571576,1.00926879505664,0.102946070877647,0.00651088120276987,250
2,"2xAM","Sibship","2-variate","39%",0.994315139031926,0.993820803295572,0.105858170945935,0.00669505858257234,250
3,"2xAM","Sibship","2-variate","39%",0.995303810504634,0.988671472708548,0.0971756028298714,0.00614592475884595,250
4,"2xAM","Sibship","2-variate","39%",0.99427394438723,0.998970133882596,0.102464182671583,0.00648040391659518,250
5,"2xAM","Sibship","2-variate","39%",1.00201853759011,0.998970133882596,0.0989839549759304,0.00626029499070995,250
0,"5xAM","Population","5-variate","39%",1.002982492276,1.00411946446962,0.030893177526552,0.00195385610287662,250
1,"5xAM","Population","5-variate","39%",1.02810710607621,1.02574665293512,0.0341148485004723,0.00215761246586145,250
2,"5xAM","Population","5-variate","39%",1.06881565396498,1.06951596292482,0.0348997466338766,0.00220725378251689,250
3,"5xAM","Population","5-variate","39%",1.12188259526262,1.12049433573635,0.0318186487048792,0.0020123880395237,250
4,"5xAM","Population","5-variate","39%",1.16675180226571,1.16477857878476,0.0348939082212169,0.0022068845288784,250
5,"5xAM","Population","5-variate","39%",1.21099073120494,1.21112255406797,0.0370912557043125,0.00234585698602681,250
0,"5xAM","Sibship","5-variate","39%",1.00308135942327,1.00205973223481,0.028404347887291,0.00179644869551263,250
1,"5xAM","Sibship","5-variate","39%",1.00188671472709,1.0010298661174,0.0315141264821877,0.00199312836308686,250
2,"5xAM","Sibship","5-variate","39%",1.00720494335736,1.00823892893924,0.0300245765302055,0.0018989209523497,250
3,"5xAM","Sibship","5-variate","39%",1.00465499485067,1.00514933058702,0.0300541701394885,0.00190079261654008,250
4,"5xAM","Sibship","5-variate","39%",1.00276828012358,1.0010298661174,0.0303164470041741,0.00191738046193957,250
5,"5xAM","Sibship","5-variate","39%",1.00295777548919,1.00205973223481,0.0310482205515485,0.00196366188476285,250
0,"2xAM","Population","2-variate","50%",1.00849816849817,1.00732600732601,0.131329759645798,0.00830602330086382,250
1,"2xAM","Population","2-variate","50%",1.03758241758242,1.04395604395604,0.139997453558869,0.00885421639739343,250
2,"2xAM","Population","2-variate","50%",1.12161172161172,1.11721611721612,0.141275647298624,0.00893505646756534,250
