"seed","gen","scenario","variable","value","xAM","args_kmate","power"
10,3,"5xAM","rg_true",0.102359902454907,"5-variate xAM",5,"39%"
10,4,"5xAM","rg_true",0.117575413705132,"5-variate xAM",5,"39%"
10,5,"5xAM","rg_true",0.133284190974335,"5-variate xAM",5,"39%"
100,0,"2xAM","rg_true",0.000189151531605716,"2-variate xAM",2,"50%"
100,1,"2xAM","rg_true",0.0444207942272212,"2-variate xAM",2,"50%"
100,2,"2xAM","rg_true",0.0660871243282543,"2-variate xAM",2,"50%"
100,3,"2xAM","rg_true",0.0925997630839536,"2-variate xAM",2,"50%"
100,4,"2xAM","rg_true",0.0984997089304384,"2-variate xAM",2,"50%"
100,5,"2xAM","rg_true",0.106875654928986,"2-variate xAM",2,"50%"
100,0,"2xAM","rg_true",-0.000194038932707016,"2-variate xAM",2,"39%"
100,1,"2xAM","rg_true",0.0466822322594163,"2-variate xAM",2,"39%"
100,2,"2xAM","rg_true",0.0806623910657219,"2-variate xAM",2,"39%"
100,3,"2xAM","rg_true",0.0921656387309614,"2-variate xAM",2,"39%"
100,4,"2xAM","rg_true",0.108419592192323,"2-variate xAM",2,"39%"
100,5,"2xAM","rg_true",0.12319087515466,"2-variate xAM",2,"39%"
100,0,"2xAM","rg_true",0.00102348281232215,"2-variate xAM",2,"66%"
100,1,"2xAM","rg_true",0.0473397588867407,"2-variate xAM",2,"66%"
100,2,"2xAM","rg_true",0.0762880771774565,"2-variate xAM",2,"66%"
100,3,"2xAM","rg_true",0.0836296219513912,"2-variate xAM",2,"66%"
100,4,"2xAM","rg_true",0.0965113522176892,"2-variate xAM",2,"66%"
100,5,"2xAM","rg_true",0.0941517470217918,"2-variate xAM",2,"66%"
100,0,"5xAM","rg_true",-4.37946103793395e-05,"5-variate xAM",5,"66%"
100,1,"5xAM","rg_true",0.0472645310226581,"5-variate xAM",5,"66%"
100,2,"5xAM","rg_true",0.0810169329726286,"5-variate xAM",5,"66%"
100,3,"5xAM","rg_true",0.103820913963574,"5-variate xAM",5,"66%"
100,4,"5xAM","rg_true",0.124089829329847,"5-variate xAM",5,"66%"
100,5,"5xAM","rg_true",0.142022458002791,"5-variate xAM",5,"66%"
100,0,"5xAM","rg_true",0.000702384548603314,"5-variate xAM",5,"50%"
100,1,"5xAM","rg_true",0.0468750618197535,"5-variate xAM",5,"50%"
100,2,"5xAM","rg_true",0.0785170079078267,"5-variate xAM",5,"50%"
100,3,"5xAM","rg_true",0.101617423198994,"5-variate xAM",5,"50%"
100,4,"5xAM","rg_true",0.122430171800053,"5-variate xAM",5,"50%"
100,5,"5xAM","rg_true",0.130183214770881,"5-variate xAM",5,"50%"
100,0,"5xAM","rg_true",-0.000939293925230538,"5-variate xAM",5,"39%"
100,1,"5xAM","rg_true",0.0472892401013151,"5-variate xAM",5,"39%"
100,2,"5xAM","rg_true",0.079421771598563,"5-variate xAM",5,"39%"
100,3,"5xAM","rg_true",0.10383495576892,"5-variate xAM",5,"39%"
100,4,"5xAM","rg_true",0.12089566064065,"5-variate xAM",5,"39%"
100,5,"5xAM","rg_true",0.130785363851438,"5-variate xAM",5,"39%"
101,0,"2xAM","rg_true",-0.00142450221468132,"2-variate xAM",2,"50%"
101,1,"2xAM","rg_true",0.0461570385847979,"2-variate xAM",2,"50%"
101,2,"2xAM","rg_true",0.0708694885000819,"2-variate xAM",2,"50%"
101,3,"2xAM","rg_true",0.0954284157797713,"2-variate xAM",2,"50%"
101,4,"2xAM","rg_true",0.100280221783613,"2-variate xAM",2,"50%"
101,5,"2xAM","rg_true",0.0844597446248309,"2-variate xAM",2,"50%"
101,0,"2xAM","rg_true",-2.67763353366591e-05,"2-variate xAM",2,"39%"
101,1,"2xAM","rg_true",0.046246400377564,"2-variate xAM",2,"39%"
101,2,"2xAM","rg_true",0.0739894768260762,"2-variate xAM",2,"39%"
101,3,"2xAM","rg_true",0.097502892125887,"2-variate xAM",2,"39%"
101,4,"2xAM","rg_true",0.106720152060091,"2-variate xAM",2,"39%"
101,5,"2xAM","rg_true",0.112702813024564,"2-variate xAM",2,"39%"
101,0,"2xAM","rg_true",0.00171047070305441,"2-variate xAM",2,"66%"
101,1,"2xAM","rg_true",0.0501695640849814,"2-variate xAM",2,"66%"
101,2,"2xAM","rg_true",0.0797594276795355,"2-variate xAM",2,"66%"
101,3,"2xAM","rg_true",0.0930109821374834,"2-variate xAM",2,"66%"
101,4,"2xAM","rg_true",0.102875451273502,"2-variate xAM",2,"66%"
101,5,"2xAM","rg_true",0.111141330876844,"2-variate xAM",2,"66%"
101,0,"5xAM","rg_true",0.0014642379497513,"5-variate xAM",5,"66%"
101,1,"5xAM","rg_true",0.0489667707228699,"5-variate xAM",5,"66%"
101,2,"5xAM","rg_true",0.0824698377534579,"5-variate xAM",5,"66%"
