"m_causal","gen","kpheno","alpha","N","pred_t1e","kpheno_label","m_causal_label","relative_t1e"
8000,0,5,5e-08,2e+05,5.00000000296374e-08,"5",8000,1.00000000059275
8000,0,5,5e-08,4e+05,5.0000000032413e-08,"5",8000,1.00000000064826
8000,0,5,5e-08,8e+05,5.00000000459577e-08,"5",8000,1.00000000091915
8000,0,5,5e-08,1600000,5.00000000729917e-08,"5",8000,1.00000000145983
8000,0,5,5e-08,3200000,5.00000001236178e-08,"5",8000,1.00000000247236
8000,0,5,5e-08,6400000,5.00000002280898e-08,"5",8000,1.0000000045618
16000,0,5,5e-08,50000,5.00000000291934e-08,"5",16000,1.00000000058387
16000,0,5,5e-08,1e+05,5.00000000291934e-08,"5",16000,1.00000000058387
16000,0,5,5e-08,2e+05,5.00000000291934e-08,"5",16000,1.00000000058387
16000,0,5,5e-08,4e+05,5.00000000295819e-08,"5",16000,1.00000000059164
16000,0,5,5e-08,8e+05,5.00000000334122e-08,"5",16000,1.00000000066824
16000,0,5,5e-08,1600000,5.0000000044792e-08,"5",16000,1.00000000089584
16000,0,5,5e-08,3200000,5.00000000743239e-08,"5",16000,1.00000000148648
16000,0,5,5e-08,6400000,5.00000001260048e-08,"5",16000,1.0000000025201
1000,1,2,5e-08,50000,1.18604801868538e-07,"2",1000,2.37209603737076
1000,1,2,5e-08,1e+05,2.79698716961541e-07,"2",1000,5.59397433923081
1000,1,2,5e-08,2e+05,8.63321193763422e-07,"2",1000,17.2664238752684
1000,1,2,5e-08,4e+05,5.21843344098039e-06,"2",1000,104.368668819608
1000,1,2,5e-08,8e+05,7.84534458268777e-05,"2",1000,1569.06891653755
1000,1,2,5e-08,1600000,0.00139297230931515,"2",1000,27859.446186303
1000,1,2,5e-08,3200000,0.0125108190206575,"2",1000,250216.38041315
1000,1,2,5e-08,6400000,0.0640981237364999,"2",1000,1281962.47473
2000,1,2,5e-08,50000,7.85117026964599e-08,"2",2000,1.5702340539292
2000,1,2,5e-08,1e+05,1.19585856162674e-07,"2",2000,2.39171712325348
2000,1,2,5e-08,2e+05,2.72419403363922e-07,"2",2000,5.44838806727843
2000,1,2,5e-08,4e+05,1.04746446255743e-06,"2",2000,20.9492892511487
2000,1,2,5e-08,8e+05,6.08134641778041e-06,"2",2000,121.626928355608
2000,1,2,5e-08,1600000,9.8722616678976e-05,"2",2000,1974.45233357952
2000,1,2,5e-08,3200000,0.00175175182472407,"2",2000,35035.0364944815
2000,1,2,5e-08,6400000,0.0127596042864306,"2",2000,255192.085728612
4000,1,2,5e-08,50000,6.23359981254956e-08,"2",4000,1.24671996250991
4000,1,2,5e-08,1e+05,7.71536528922923e-08,"2",4000,1.54307305784585
4000,1,2,5e-08,2e+05,1.18954145463368e-07,"2",4000,2.37908290926736
4000,1,2,5e-08,4e+05,3.02469870364086e-07,"2",4000,6.04939740728172
4000,1,2,5e-08,8e+05,8.84179276447128e-07,"2",4000,17.6835855289426
4000,1,2,5e-08,1600000,6.97805938237367e-06,"2",4000,139.561187647473
4000,1,2,5e-08,3200000,0.000107870688263083,"2",4000,2157.41376526166
4000,1,2,5e-08,6400000,0.00134650116147318,"2",4000,26930.0232294636
8000,1,2,5e-08,50000,5.61417278116538e-08,"2",8000,1.12283455623308
8000,1,2,5e-08,1e+05,6.25903264599992e-08,"2",8000,1.25180652919998
8000,1,2,5e-08,2e+05,7.80997270011241e-08,"2",8000,1.56199454002248
8000,1,2,5e-08,4e+05,1.21381824400579e-07,"2",8000,2.42763648801159
8000,1,2,5e-08,8e+05,2.52843142154346e-07,"2",8000,5.05686284308693
8000,1,2,5e-08,1600000,1.03904819697198e-06,"2",8000,20.7809639394396
8000,1,2,5e-08,3200000,5.84455499671788e-06,"2",8000,116.891099934358
8000,1,2,5e-08,6400000,9.37766748200227e-05,"2",8000,1875.53349640045
16000,1,2,5e-08,50000,5.3113846595676e-08,"2",16000,1.06227693191352
16000,1,2,5e-08,1e+05,5.63267368661191e-08,"2",16000,1.12653473732238
16000,1,2,5e-08,2e+05,6.31009971821528e-08,"2",16000,1.26201994364306
16000,1,2,5e-08,4e+05,8.06901091630619e-08,"2",16000,1.61380218326124
16000,1,2,5e-08,8e+05,1.19861461242654e-07,"2",16000,2.39722922485308
16000,1,2,5e-08,1600000,2.60711583830786e-07,"2",16000,5.21423167661572
16000,1,2,5e-08,3200000,9.04464742430999e-07,"2",16000,18.08929484862
16000,1,2,5e-08,6400000,6.15085064549203e-06,"2",16000,123.017012909841
1000,1,5,5e-08,50000,1.23840848480383e-07,"5",1000,2.47681696960766
1000,1,5,5e-08,1e+05,2.70090697308212e-07,"5",1000,5.40181394616424
1000,1,5,5e-08,2e+05,1.03979681893784e-06,"5",1000,20.7959363787569
1000,1,5,5e-08,4e+05,5.51641272697312e-06,"5",1000,110.328254539462
1000,1,5,5e-08,8e+05,8.98956118389256e-05,"5",1000,1797.91223677851
1000,1,5,5e-08,1600000,0.00111527717948886,"5",1000,22305.5435897773
1000,1,5,5e-08,3200000,0.0121019687501903,"5",1000,242039.375003806
1000,1,5,5e-08,6400000,0.0730975062626997,"5",1000,1461950.12525399
