"","scenario","gen","args_n","args_m","args_subsample","args_kphen","args_kmate","args_rmate","args_theta","args_phi","args_gamma","args_h2","args_env","GWAS","alpha","FalsePositive","TruePositive","params"
"33","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-08,0,0.0594791666666667,"2xAM"
"34","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1.58113883008419e-07,0,0.061015625,"2xAM"
"35","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",2.81170662595175e-07,0,0.0631901041666667,"2xAM"
"36","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-07,0,0.065234375,"2xAM"
"37","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-07,0,0.0673307291666667,"2xAM"
"38","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1.58113883008419e-06,0,0.0696875,"2xAM"
"39","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",2.81170662595175e-06,1.30208333333333e-05,0.071875,"2xAM"
"40","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-06,1.30208333333333e-05,0.0744270833333333,"2xAM"
"41","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-06,1.30208333333333e-05,0.0770963541666667,"2xAM"
"42","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1.58113883008419e-05,2.60416666666667e-05,0.0800651041666667,"2xAM"
"43","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",2.81170662595175e-05,2.60416666666667e-05,0.0827994791666667,"2xAM"
"44","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-05,5.20833333333333e-05,0.0862369791666667,"2xAM"
"45","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-05,6.51041666666667e-05,0.0896354166666667,"2xAM"
"46","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.000158113883008419,0.000104166666666667,0.0928515625,"2xAM"
"47","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.000281170662595174,0.000169270833333333,0.096328125,"2xAM"
"48","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-04,0.000377604166666667,0.0997786458333333,"2xAM"
"49","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.000889139705019461,0.000625,0.1037890625,"2xAM"
"50","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.00158113883008419,0.0011328125,0.107825520833333,"2xAM"
"51","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.00281170662595175,0.00216145833333333,0.112161458333333,"2xAM"
"52","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.005,0.0041015625,0.1169921875,"2xAM"
"53","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.00889139705019461,0.00717447916666667,0.122317708333333,"2xAM"
"54","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.0158113883008419,0.0128645833333333,0.128372395833333,"2xAM"
"55","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.0281170662595174,0.0222135416666667,0.134440104166667,"2xAM"
"56","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.05,0.040078125,0.140885416666667,"2xAM"
"57","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.0889139705019461,0.0707682291666667,0.148828125,"2xAM"
"58","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.158113883008419,0.125,0.157369791666667,"2xAM"
"59","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.281170662595174,0.222330729166667,0.167630208333333,"2xAM"
"60","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.5,0.39875,0.179557291666667,"2xAM"
"61","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",0.889139705,0.7097265625,0.195924479166667,"2xAM"
"62","0_2_0.0_0.0_False_800",0,512000,800,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1,0.8,0.2,"2xAM"
"63","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",5e-08,0,0.00075,"2xAM"
"64","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",8.89139705019461e-08,0,0.000875,"2xAM"
"65","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",1.58113883008419e-07,0,0.00115625,"2xAM"
"66","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",2.81170662595175e-07,0,0.00128125,"2xAM"
"67","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",5e-07,0,0.00153125,"2xAM"
"68","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",8.89139705019461e-07,0,0.0016875,"2xAM"
"69","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",1.58113883008419e-06,0,0.0018125,"2xAM"
"70","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",2.81170662595175e-06,0,0.00228125,"2xAM"
"71","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",5e-06,0,0.002625,"2xAM"
"72","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",8.89139705019461e-06,0,0.00321875,"2xAM"
"73","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",1.58113883008419e-05,0,0.004125,"2xAM"
"74","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",2.81170662595175e-05,0,0.00475,"2xAM"
"75","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",5e-05,0,0.0058125,"2xAM"
"76","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",8.89139705019461e-05,0,0.00696875,"2xAM"
"77","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.000158113883008419,6.25e-05,0.0083125,"2xAM"
"78","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.000281170662595174,0.000125,0.009875,"2xAM"
"79","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",5e-04,0.00025,0.01178125,"2xAM"
"80","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.000889139705019461,0.00046875,0.01484375,"2xAM"
"81","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.00158113883008419,0.0010625,0.01740625,"2xAM"
"82","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.00281170662595175,0.00190625,0.02115625,"2xAM"
"83","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.005,0.00340625,0.02690625,"2xAM"
"84","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.00889139705019461,0.00646875,0.03225,"2xAM"
"85","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.0158113883008419,0.01171875,0.03925,"2xAM"
"86","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.0281170662595174,0.02075,0.047875,"2xAM"
"87","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.05,0.03978125,0.0579375,"2xAM"
"88","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.0889139705019461,0.0703125,0.0735,"2xAM"
"89","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.158113883008419,0.124875,0.09115625,"2xAM"
"90","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.281170662595174,0.222375,0.11359375,"2xAM"
"91","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.5,0.394125,0.1446875,"2xAM"
