"f_SCZ","f_BPD","f_MDD","f_ADHD","f_SUD","f_OCD","f_Anxiety","f_TIC","f_Epilepsy","f_RA","f_DM1","m_SCZ","m_BPD","m_MDD","m_ADHD","m_SUD","m_OCD","m_Anxiety","m_TIC","m_Epilepsy","m_RA","m_DM1"
1,0.6219,0.4665,0.1521,0.3491,0.3834,0.2425,0.1703,0.3059,0.0675,0.0237,0.3216,0.1855,0.1192,0.0912,0.1182,0.1118,0.0867,0.0265,0.0937,0.0244,0.0158
0.6219,1,0.6411,0.3084,0.4383,0.4523,0.4715,0.1647,0.2711,0.1485,0.124,0.1967,0.3564,0.1717,0.1668,0.1499,0.1792,0.1362,0.1088,0.0856,0.0421,0.0324
0.4665,0.6411,1,0.2955,0.4008,0.5716,0.651,0.2015,0.2642,0.2895,0.1969,0.1809,0.2386,0.2302,0.1783,0.1737,0.2108,0.1615,0.0657,0.0925,0.0579,0.0293
0.1521,0.3084,0.2955,1,0.1671,0.2476,0.1797,0.2444,0.1345,-0.1447,-0.0042,0.0635,0.1422,0.1173,0.346,0.1013,0.0475,0.0782,0.0346,0.0336,0.0568,-0.032
0.3491,0.4383,0.4008,0.1671,1,0.2315,0.2863,0.1242,0.1949,-0.069,0.0474,0.0862,0.1066,0.0923,0.0496,0.3459,0.0412,0.1019,0.0727,0.0531,0.0303,0.0508
0.3834,0.4523,0.5716,0.2476,0.2315,1,0.4222,0.1955,0.1495,0.0587,0.0801,0.0914,0.126,0.1181,0.1544,-0.0061,0.4023,0.0815,0.0095,0.0331,0.0201,0.0204
0.2425,0.4715,0.651,0.1797,0.2863,0.4222,1,0.2388,0.1985,0.3508,0.2563,0.104,0.1707,0.1501,0.1217,0.1126,0.1558,0.1743,0.0748,0.0788,0.0567,0.0419
0.1703,0.1647,0.2015,0.2444,0.1242,0.1955,0.2388,1,0.3113,0.176,0.1192,0.0599,0.0612,0.0568,0.0672,0.1029,0.1273,0.0489,0.678,0.0783,0.0431,0.0607
0.3059,0.2711,0.2642,0.1345,0.1949,0.1495,0.1985,0.3113,1,0.2097,0.0971,0.106,0.0672,0.06,0.0195,0.0967,0.0338,0.0657,0.0771,0.0831,0.0227,0.0265
0.0675,0.1485,0.2895,-0.1447,-0.069,0.0587,0.3508,0.176,0.2097,1,0.3181,0.0468,0.0498,0.0414,0.0306,0.031,0.0396,0.0384,0.0362,0.0532,0.2635,0.0412
0.0237,0.124,0.1969,-0.0042,0.0474,0.0801,0.2563,0.1192,0.0971,0.3181,1,0.04,0.0395,0.0294,0.0298,0.0632,-0.0344,0.0384,0.0447,0.0365,0.0303,0.3747
0.3276,0.1994,0.1306,0.1483,0.0759,0.1359,0.0771,0.0883,0.0766,0.0329,0.0405,1,0.6309,0.5095,0.1744,0.3412,0.4128,0.2961,0.1824,0.3052,0.0752,0.0436
0.197,0.3754,0.1895,0.2026,0.0879,0.1668,0.1348,0.09,0.0573,0.0478,0.0267,0.6309,1,0.6328,0.3222,0.321,0.4421,0.4608,0.204,0.2655,0.1277,0.0991
0.1502,0.2402,0.2463,0.2227,0.0928,0.207,0.1521,0.1037,0.0697,0.0569,0.0441,0.5095,0.6328,1,0.2929,0.3102,0.582,0.638,0.2193,0.2708,0.2245,0.1499
0.0547,0.1459,0.1118,0.3548,0.0343,0.119,0.0604,0.0976,0.008,0.0252,0.0274,0.1744,0.3222,0.2929,1,0.0863,0.2819,0.2161,0.4517,0.0664,-0.1285,-0.0586
0.1113,0.1631,0.146,0.079,0.2856,0.008,0.1078,0.1105,0.0814,0.0444,0.0673,0.3412,0.321,0.3102,0.0863,1,0.1224,0.2106,0.0979,0.1933,0.0185,0.0542
0.0861,0.1544,0.1419,0.0629,0.0265,0.4015,0.0915,0.1501,0.0258,0.0239,-0.0309,0.4128,0.4421,0.582,0.2819,0.1224,1,0.4755,0.3328,0.1135,0.0659,0.054
0.0735,0.1603,0.1569,0.1438,0.0745,0.1472,0.1776,0.1032,0.0647,0.0607,0.0561,0.2961,0.4608,0.638,0.2161,0.2106,0.4755,1,0.2143,0.171,0.2328,0.185
0.0635,0.0791,0.0405,0.0435,0.0473,0.0313,0.0247,0.6122,0.0553,0.0241,0.0386,0.1824,0.204,0.2193,0.4517,0.0979,0.3328,0.2143,1,0.3217,0.1027,0.0713
0.1005,0.0967,0.0691,0.0799,0.0495,0.0534,0.0539,0.0905,0.0838,0.047,0.0265,0.3052,0.2655,0.2708,0.0664,0.1933,0.1135,0.171,0.3217,1,0.1922,0.0767
0.0151,0.0518,0.0532,0.0929,0.0222,0.0471,0.0454,0.0751,0.0222,0.2919,0.0415,0.0752,0.1277,0.2245,-0.1285,0.0185,0.0659,0.2328,0.1027,0.1922,1,0.2539
0.036,0.0391,0.0251,-0.0244,0.0354,0.0506,0.0393,0.0372,0.0271,0.039,0.373,0.0436,0.0991,0.1499,-0.0586,0.0542,0.054,0.185,0.0713,0.0767,0.2539,1
