"","Trait1","Trait2","r.xmate.yz","r.xmate.yy","r.xmate.zz","r.wmate.yz","r.xmate.yz.maxent","r.xmate.yz.maxentdiff","rse.xmate.yz","rse.xmate.yy","rse.xmate.zz","rse.wmate.yz","rse.xmate.yz.maxent","rse.xmate.yz.maxentdiff","p.xmate.yz.maxentdiff","p.xmate.yz.maxent","p.xmate.yz","p.xmate.yy","p.xmate.zz","p.wmate.yz"
"1","HbA1C_fasting_adj_earliest","triglycerides_fasting_adj_earliest",0.0463540234970293,0.0779984698269714,0.126996630421213,0.158227534606887,0.0313709897332365,0.0149830337637928,0.0049926959931146,0.0061309305241083,0.0052146402749738,0.0058434971477898,0.00169698282377528,0.00502324611394967,0.00285681190060209,2.66041822414011e-76,1.62670724420044e-20,4.45570489043084e-37,5.27609152344939e-131,1.81072395430178e-161
"2","HbA1C_fasting_adj_earliest","glucose_fasting_adj_earliest",0.0389334645778227,0.0779984698269714,0.0815860120033728,0.567861793814511,0.0684373558824543,-0.0295038913046316,0.0058507555483877,0.006141170322345,0.00649283212102,0.0098883171503889,0.00450993016098887,0.00392660671016805,5.74181174900315e-14,5.19239283541541e-52,2.84393019568938e-11,5.84438955592119e-37,3.26592529986098e-36,0
"3","HbA1C_fasting_adj_earliest","triglycerides_fasting_statin_adj_earliest",0.049256320883589,0.0779984698269714,0.131627854985515,0.190153812532529,0.0381499512927257,0.0111063695908633,0.0053094496553948,0.0063597678865341,0.005113413823904,0.0059601826036423,0.0018986210864033,0.00519578995252026,0.0325515827399204,8.41106222253496e-90,1.74146150957793e-20,1.40723288579438e-34,3.99486529868118e-146,2.34803466140995e-223
"4","HbA1C_fasting_adj_earliest","LDL_fasting_statin_adj_earliest",0.000210868063072,0.0779984698269714,0.0593840444412159,0.0188324220825085,0.00257450242545472,-0.00236363436238272,0.0050280287602919,0.006250221178098,0.0051144700991455,0.005586541621387,0.000778516903328915,0.00501132035278856,0.637170204161505,0.000943238010169287,0.966547712310902,9.68177296740521e-36,3.62409117847682e-31,0.000748865985793528
"5","HbA1C_fasting_adj_earliest","eduyears_mean",-0.0544762903710029,0.0779984698269714,0.455310397955203,-0.0641869984296036,-0.0329605535954445,-0.0215157367755584,0.0048996662951982,0.0061693630434628,0.0041429193017915,0.0048433155920975,0.00254670563652994,0.0043945766792047,9.78195909319789e-07,2.59303878771625e-38,1.0212354573586e-28,1.2249570087933e-36,0,4.35269614867083e-40
"6","HbA1C_fasting_adj_earliest","fiq_score_earliest_scaled",-0.0351235157574144,0.0779984698269714,0.199472613218797,-0.0608444870337708,-0.0165705770969395,-0.0185529386604749,0.0050087661113752,0.0059145238059673,0.0050354344672664,0.0048458924583985,0.00139575978148686,0.0048550310686779,0.000132704763258926,1.65298327024281e-32,2.34249488196438e-12,1.03403563316575e-39,0,3.6901398780264e-36
"7","HbA1C_fasting_adj_earliest","fathers_age",-0.0178260923518667,0.0779984698269714,0.0299357360164911,-0.0323612634938693,-0.00348126681120531,-0.0143448255406614,0.0051198081604224,0.0063218136756007,0.0051379532431079,0.0048386833130645,0.000595331329827703,0.00513228327121782,0.00518967812632895,4.98679144424488e-09,0.000498075768350687,5.65504772414609e-35,5.66380720739364e-09,2.26193390550449e-11
"8","HbA1C_fasting_adj_earliest","mothers_age",-0.0063002692585856,0.0779984698269714,0.0211765415524732,-0.0288803512170573,-0.00285723149197001,-0.00344303776661559,0.005167670975877,0.0064840318854203,0.0051404503649151,0.0051172176126925,0.000547935180578226,0.0051945862749704,0.507450517295171,1.84271079955191e-07,0.222779687980466,2.49216231593548e-33,3.7954919477088e-05,1.66375366644981e-08
"9","HbA1C_fasting_adj_earliest","number_full_brothers",0.0168325095322182,0.0779984698269714,0.0545479716324183,0.0234760658865616,0.0030969077644826,0.0137356017677356,0.0051949796008363,0.0059724634440058,0.0055108553616669,0.0051403249325814,0.000708078093197985,0.00521816670866118,0.00848174774605109,1.22168813666655e-05,0.00119467127825357,5.59614853729762e-39,4.2350924754332e-23,4.94661340325078e-06
"10","HbA1C_fasting_adj_earliest","number_full_sisters",0.0085364887690349,0.0779984698269714,0.0627871458756391,0.0257738667139643,0.00360866278800048,0.00492782598103442,0.0051609982540799,0.0059583780858338,0.0058333914967374,0.0053801267443175,0.000786632364908495,0.00516841918704159,0.340362440867351,4.4862143646925e-06,0.0981197314241111,3.72878383807484e-39,5.12420283753153e-27,1.66309278373451e-06
